Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows,Effect type,Archseries,Artwork,Errata,TCG status,OCG status,Modification date
"""A"" Cell Breeding Device",34541863,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Trigger Effect',)",,,"('Name',)",Unlimited,Unlimited,Sat Nov  6 13:57:15 2021
"""A"" Cell Incubator",64163367,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Mon Jun 13 04:27:51 2022
"""A"" Cell Recombination Device",91231901,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Thu Mar 12 22:40:14 2020
"""A"" Cell Scatter Burst",73262676,Spell Card,Quick-Play Spell Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Nov  6 13:58:32 2021
"""Infernoble Arms - Durendal""",37478723,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,,Unlimited,Unlimited,Sat Aug 20 13:52:48 2022
"""Infernoble Arms - Hauteclere""",64867422,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,,Unlimited,Unlimited,Sat Nov 27 20:49:23 2021
"""Infernoble Arms - Joyeuse""",90861137,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,,Unlimited,Unlimited,Sat Nov 27 20:49:05 2021
1st Movement Solo,44256816,Spell Card,Normal Spell Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')",,,,Unlimited,Unlimited,Thu Mar 10 02:56:34 2022
7,67048711,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Tue Apr 19 18:04:31 2022
7 Completed,86198326,Spell Card,Equip Spell Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect')",,,"('Type',)",Unlimited,Unlimited,Sun Oct 31 17:18:50 2021
The A. Forces,00403847,Spell Card,Continuous Spell Card,,,,,,,,,,,"('Continuous-like Effect',)",,,"('Type',)",Unlimited,Unlimited,Wed Apr 20 16:08:25 2022
