Name,Password,Card type,Property,Effect type,Archseries,Artwork,TCG status,OCG status,Page name,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
"""A"" Cell Breeding Device",34541863,Spell Card,Continuous Spell Card,"('Trigger Effect',)",,,Unlimited,Unlimited,"""A"" Cell Breeding Device",2021-11-06 13:57:15,"('Name',)",,,,,,,,,,
"""A"" Cell Incubator",64163367,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,"""A"" Cell Incubator",2022-06-13 04:27:51,,,,,,,,,,,
"""A"" Cell Recombination Device",91231901,Spell Card,Quick-Play Spell Card,"('Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,"""A"" Cell Recombination Device",2020-03-12 22:40:14,,,,,,,,,,,
"""A"" Cell Scatter Burst",73262676,Spell Card,Quick-Play Spell Card,"('Effect',)",,,Unlimited,Unlimited,"""A"" Cell Scatter Burst",2021-11-06 13:58:32,,,,,,,,,,,
"""Infernoble Arms - Durendal""",37478723,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,Unlimited,Unlimited,"""Infernoble Arms - Durendal""",2023-01-09 22:08:11,,,,,,,,,,,
"""Infernoble Arms - Hauteclere""",64867422,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,Unlimited,Unlimited,"""Infernoble Arms - Hauteclere""",2021-11-27 20:49:23,,,,,,,,,,,
"""Infernoble Arms - Joyeuse""",90861137,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",,Unlimited,Unlimited,"""Infernoble Arms - Joyeuse""",2021-11-27 20:49:05,,,,,,,,,,,
1st Movement Solo,44256816,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')",,,Unlimited,Unlimited,1st Movement Solo,2022-03-10 02:56:34,,,,,,,,,,,
3-Hump Lacooda,86988864,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,3-Hump Lacooda,2022-03-31 12:34:57,,Effect Monster,,EARTH,Beast,3,500,1500,,,
"30,000-Year White Turtle",11714098,Monster Card,,,,,,Unlimited,"30,000-Year White Turtle",2022-04-27 07:30:34,,Normal Monster,,WATER,Aqua,5,1250,2100,,,
4-Starred Ladybug of Doom,83994646,Monster Card,,"('Flip effect',)",,,Unlimited,Unlimited,4-Starred Ladybug of Doom,2022-03-31 12:41:11,,Effect Monster,Flip monster,WIND,Insect,3,800,1200,,,
7,67048711,Spell Card,Continuous Spell Card,"('Effect', 'Trigger Effect')",,,Unlimited,Unlimited,7,2022-04-19 18:04:31,,,,,,,,,,,
7 Colored Fish,23771716,Monster Card,,,,,Unlimited,Unlimited,7 Colored Fish,2022-03-31 12:27:39,,Normal Monster,,WATER,Fish,4,1800,800,,,
7 Completed,86198326,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect')",,,Unlimited,Unlimited,7 Completed,2021-10-31 17:18:50,"('Type',)",,,,,,,,,,
8-Claws Scorpion,14261867,Monster Card,,"('Ignition Effect', 'Trigger Effect')",,,Unlimited,Unlimited,8-Claws Scorpion,2022-03-31 12:45:07,,Effect Monster,,DARK,Insect,2,300,200,,,
A Cat of Ill Omen,24140059,Monster Card,,"('Flip effect',)",,,Unlimited,Unlimited,A Cat of Ill Omen,2022-04-11 17:39:44,,Effect Monster,Flip monster,DARK,Beast,2,500,300,,,
A Deal with Dark Ruler,06850209,Spell Card,Quick-Play Spell Card,"('Activation condition', 'Condition', 'Effect')","('Archfiend',)","('Edited',)",Unlimited,Unlimited,A Deal with Dark Ruler,2021-12-06 10:26:25,"('Name', 'Type')",,,,,,,,,,
A Feather of the Phoenix,49140998,Spell Card,Normal Spell Card,"('Cost', 'Effect')",,,Unlimited,Unlimited,A Feather of the Phoenix,2023-01-03 18:53:03,,,,,,,,,,,
A Feint Plan,68170903,Trap Card,Normal Trap Card,"('Effect',)",,,Unlimited,Unlimited,A Feint Plan,2023-01-03 15:54:24,,,,,,,,,,,
A Hero Emerges,21597117,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,A Hero Emerges,2022-03-21 20:21:26,,,,,,,,,,,
A Hero Lives,08949584,Spell Card,Normal Spell Card,"('Activation condition', 'Cost', 'Effect')",,,Unlimited,Unlimited,A Hero Lives,2022-11-02 12:48:15,,,,,,,,,,,
A Legendary Ocean,00295517,Spell Card,Field Spell Card,"('Condition', 'Continuous-like Effect')","('Umi (series)',)",,Unlimited,Unlimited,A Legendary Ocean,2022-11-04 14:25:19,"('Type',)",,,,,,,,,,
A Major Upset,32207100,Trap Card,Normal Trap Card,"('Cost', 'Effect')",,,Unlimited,Unlimited,A Major Upset,2022-04-27 14:47:04,,,,,,,,,,,
A Man with Wdjat,51351302,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,A Man with Wdjat,2023-01-03 15:53:59,,Effect Monster,,DARK,Spellcaster,4,1600,1600,,,
A Rival Appears!,05728014,Trap Card,Normal Trap Card,"('Effect',)",,,Unlimited,Unlimited,A Rival Appears!,2022-04-20 11:26:31,,,,,,,,,,,
A Wild Monster Appears!,23587624,Spell Card,Normal Spell Card,"('Activation condition', 'Effect', 'Lingering effect')",,,Unlimited,Unlimited,A Wild Monster Appears!,2022-03-10 03:30:59,,,,,,,,,,,
A Wingbeat of Giant Dragon,28596933,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,A Wingbeat of Giant Dragon,2023-01-03 01:00:27,"('Type',)",,,,,,,,,,
A World Shrouded in Darkness,09597987,Spell Card,Field Spell Card,"('Condition', 'Trigger Effect')","('Ninjitsu Art',)",,,Unlimited,A World Shrouded in Darkness,2022-11-04 01:23:17,,,,,,,,,,,
A-Assault Core,30012506,Monster Card,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('A-to-Z',)",,Unlimited,Unlimited,A-Assault Core,2022-07-24 09:50:49,,Effect Monster,Union monster,LIGHT,Machine,4,1900,200,,,
A-Team: Trap Disposal Unit,13026402,Monster Card,,"('Quick Effect',)",,,Unlimited,Unlimited,A-Team: Trap Disposal Unit,2021-03-06 20:47:44,,Effect Monster,,FIRE,Machine,2,300,400,,,
