Archseries,OCG status,Modification date,Version
,Not yet released,Tue Dec  6 14:44:38 2022,Old
,Unlimited,Sat Dec 17 00:48:53 2022,New
"('Neos',)",Not yet released,Sat Dec 17 08:48:34 2022,New
,Not yet released,Mon Nov 21 11:30:21 2022,Old
,Unlimited,Sat Dec 17 00:26:44 2022,New
"('Spider',)",Not yet released,Tue Dec  6 14:28:15 2022,Old
"('Spider',)",Unlimited,Sat Dec 17 00:46:38 2022,New
"('Blackwing',)",Unlimited,Sat Dec 17 00:39:02 2022,New
"('Blackwing',)",Not yet released,Tue Dec  6 13:53:10 2022,Old
,Unlimited,Sat Dec 17 00:43:53 2022,New
,Not yet released,Mon Nov 21 11:41:40 2022,Old
"('D/D', 'D/D/D')",Unlimited,Sat Dec 17 00:48:06 2022,New
"('D/D', 'D/D/D')",Not yet released,Wed Dec  7 11:34:21 2022,Old
,Unlimited,Sat Dec 17 12:29:48 2022,New
,Not yet released,Mon Nov 21 11:33:58 2022,Old
,Unlimited,Sat Dec 17 00:32:54 2022,New
,Unlimited,Sat Dec 17 02:24:04 2022,New
,Unlimited,Sat Dec 17 00:43:14 2022,New
,Not yet released,Tue Dec  6 14:00:09 2022,Old
"('Spider',)",Not yet released,Tue Dec  6 14:08:36 2022,Old
"('Spider',)",Unlimited,Sat Dec 17 00:45:21 2022,New
"('Crystal',)",Not yet released,Wed Dec  7 01:58:22 2022,Old
"('Crystal',)",Unlimited,Sat Dec 17 00:31:26 2022,New
"('GranSolfachord', 'Solfachord')",Not yet released,Sat Dec 17 17:49:39 2022,New
"('GranSolfachord', 'Solfachord')",Unlimited,Sat Dec 17 17:34:27 2022,New
"('Solfachord',)",Unlimited,Sat Aug 14 10:39:56 2021,Old
,Unlimited,Sat Dec 17 00:30:26 2022,New
,Not yet released,Tue Dec  6 12:47:58 2022,Old
"('Photon',)",Unlimited,Sat Dec 17 00:44:23 2022,New
"('Photon',)",Not yet released,Mon Nov 21 11:52:28 2022,Old
,Not yet released,Tue Dec  6 12:23:57 2022,Old
,Unlimited,Sat Dec 17 00:28:42 2022,New
,Unlimited,Sat Dec 17 00:37:07 2022,New
,Not yet released,Tue Dec  6 13:36:48 2022,Old
,Unlimited,Sat Dec 17 04:30:24 2022,New
"('Rose',)",Not yet released,Mon Nov 21 11:35:50 2022,Old
"('Rose',)",Unlimited,Sat Dec 17 00:42:11 2022,New
,Unlimited,Sat Dec 17 00:35:51 2022,New
,Not yet released,Mon Nov 21 12:36:11 2022,Old
"('Solfachord',)",Not yet released,Sat Dec 17 17:50:35 2022,New
"('Superheavy Samurai',)",Not yet released,Fri Dec 16 14:41:31 2022,New
,Not yet released,Sat Dec 17 17:52:34 2022,New
"('Synchro (series)',)",Unlimited,Sat Dec 17 00:51:56 2022,New
"('Synchro (series)',)",Not yet released,Mon Nov 21 12:20:26 2022,Old
"('Constellar', 'tellarknight')",Not yet released,Sat Dec 17 08:03:17 2022,New
"('Constellar', 'tellarknight')",Not yet released,Sat Dec 17 17:55:06 2022,New
"('Constellar', 'tellarknight')",Not yet released,Sat Dec 17 12:39:57 2022,New
"('Constellar', 'tellarknight')",Not yet released,Sat Dec 17 08:03:00 2022,New
,Unlimited,Sat Dec 17 02:29:25 2022,New
"('Sky Striker',)",Not yet released,Mon Nov 21 12:24:15 2022,Old
"('Sky Striker',)",Unlimited,Sat Dec 17 00:52:33 2022,New
"('Sky Striker',)",Unlimited,Sat Dec 17 00:53:05 2022,New
"('Sky Striker',)",Not yet released,Mon Nov 21 12:27:52 2022,Old
,Unlimited,Sat Dec 17 02:41:21 2022,New
