Effect type,Artwork,Modification date,Version
"('Condition', 'Continuous Effect', 'Trigger Effect')",,2022-10-22 05:57:39,Old
"('Condition', 'Continuous Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:16:18,New
"('Continuous Effect', 'Trigger Effect')",,2022-09-13 08:20:11,Old
"('Continuous Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:21:18,New
"('Condition', 'Effect', 'Trigger Effect')",,2022-11-18 12:20:24,Old
"('Condition', 'Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:14:32,New
"('Quick-like Effect', 'Trigger Effect')",,2022-04-20 02:53:07,Old
"('Quick-like Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:17:06,New
"('Continuous Effect',)",,2022-09-13 08:20:45,Old
"('Continuous Effect',)","('Edited',)",2023-01-12 11:17:55,New
"('Quick Effect',)",,2022-08-14 10:11:28,Old
"('Quick Effect',)","('Edited',)",2023-01-12 11:19:30,New
"('Condition', 'Effect', 'Ignition-like Effect')",,2022-10-22 05:57:22,Old
"('Condition', 'Effect', 'Ignition-like Effect')","('Edited',)",2023-01-12 11:25:38,New
"('Condition', 'Ignition Effect', 'Trigger Effect')",,2022-10-22 05:57:44,Old
"('Condition', 'Ignition Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:21:54,New
"('Condition', 'Ignition Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:22:31,New
"('Condition', 'Ignition Effect', 'Trigger Effect')",,2022-09-13 08:20:18,Old
"('Condition', 'Ignition Effect', 'Trigger Effect')","('Edited',)",2023-01-12 11:23:10,New
"('Condition', 'Ignition Effect', 'Trigger Effect')",,2022-10-22 05:57:48,Old
"('Quick-like Effect', 'Trigger Effect', 'Unclassified effect')",,2023-01-12 11:21:37,New
"('Quick-like Effect', 'Unclassified effect')",,2022-05-04 17:13:44,Old
"('Activation condition', 'Effect')","('Edited',)",2023-01-12 11:27:59,New
"('Activation condition', 'Effect')",,2022-04-20 15:20:35,Old
