Password,Effect type,Artwork,OCG status,Modification date,Errata,Version
,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",,Not yet released,2022-12-29 13:01:56,,Old
38811586,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",,Unlimited,2023-01-14 01:45:37,,New
,"('Condition', 'Ignition Effect', 'Quick Effect')",,Not yet released,2022-12-25 01:16:43,,Old
31600845,"('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,2023-01-14 01:10:39,,New
,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2023-01-02 09:15:54,,Old
91300233,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 07:39:28,,New
,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2023-01-03 14:10:27,,Old
19271881,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-01-14 02:47:31,,New
45675980,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,Unlimited,2023-01-14 02:48:34,,New
,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,Not yet released,2023-01-09 12:03:30,,Old
39643167,"('Quick Effect',)",,Unlimited,2023-01-14 19:10:12,,New
,"('Quick Effect',)",,Not yet released,2023-01-02 11:31:36,,Old
27572350,"('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,2023-01-14 01:55:24,,New
,"('Condition', 'Ignition Effect', 'Quick Effect')",,Not yet released,2023-01-13 14:32:59,,Old
22850702,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:00:05,,New
,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2023-01-04 18:34:49,,Old
,"('Condition', 'Ignition Effect', 'Quick Effect')",,Not yet released,2022-11-15 20:14:09,,Old
92422871,"('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,2023-01-14 01:42:56,,New
,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2022-11-15 20:08:00,,Old
65037172,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-01-14 01:39:34,,New
82886276,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-01-14 02:46:40,,New
,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2022-12-24 22:21:05,,Old
57900671,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-01-14 02:16:17,,New
,"('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,2022-11-15 20:20:01,,Old
57736667,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-01-14 02:36:55,,New
