TCG status,Artwork,Modification date,Version
Not yet released,,2023-01-11 16:15:00,Old
Unlimited,,2023-01-19 09:10:08,New
Unlimited,"('Edited',)",2023-01-19 13:43:01,New
Unlimited,,2020-11-15 06:04:56,Old
Unlimited,"('Edited',)",2023-01-19 13:45:42,New
Unlimited,,2021-12-14 12:29:06,Old
Unlimited,,2022-04-15 16:21:29,Old
Unlimited,"('Edited',)",2023-01-19 13:31:53,New
Not yet released,,2023-01-11 16:15:00,Old
Unlimited,,2023-01-19 09:10:14,New
Not yet released,,2023-01-11 16:14:59,Old
Unlimited,,2023-01-19 09:10:18,New
Not yet released,,2023-01-11 16:14:52,Old
Unlimited,,2023-01-19 09:10:50,New
Not yet released,,2023-01-11 16:14:58,Old
Unlimited,,2023-01-19 09:10:46,New
Unlimited,,2023-01-19 09:10:56,New
Not yet released,,2023-01-18 16:13:11,Old
Not yet released,,2023-01-11 16:14:50,Old
Unlimited,,2023-01-19 09:11:02,New
Unlimited,,2023-01-19 09:11:06,New
Not yet released,,2023-01-11 16:14:50,Old
Not yet released,,2023-01-11 16:14:32,Old
Unlimited,,2023-01-19 09:12:03,New
Not yet released,,2023-01-11 16:14:27,Old
Unlimited,,2023-01-19 09:12:22,New
Unlimited,,2023-01-19 09:12:32,New
Not yet released,,2023-01-11 16:14:23,Old
Unlimited,"('Edited',)",2023-01-19 09:12:51,New
Not yet released,"('Edited',)",2023-01-17 01:21:21,Old
Unlimited,,2023-01-19 09:12:58,New
Not yet released,,2023-01-11 16:14:15,Old
Not yet released,,2023-01-11 16:14:21,Old
Unlimited,,2023-01-19 09:12:37,New
Not yet released,,2023-01-11 16:14:17,Old
Unlimited,,2023-01-19 09:12:48,New
Unlimited,"('Edited',)",2023-01-19 09:13:03,New
Not yet released,"('Edited',)",2023-01-17 01:26:18,Old
Unlimited,,2023-01-19 09:12:42,New
Not yet released,,2023-01-11 16:14:18,Old
Not yet released,,2023-01-11 16:14:44,Old
Unlimited,,2023-01-19 09:11:16,New
Not yet released,,2023-01-11 16:14:31,Old
Unlimited,,2023-01-19 09:12:08,New
Unlimited,"('Edited',)",2023-01-19 09:12:16,New
Not yet released,"('Edited',)",2023-01-17 01:16:28,Old
Unlimited,,2023-01-19 09:10:40,New
Not yet released,,2023-01-11 16:14:58,Old
Unlimited,,2023-01-19 09:11:36,New
Not yet released,,2023-01-11 16:14:42,Old
Unlimited,,2023-01-19 09:11:22,New
Not yet released,,2023-01-11 16:14:42,Old
Not yet released,,2023-01-11 16:14:42,Old
Unlimited,,2023-01-19 09:11:29,New
Unlimited,,2023-01-19 09:11:41,New
Not yet released,,2023-01-11 16:14:41,Old
Unlimited,,2023-01-19 09:10:03,New
Not yet released,,2023-01-11 16:15:08,Old
Unlimited,,2023-01-19 09:09:25,New
Not yet released,,2023-01-11 16:15:17,Old
Unlimited,,2023-01-19 09:09:42,New
Not yet released,,2023-01-11 16:15:11,Old
Unlimited,,2023-01-19 09:09:46,New
Not yet released,,2023-01-11 16:15:09,Old
Unlimited,,2023-01-19 09:09:56,New
Not yet released,,2023-01-11 16:15:08,Old
Unlimited,,2023-01-19 09:09:36,New
Not yet released,,2023-01-11 16:15:15,Old
Not yet released,,2023-01-11 16:15:17,Old
Unlimited,,2023-01-19 09:09:18,New
Unlimited,,2023-01-19 09:09:30,New
Not yet released,,2023-01-11 16:15:16,Old
Unlimited,,2023-01-19 09:09:50,New
Not yet released,,2023-01-11 16:15:10,Old
Unlimited,,2023-01-19 09:11:11,New
Not yet released,,2023-01-11 16:14:50,Old
Not yet released,,2023-01-11 16:14:26,Old
Unlimited,,2023-01-19 09:12:27,New
