Name,Print,Cover card,Modification date,Version
Satellite Cannon,,,2022-07-23 17:01:37,Old
Satellite Cannon,New,,2022-07-23 17:01:37,New
Book of Moon,,,2022-07-23 17:01:37,Old
Book of Moon,Reprint,,2022-07-23 17:01:37,New
Metamorphosis,Reprint,,2022-07-23 17:01:37,New
Metamorphosis,,,2022-07-23 17:01:37,Old
Sakuretsu Armor,Reprint,,2022-07-23 17:01:37,New
Sakuretsu Armor,,,2022-07-23 17:01:37,Old
Night Assailant,,,2022-07-23 17:01:37,Old
Night Assailant,Reprint,,2022-07-23 17:01:37,New
Big Shield Gardna,,,2022-07-23 17:01:37,Old
Big Shield Gardna,Reprint,,2022-07-23 17:01:37,New
Limiter Removal,,,2022-07-23 17:01:37,Old
Limiter Removal,Reprint,,2022-07-23 17:01:37,New
Solemn Judgment,Reprint,,2022-07-23 17:01:37,New
Solemn Judgment,,,2022-07-23 17:01:37,Old
Reflect Bounder,Reprint,,2022-07-23 17:01:37,New
Reflect Bounder,,,2022-07-23 17:01:37,Old
Enemy Controller,,,2022-07-23 17:01:37,Old
Enemy Controller,Reprint,,2022-07-23 17:01:37,New
Pot of Avarice,Reprint,,2022-07-23 17:01:37,New
Pot of Avarice,,,2022-07-23 17:01:37,Old
Thunder Kid,,,2022-07-23 17:01:37,Old
Thunder Kid,New,,2022-07-23 17:01:37,New
Mysterious Guard,Reprint,,2022-07-23 17:01:37,New
Mysterious Guard,,,2022-07-23 17:01:37,Old
King Tiger Wanghu,Reprint,,2022-07-23 17:01:37,New
King Tiger Wanghu,,,2022-07-23 17:01:37,Old
My Body as a Shield,,,2022-07-23 17:01:37,Old
My Body as a Shield,Reprint,,2022-07-23 17:01:37,New
Final Countdown,,,2022-07-23 17:01:37,Old
Final Countdown,Reprint,,2022-07-23 17:01:37,New
Mudora,,,2022-07-23 17:01:37,Old
Mudora,Reprint,,2022-07-23 17:01:37,New
Stealth Bird,,,2022-07-23 17:01:37,Old
Stealth Bird,Reprint,,2022-07-23 17:01:37,New
Emissary of the Afterlife,,,2022-07-23 17:01:37,Old
Emissary of the Afterlife,Reprint,,2022-07-23 17:01:37,New
Threatening Roar,Reprint,,2022-07-23 17:01:37,New
Threatening Roar,,,2022-07-23 17:01:37,Old
Magical Stone Excavation,,,2022-07-23 17:01:44,Old
Magical Stone Excavation,New,,2022-07-23 17:01:44,New
