Set,Name,Rarity,Print,Cover card,Modification date,Version
Classic Pack 03,Black Luster Soldier - Envoy of the Beginning,"('Prismatic Secret Rare',)",Reprint,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,Charging Gaia the Fierce Knight,"('Rare',)",,,2022-11-07 13:43:33,Old
Classic Pack 03,Charging Gaia the Fierce Knight,"('Rare',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,Sphere Kuriboh,"('Common',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,Sphere Kuriboh,"('Common',)",,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,Black Luster Soldier,"('Secret Rare',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,Black Luster Soldier - Super Soldier,"('Common',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,Black Luster Soldier - Legendary Swordsman,"('Secret Rare',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,,,,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
Classic Pack 03,Gateway to Chaos,"('Rare',)",New,,2022-11-07 13:43:33,New
Classic Pack 03,,,,,2022-11-07 13:43:33,Old
