Name,Rarity,Print,Version
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
D/D Lamia,"('Common',)",New,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
D/D/D Abyss King Gilgamesh,"('Super Rare',)",New,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,Old
,,,New
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
,,,New
,,,Old
Pluggyfish,"('Common',)",,New
Jellyplug,"('Common',)",,Old
Lanterncoilfish,"('Rare',)",,New
Anglercoil,"('Rare',)",,Old
Zapzap Octospark,"('Common',)",,Old
Zap Zap Octospark,"('Common',)",,New
Showering Seaferno,"('Common',)",,New
Showering Infergyo,"('Common',)",,Old
Pluggyfish,"('Common',)",,New
Jellyplug,"('Common',)",,Old
Lanterncoilfish,"('Rare',)",,New
Anglercoil,"('Rare',)",,Old
Zap Zap Octospark,"('Common',)",,New
Zapzap Octospark,"('Common',)",,Old
Showering Infergyo,"('Common',)",,Old
Showering Seaferno,"('Common',)",,New
