Set,Name,Rarity,Print,Region,Release,Set type,Cover card,Modification date,Version
Starter Deck: Joey,Red-Eyes Black Dragon,"('Ultra Rare',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Red-Eyes Black Dragon,"('Ultra Rare',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Swordsman of Landstar,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Swordsman of Landstar,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Baby Dragon,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Baby Dragon,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Spirit of the Harp,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Spirit of the Harp,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Island Turtle,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Island Turtle,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Flame Manipulator,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Flame Manipulator,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Masaki the Legendary Swordsman,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Masaki the Legendary Swordsman,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,7 Colored Fish,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,7 Colored Fish,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Armored Lizard,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Armored Lizard,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Darkfire Soldier #1,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Darkfire Soldier #1,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Sky Scout,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Sky Scout,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Gearfried the Iron Knight,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Gearfried the Iron Knight,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Karate Man,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Karate Man,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Milus Radiant,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Milus Radiant,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Time Wizard,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Time Wizard,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Maha Vailo,"('Common',)",,SP,2003-03-30,Starter Deck,"('Red-Eyes Black Dragon',)",2022-05-07 12:47:54,Old
Starter Deck: Joey,Maha Vailo,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
Starter Deck: Joey,Magician of Faith,"('Common',)",,SP,2004-06-01,Starter Deck,"('Red-Eyes Black Dragon',)",2023-01-14 16:46:40,New
