Name,Rarity,Print,Cover card,Version
Purrely Pretty Memory,"('Ultra Rare',)",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Purrely Pretty Memory,"('Ultra Rare', ""Collector's Rare"")",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Hidden Armory,"('Rare',)",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Hidden Armory,"('Rare', ""Collector's Rare"")",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Purrely Pretty Memory,"('Ultra Rare',)",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Purrely Pretty Memory,"('Ultra Rare', ""Collector's Rare"")",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Hidden Armory,"('Rare', ""Collector's Rare"")",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Hidden Armory,"('Rare',)",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Purrely Pretty Memory,"('Ultra Rare',)",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Purrely Pretty Memory,"('Ultra Rare', ""Collector's Rare"")",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Hidden Armory,"('Rare',)",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Hidden Armory,"('Rare', ""Collector's Rare"")",Reprint,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
Purrely Pretty Memory,"('Ultra Rare', ""Collector's Rare"")",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",New
Purrely Pretty Memory,"('Ultra Rare',)",New,"('Expurrely Happiness', 'Ohime the Manifested Mikanko', 'Rescue-ACE Turbulence')",Old
