Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Link,Link Arrows,TCG status,OCG status
"""A"" Cell Breeding Device",34541863,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
"""A"" Cell Incubator",64163367,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
"""A"" Cell Recombination Device",91231901,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
"""A"" Cell Scatter Burst",73262676,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
"""Infernoble Arms - Durendal""",37478723,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
"""Infernoble Arms - Hauteclere""",64867422,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
"""Infernoble Arms - Joyeuse""",90861137,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
1st Movement Solo,44256816,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
7,67048711,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
7 Completed,86198326,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
The A. Forces,00403847,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
A.I. Contact,10493654,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
A.I. Love Fusion,59332125,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
A.I. Meet You,06552971,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
A.I.'s Ritual,85327820,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
A.I.dle Reborn,22933016,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Abomination's Prison,27412542,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Absorb Fusion,71422989,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Playhouse - Fantastic Theater,77297908,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Prop - Wild Wagon,86578200,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Abysstainment,70564929,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Fantasy Magic,87390798,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Fire Dragon's Lair,50179591,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Opening Ceremony,23784496,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Rise of the Abyss King,13662809,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss Script - Romantic Terror,41803903,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss-scale of Cetus,19596712,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss-scale of the Kraken,08719957,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyss-scale of the Mizuchi,72932673,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Abyssal Designator,89801755,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Accellight,34838437,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Acid Rain,21323861,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Acidic Downpour,35956022,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Action Magic - Double Banking,35498188,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Action Magic - Full Turn,99004583,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Adamancipator Friends,99927991,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Adamancipator Laputite,46552140,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Adamancipator Signs,72957245,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Advance Draw,51630558,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Advance Force,38589847,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Advance Zone,76224717,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Advanced Dark,12644061,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Advanced Heraldry Art,61314842,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Advanced Ritual Art,46052429,Spell Card,Ritual Spell Card,,,,,,,,,,Unlimited,Unlimited
After the Storm,82263578,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
After the Struggle,25345186,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Afterglow,43575579,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Against the Wind,64952266,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Air Cracking Storm,98864751,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Allure of Darkness,01475311,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Alluring Mirror Split,92881099,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazement Precious Park,33773528,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazement Special Show,06374519,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazing Pendulum,37803970,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazing Time Ticket,70389815,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazoness Call,57312333,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazoness Fighting Spirit,36100154,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazoness Heirloom,79965360,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazoness Secret Technique,86758746,Spell Card,Quick-Play Spell Card,,,,,,,,,,,Unlimited
Amazoness Spellcaster,81325903,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Amazoness Village,00712559,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Amorphage Infection,50554729,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Amorphous Persona,23160024,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Amplifier,00303660,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Amulet of Ambition,05183693,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Chant,78665705,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient City - Rainbow Ruins,34487429,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Forest,87624166,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Castle,92001300,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Catapult,44052074,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Drill,67829249,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Explosive,04446672,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Factory,30435145,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Fist,40830387,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Fortress,70147689,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Fusion,64061284,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Tank,37457534,Spell Card,Equip Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Gear Workshop,59811955,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Leaf,11830996,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Rules,10667321,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Telescope,17092736,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Warriors Saga - Borrowing of Arrows,33609093,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Warriors Saga - Deception and Betrayal,45115956,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Warriors Saga - East-by-South Winds,62528292,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Warriors Saga - Sun-Liu Alliance,58116537,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Ancient Warriors Saga - Three Visits,11711438,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Angel with Blue Tears,91706817,Spell Card,Normal Spell Card,,,,,,,,,,,Unlimited
Ante,34236961,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Anti-Magic Arrows,97120394,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Appliancer Conversion,27157996,Spell Card,Quick-Play Spell Card,,,,,,,,,,Unlimited,Unlimited
Appliancer Electrilyrical World,03875465,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
Appliancer Reuse,30996652,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Appliancer Test,66380357,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Aqua Jet,07653207,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Aquarium Lighting,91831066,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Aquarium Set,65446452,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Aquarium Stage,29047353,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Arcana Reading,11819473,Spell Card,Normal Spell Card,,,,,,,,,,Unlimited,Unlimited
Arcane Barrier,17896384,Spell Card,Continuous Spell Card,,,,,,,,,,Unlimited,Unlimited
Archfiend Palabyrinth,63883999,Spell Card,Field Spell Card,,,,,,,,,,Unlimited,Unlimited
