Name,Card type,Monster type,DEF,Set,Card number,Ability,Rule,ATK,Level,Page URL
Aphrodite,Monster Card,White Magic,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,22,,4,1000,5,https://yugipedia.com/wiki/Aphrodite
Armored Basic Insect with Laser Cannon,Monster Card,Insect,1300,Yu-Gi-Oh! Bandai OCG: 1st Generation,17,,8,2400,6,https://yugipedia.com/wiki/Armored_Basic_Insect_with_Laser_Cannon
Armored Lizard,Monster Card,Beast-Warrior,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,73,,6,1800,5,https://yugipedia.com/wiki/Armored_Lizard_(Bandai)
Armored Zombie,Monster Card,Fiend,0,Yu-Gi-Oh! Bandai OCG: 2nd Generation,80,,11,2400,4,https://yugipedia.com/wiki/Armored_Zombie_(Bandai)
Axe Raider,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 2nd Generation,60,,7,2300,6,https://yugipedia.com/wiki/Axe_Raider_(Bandai)
Baby Dragon,Monster Card,Dragon,900,Yu-Gi-Oh! Bandai OCG: 1st Generation,28,,9,2000,4,https://yugipedia.com/wiki/Baby_Dragon_(Bandai)
Barox,Monster Card,Fiend,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,76,,9,1800,5,https://yugipedia.com/wiki/Barox_(Bandai)
Basic Insect,Monster Card,Insect,1000,Yu-Gi-Oh! Bandai OCG: 1st Generation,16,,7,500,2,https://yugipedia.com/wiki/Basic_Insect_(Bandai)
Battle Ox,Monster Card,Beast-Warrior,1000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,61,,8,2400,6,https://yugipedia.com/wiki/Battle_Ox_(Bandai)
Battle Steer,Monster Card,Beast-Warrior,1600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,74,,7,2100,5,https://yugipedia.com/wiki/Battle_Steer_(Bandai)
Battle Warrior,Monster Card,Warrior,800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,79,,10,1500,4,https://yugipedia.com/wiki/Battle_Warrior_(Bandai)
Beaver Warrior,Monster Card,Beast-Warrior,1800,Yu-Gi-Oh! Bandai OCG: 1st Generation,34,,6,1400,4,https://yugipedia.com/wiki/Beaver_Warrior_(Bandai)
Black Skull Dragon,Monster Card,Fiend,2600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,49,,,3200,7,https://yugipedia.com/wiki/Black_Skull_Dragon_(Bandai)
Blackland Fire Dragon,Monster Card,Dragon,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,24,,6,2100,5,https://yugipedia.com/wiki/Blackland_Fire_Dragon_(Bandai)
Blue-Eyes White Dragon,Monster Card,Dragon,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,9,,9,3000,8,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(Bandai)
Blue-Eyes White Dragon,Monster Card,Dragon,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,118,,,3000,8,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(English_Bandai)
Blue-Eyes White Dragon's 3-Body Connection,Monster Card,Dragon,3000,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,4500,8,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection
Blue-Eyes White Dragon's 3-Body Connection,Monster Card,Dragon,,Yu-Gi-Oh! Bandai OCG: 1st Generation,114,,,,8,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection_(4-card_version)
Catapult Turtle,Monster Card,Beast,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,56,,,1600,6,https://yugipedia.com/wiki/Catapult_Turtle_(Bandai)
Celtic Guardian,Monster Card,Warrior,2200,Yu-Gi-Oh! Bandai OCG: 1st Generation,27,,8,1300,5,https://yugipedia.com/wiki/Celtic_Guardian_(Bandai)
Chimera,Monster Card,Beast,1700,Yu-Gi-Oh! Bandai OCG: 3rd Generation,106,,12,2300,6,https://yugipedia.com/wiki/Chimera
Clown Zombie,Monster Card,Fiend,0,Yu-Gi-Oh! Bandai OCG: 2nd Generation,83,,1,1800,3,https://yugipedia.com/wiki/Clown_Zombie_(Bandai)
