Name,Card type,Monster type,DEF,Set,Card number,Ability,Rule,ATK,Level,Page name,Page URL,Modification date
Kojikocy,Monster Card,Warrior,1300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,70,,4,2100,5,Kojikocy (Bandai),https://yugipedia.com/wiki/Kojikocy_(Bandai),2019-02-03 16:40:41
Dragon Zombie,Monster Card,Fiend,400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,65,,12,2400,5,Dragon Zombie (Bandai),https://yugipedia.com/wiki/Dragon_Zombie_(Bandai),2016-04-26 16:59:22
Axe Raider,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 2nd Generation,60,,7,2300,6,Axe Raider (Bandai),https://yugipedia.com/wiki/Axe_Raider_(Bandai),2019-02-03 16:26:18
Wattkid,Monster Card,Thunder,800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,87,,4,1500,3,Wattkid (Bandai),https://yugipedia.com/wiki/Wattkid_(Bandai),2019-02-03 17:26:55
Megamorph,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,91,,,,,Megamorph (Bandai),https://yugipedia.com/wiki/Megamorph_(Bandai),2015-04-05 03:56:57
Horn of the Unicorn,Equip Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,51,,,,,Horn of the Unicorn (Bandai),https://yugipedia.com/wiki/Horn_of_the_Unicorn_(Bandai),2019-02-03 16:09:34
Rock-Gun,Monster Card,Warrior,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,103,,9,1500,5,Rock-Gun,https://yugipedia.com/wiki/Rock-Gun,2019-02-04 16:27:05
Kazejin,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,45,,,2400,6,Kazejin (Bandai),https://yugipedia.com/wiki/Kazejin_(Bandai),2019-02-03 14:28:19
Kairyu-Shin,Monster Card,Sea Serpent,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,57,,4,2200,6,Kairyu-Shin (Bandai),https://yugipedia.com/wiki/Kairyu-Shin_(Bandai),2019-02-03 16:18:21
Armored Lizard,Monster Card,Beast-Warrior,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,73,,6,1800,5,Armored Lizard (Bandai),https://yugipedia.com/wiki/Armored_Lizard_(Bandai),2019-02-03 17:07:39
