Name,Password,Card type,Property,Effect type,Archseries,TCG status,OCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
"""A"" Cell Breeding Device",34541863,Spell Card,Continuous Spell Card,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/%22A%22_Cell_Breeding_Device,2021-11-06 13:57:15,"('Name',)",,,,,,,,,,
"""A"" Cell Incubator",64163367,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/%22A%22_Cell_Incubator,2022-06-13 04:27:51,,,,,,,,,,,
"""A"" Cell Recombination Device",91231901,Spell Card,Quick-Play Spell Card,"('Effect', 'Ignition-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/%22A%22_Cell_Recombination_Device,2020-03-12 22:40:14,,,,,,,,,,,
"""A"" Cell Scatter Burst",73262676,Spell Card,Quick-Play Spell Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/%22A%22_Cell_Scatter_Burst,2021-11-06 13:58:32,,,,,,,,,,,
"""Infernoble Arms - Durendal""",37478723,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,2023-01-28 17:19:31,,,,,,,,,,,
"""Infernoble Arms - Hauteclere""",64867422,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/%22Infernoble_Arms_-_Hauteclere%22,2021-11-27 20:49:23,,,,,,,,,,,
"""Infernoble Arms - Joyeuse""",90861137,Spell Card,Equip Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Noble Arms',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/%22Infernoble_Arms_-_Joyeuse%22,2021-11-27 20:49:05,,,,,,,,,,,
1st Movement Solo,44256816,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/1st_Movement_Solo,2022-03-10 02:56:34,,,,,,,,,,,
3-Hump Lacooda,86988864,Monster Card,,"('Ignition Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/3-Hump_Lacooda,2022-03-31 12:34:57,,Effect Monster,,EARTH,Beast,3,500,1500,,,
"30,000-Year White Turtle",11714098,Monster Card,,,,,Unlimited,,"https://yugipedia.com/wiki/30,000-Year_White_Turtle",2022-04-27 07:30:34,,Normal Monster,,WATER,Aqua,5,1250,2100,,,
4-Starred Ladybug of Doom,83994646,Monster Card,,"('Flip effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,2022-03-31 12:41:11,,Effect Monster,Flip monster,WIND,Insect,3,800,1200,,,
7,67048711,Spell Card,Continuous Spell Card,"('Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/7,2022-04-19 18:04:31,,,,,,,,,,,
7 Colored Fish,23771716,Monster Card,,,,Unlimited,Unlimited,,https://yugipedia.com/wiki/7_Colored_Fish,2022-03-31 12:27:39,,Normal Monster,,WATER,Fish,4,1800,800,,,
7 Completed,86198326,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/7_Completed,2021-10-31 17:18:50,"('Type',)",,,,,,,,,,
8-Claws Scorpion,14261867,Monster Card,,"('Ignition Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/8-Claws_Scorpion,2022-03-31 12:45:07,,Effect Monster,,DARK,Insect,2,300,200,,,
A Cat of Ill Omen,24140059,Monster Card,,"('Flip effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,2022-04-11 17:39:44,,Effect Monster,Flip monster,DARK,Beast,2,500,300,,,
A Deal with Dark Ruler,06850209,Spell Card,Quick-Play Spell Card,"('Activation condition', 'Condition', 'Effect')","('Archfiend',)",Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/A_Deal_with_Dark_Ruler,2021-12-06 10:26:25,"('Name', 'Type')",,,,,,,,,,
A Feather of the Phoenix,49140998,Spell Card,Normal Spell Card,"('Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Feather_of_the_Phoenix,2023-01-03 18:53:03,,,,,,,,,,,
A Feint Plan,68170903,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Feint_Plan,2023-01-03 15:54:24,,,,,,,,,,,
A Hero Emerges,21597117,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Hero_Emerges,2022-03-21 20:21:26,,,,,,,,,,,
A Hero Lives,08949584,Spell Card,Normal Spell Card,"('Activation condition', 'Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Hero_Lives,2022-11-02 12:48:15,,,,,,,,,,,
A Legendary Ocean,00295517,Spell Card,Field Spell Card,"('Condition', 'Continuous-like Effect')","('Umi (series)',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Legendary_Ocean,2022-11-04 14:25:19,"('Type',)",,,,,,,,,,
A Major Upset,32207100,Trap Card,Normal Trap Card,"('Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Major_Upset,2022-04-27 14:47:04,,,,,,,,,,,
A Man with Wdjat,51351302,Monster Card,,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Man_with_Wdjat,2023-01-03 15:53:59,,Effect Monster,,DARK,Spellcaster,4,1600,1600,,,
A Rival Appears!,05728014,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Rival_Appears!,2022-04-20 11:26:31,,,,,,,,,,,
A Wild Monster Appears!,23587624,Spell Card,Normal Spell Card,"('Activation condition', 'Effect', 'Lingering effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Wild_Monster_Appears!,2022-03-10 03:30:59,,,,,,,,,,,
A Wingbeat of Giant Dragon,28596933,Spell Card,Normal Spell Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/A_Wingbeat_of_Giant_Dragon,2023-01-03 01:00:27,"('Type',)",,,,,,,,,,
A World Shrouded in Darkness,09597987,Spell Card,Field Spell Card,"('Condition', 'Trigger Effect')","('Ninjitsu Art',)",,Unlimited,,https://yugipedia.com/wiki/A_World_Shrouded_in_Darkness,2023-01-11 16:46:44,,,,,,,,,,,
