Name,Password,Card type,Property,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,Secondary type,Monster type,DEF,Pendulum Scale,Link,Link Arrows,ATK,Level/Rank
"""A"" Cell Breeding Device",34541863,Spell Card,Continuous Spell Card,,"('Trigger Effect',)",Unlimited,Unlimited,"""A"" Cell Breeding Device",https://yugipedia.com/wiki/%22A%22_Cell_Breeding_Device,,2023-03-17 23:21:36,"('Name',)",,,,,,,,,,
"""A"" Cell Incubator",64163367,Spell Card,Continuous Spell Card,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""A"" Cell Incubator",https://yugipedia.com/wiki/%22A%22_Cell_Incubator,,2023-03-17 23:21:41,,,,,,,,,,,
"""A"" Cell Recombination Device",91231901,Spell Card,Quick-Play Spell Card,,"('Effect', 'Ignition-like Effect')",Unlimited,Unlimited,"""A"" Cell Recombination Device",https://yugipedia.com/wiki/%22A%22_Cell_Recombination_Device,,2023-03-17 23:21:48,,,,,,,,,,,
"""A"" Cell Scatter Burst",73262676,Spell Card,Quick-Play Spell Card,,"('Effect',)",Unlimited,Unlimited,"""A"" Cell Scatter Burst",https://yugipedia.com/wiki/%22A%22_Cell_Scatter_Burst,,2023-03-17 23:21:53,,,,,,,,,,,
"""Infernoble Arms - Almace""",98319530,Spell Card,Equip Spell Card,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,"""Infernoble Arms - Almace""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Almace%22,,2023-04-22 12:21:12,,,,,,,,,,,
"""Infernoble Arms - Durendal""",37478723,Spell Card,Equip Spell Card,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Durendal""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,,2023-04-11 21:41:25,"('Any',)",,,,,,,,,,
"""Infernoble Arms - Hauteclere""",64867422,Spell Card,Equip Spell Card,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Hauteclere""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Hauteclere%22,,2023-04-11 21:41:34,,,,,,,,,,,
"""Infernoble Arms - Joyeuse""",90861137,Spell Card,Equip Spell Card,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Joyeuse""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Joyeuse%22,,2023-04-11 21:41:39,,,,,,,,,,,
1st Movement Solo,44256816,Spell Card,Normal Spell Card,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,1st Movement Solo,https://yugipedia.com/wiki/1st_Movement_Solo,,2023-03-17 23:22:28,,,,,,,,,,,
3-Hump Lacooda,86988864,Monster Card,,,"('Ignition Effect',)",Unlimited,Unlimited,3-Hump Lacooda,https://yugipedia.com/wiki/3-Hump_Lacooda,,2023-03-17 23:22:40,"('Any',)",EARTH,Effect Monster,,Beast,1500,,,,500,3
