Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,Level/Rank,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Page name,Page URL,Artwork,Modification date
1-Up,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,1-Up,https://yugipedia.com/wiki/1-Up,,2022-09-18 19:47:54
1/Infinity,Spell Card,Normal Spell Card,,,,,,,,False,False,,,1/Infinity,https://yugipedia.com/wiki/1/Infinity,,2021-12-19 01:15:37
1seg Wurm,Monster Card,,"('High Tech Dragon',)",LIGHT,Effect Monster,Dragon,,1,1100,False,False,700,,1seg Wurm,https://yugipedia.com/wiki/1seg_Wurm,,2023-01-22 00:40:17
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Cosmic Urban Legend',)",,,,"('Effect',)",,,False,False,,,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,,2022-11-17 12:07:53
7 Chance,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,7 Chance,https://yugipedia.com/wiki/7_Chance,,2022-12-10 20:50:09
7 Shift,Spell Card,Normal Spell Card,,,,,,,,False,False,,,7 Shift,https://yugipedia.com/wiki/7_Shift,,2022-08-14 05:50:38
Abare Ushioni,Monster Card,,,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",4,1200,False,False,1200,,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),,2022-11-17 12:09:14
Absurd Burst,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Absurd Burst,https://yugipedia.com/wiki/Absurd_Burst,,2023-02-14 17:15:50
Absurd Void Hole,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Absurd Void Hole,https://yugipedia.com/wiki/Absurd_Void_Hole,,2023-02-14 18:23:31
Abyss Soldier,Monster Card,,,WATER,Effect Monster,Aqua,"('Effect',)",4,1300,True,False,1800,,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),,2022-11-17 12:14:35
