Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
1-Up,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,1-Up,https://yugipedia.com/wiki/1-Up,,2022-09-18 19:47:54,
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Cosmic Urban Legend',)",,,,"('Effect',)",,False,False,,,,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,,2022-11-17 12:07:53,
7 Chance,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,7 Chance,https://yugipedia.com/wiki/7_Chance,,2022-12-10 20:50:09,
Abare Ushioni,Monster Card,,,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1200,False,False,1200,,4,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),,2022-11-17 12:09:14,
Abyss Soldier,Monster Card,,,WATER,Effect Monster,Aqua,"('Effect',)",1300,True,False,1800,,4,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),,2022-11-17 12:14:35,
Acacia the Shadow Flower Priestess,Monster Card,,"('Shadow Flower',)",EARTH,Effect Monster,Plant,"('Effect',)",1000,False,False,1000,,3,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,,2022-09-21 05:28:13,
Accel Wonder Flare,Monster Card,,,FIRE,Effect Monster,Spellcaster,"('Effect',)",1600,False,False,1700,,5,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,,2022-08-11 22:59:06,
Accel Wonder Pebble,Monster Card,,,EARTH,Effect Monster,Spellcaster,"('Effect',)",700,False,False,1600,,5,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,,2023-01-03 23:07:41,
Accel Wonder Supra,Monster Card,,,WATER,Effect Monster,Spellcaster,"('Effect',)",1700,False,False,1600,,6,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,,2022-04-19 20:53:19,
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,"('Effect',)",,False,False,,,,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,,2022-10-13 15:49:19,
Achacha Catcher,Monster Card,,"('Baseball',)",FIRE,Normal Monster,Warrior,,400,False,False,1400,,4,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,,2022-12-10 20:56:47,
Against Buster,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Against Buster,https://yugipedia.com/wiki/Against_Buster,,2022-12-10 20:47:36,
"Agaribel, the Finest Sushi Fairy",Monster Card,,"('Sushi Fairy',)",LIGHT,Effect Monster,Fairy,"('Effect',)",1800,False,False,2500,,8,"Agaribel, the Finest Sushi Fairy","https://yugipedia.com/wiki/Agaribel,_the_Finest_Sushi_Fairy",,2022-10-30 07:47:10,
Air Formula Eagle,Monster Card,,,WIND,Effect Monster,Winged Beast,"('Effect',)",1800,False,False,2300,,7,Air Formula Eagle,https://yugipedia.com/wiki/Air_Formula_Eagle,,2022-12-10 20:44:58,
Aitsu,Monster Card,,,FIRE,Normal Monster,Fairy,,100,False,False,100,,5,Aitsu (Rush Duel),https://yugipedia.com/wiki/Aitsu_(Rush_Duel),,2023-01-29 19:42:51,
Alchemicalize Salamandra,Monster Card,,"('Chemistry',)",FIRE,Fusion Monster,Pyro,"('Effect',)",2000,False,False,3000,,9,Alchemicalize Salamandra,https://yugipedia.com/wiki/Alchemicalize_Salamandra,,2023-01-21 14:20:40,
Alco the Flame Emperor of the Lamp,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",1200,False,False,1700,,6,Alco the Flame Emperor of the Lamp,https://yugipedia.com/wiki/Alco_the_Flame_Emperor_of_the_Lamp,,2023-02-04 14:25:55,
Alien 33,Monster Card,,"('Cosmic Urban Legend',)",LIGHT,Normal Monster,Reptile,,1100,False,False,1100,,3,Alien 33,https://yugipedia.com/wiki/Alien_33,,2022-12-10 16:05:39,
"Alien Count of the White Dwarf, St. Germain",Monster Card,,"('Cosmic Urban Legend',)",LIGHT,Normal Monster,Reptile,,1300,False,False,2500,,7,"Alien Count of the White Dwarf, St. Germain","https://yugipedia.com/wiki/Alien_Count_of_the_White_Dwarf,_St._Germain",,2022-11-17 12:13:02,
Alien Shocktrooper,Monster Card,,,EARTH,Normal Monster,Reptile,,800,True,False,1900,,4,Alien Shocktrooper (Rush Duel),https://yugipedia.com/wiki/Alien_Shocktrooper_(Rush_Duel),,2022-10-10 09:06:48,
All For Naught - Bubble Burst,Trap Card,Normal Trap Card,"('Bubble Era',)",,,,"('Effect',)",,False,False,,,,All For Naught - Bubble Burst,https://yugipedia.com/wiki/All_For_Naught_-_Bubble_Burst,,2022-09-21 05:40:19,
The All-Seeing White Tiger,Monster Card,,,WIND,Normal Monster,Beast,,500,False,False,1300,,3,The All-Seeing White Tiger (Rush Duel),https://yugipedia.com/wiki/The_All-Seeing_White_Tiger_(Rush_Duel),,2022-04-23 01:18:41,
Alligator's Sword,Monster Card,,,EARTH,Normal Monster,Beast,,1200,False,False,1500,,4,Alligator's Sword (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_(Rush_Duel),,2023-02-15 13:28:42,
Alligator's Sword Dragon,Monster Card,,,WIND,Fusion Monster,Dragon,"('Effect',)",1500,False,False,1700,,5,Alligator's Sword Dragon (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon_(Rush_Duel),,2023-02-04 17:37:39,
Almastra XI - Aquarius,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",1200,False,False,2400,,8,Almastra XI - Aquarius,https://yugipedia.com/wiki/Almastra_XI_-_Aquarius,,2022-11-28 18:16:57,
Alpha Burn Drake,Monster Card,,"('High Tech Dragon',)",LIGHT,Normal Monster,Dragon,,1000,False,False,600,,1,Alpha Burn Drake,https://yugipedia.com/wiki/Alpha_Burn_Drake,,2022-12-21 09:39:42,
Alpiris the Sower,Monster Card,,,LIGHT,Effect Monster,Plant,"('Effect',)",1000,False,False,500,,2,Alpiris the Sower,https://yugipedia.com/wiki/Alpiris_the_Sower,,2023-02-04 14:24:59,
Altierra the Skysavior Transience,Monster Card,,"('Skysavior',)",DARK,Fusion Monster,Celestial Warrior,"('Continuous Effect',)",2400,False,False,2600,,9,Altierra the Skysavior Transience,https://yugipedia.com/wiki/Altierra_the_Skysavior_Transience,,2023-01-21 14:29:44,
Ama Lilith,Monster Card,,"('Psychic Musician',)",DARK,Normal Monster,Psychic,,400,False,False,400,,2,Ama Lilith,https://yugipedia.com/wiki/Ama_Lilith,,2023-01-20 21:02:24,
Amabie,Monster Card,,,WATER,Effect Monster,Fairy,"('Effect',)",0,False,False,0,,3,Amabie (Rush Duel),https://yugipedia.com/wiki/Amabie_(Rush_Duel),,2022-06-18 10:58:52,
Amazing Dealer,Monster Card,,,WATER,Effect Monster,Spellcaster,"('Effect',)",1000,False,False,0,,3,Amazing Dealer,https://yugipedia.com/wiki/Amazing_Dealer,,2022-10-10 09:09:33,
Ampler Glee,Monster Card,,"('Shaman Bandit',)",WIND,Normal Monster,Psychic,,0,False,False,1500,,4,Ampler Glee,https://yugipedia.com/wiki/Ampler_Glee,,2023-02-04 14:26:12,
Amusi Howling Performer,Monster Card,,"('Psychic Musician',)",FIRE,Fusion Monster,Psychic,"('Effect',)",1700,False,False,2500,,7,Amusi Howling Performer,https://yugipedia.com/wiki/Amusi_Howling_Performer,,2022-10-31 18:44:31,
Amusi Performer,Monster Card,,"('Psychic Musician',)",FIRE,Effect Monster,Psychic,"('Effect',)",300,False,False,800,,3,Amusi Performer,https://yugipedia.com/wiki/Amusi_Performer,,2022-12-26 02:42:45,
Analyze Phlogiston,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",2300,False,False,2300,,7,Analyze Phlogiston,https://yugipedia.com/wiki/Analyze_Phlogiston,,2022-12-21 09:57:35,
Anchor Moray,Monster Card,,,WATER,Effect Monster,Fish,"('Effect',)",600,False,False,900,,3,Anchor Moray,https://yugipedia.com/wiki/Anchor_Moray,,2022-10-20 07:36:23,
