Name,Card type,Property,Archseries,Legend,Maximum mode,Attribute,Primary type,Monster type,Effect type,DEF,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
1-Up,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,1-Up,https://yugipedia.com/wiki/1-Up,,2023-03-17 23:22:24,
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Cosmic Urban Legend',)",False,False,,,,"('Effect',)",,,,,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,,2023-03-17 23:23:00,
7 Chance,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,7 Chance,https://yugipedia.com/wiki/7_Chance,,2023-03-17 23:23:31,
Abare Ushioni,Monster Card,,,False,False,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1200,1200,,4,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),,2023-03-17 23:32:10,"('Any',)"
Abyss Flash,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Abyss Flash,https://yugipedia.com/wiki/Abyss_Flash,,2023-08-22 04:11:48,
Abyss Gash,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Abyss Gash,https://yugipedia.com/wiki/Abyss_Gash,,2023-08-22 04:12:47,
Abyss Soldier,Monster Card,,,True,False,WATER,Effect Monster,Aqua,"('Effect',)",1300,1800,,4,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),,2023-08-25 19:59:46,"('Any',)"
Abyssal Dragon Lord Abyss Poseidra,Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2500,4000,10,Abyssal Dragon Lord Abyss Poseidra,https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra,,2023-09-03 03:46:04,
Abyssal Dragon Lord Abyss Poseidra [L],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Dragon Lord Abyss Poseidra (L),https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra_(L),,2023-08-22 04:01:05,
Abyssal Dragon Lord Abyss Poseidra [R],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2400,,10,Abyssal Dragon Lord Abyss Poseidra (R),https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra_(R),,2023-08-22 04:04:32,
Abyssal Sea Dragon Abyss Kraken,Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2500,4000,10,Abyssal Sea Dragon Abyss Kraken,https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken,,2023-08-22 04:08:10,
Abyssal Sea Dragon Abyss Kraken [L],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Sea Dragon Abyss Kraken (L),https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken_(L),,2023-08-22 04:07:17,
Abyssal Sea Dragon Abyss Kraken [R],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Sea Dragon Abyss Kraken (R),https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken_(R),,2023-08-22 04:10:13,
Abysskite Ange,Monster Card,,"('Abysskite',)",False,False,LIGHT,Effect Monster,Sea Serpent,"('Effect',)",0,800,,2,Abysskite Ange,https://yugipedia.com/wiki/Abysskite_Ange,,2023-08-11 01:16:18,
Abysskite Karen,Monster Card,,"('Abysskite',)",False,False,LIGHT,Effect Monster,Sea Serpent,"('Effect',)",0,800,,2,Abysskite Karen,https://yugipedia.com/wiki/Abysskite_Karen,,2023-08-11 01:19:33,
