Name,Password,Card type,Property,Archseries,Attribute,Primary type,Secondary type,Monster type,Effect type,DEF,ATK,Level/Rank,TCG status,OCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Character
7 Completed,86198326,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,7 Completed,https://yugipedia.com/wiki/7_Completed,,2021-10-31 17:18:50,
A Cat of Ill Omen,24140059,Monster Card,,,DARK,Effect Monster,"('Flip monster',)",Beast,"('Flip effect',)",300,500,2,Unlimited,Unlimited,Unlimited,A Cat of Ill Omen,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2022-04-11 17:39:44,
A Hero Emerges,21597117,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Hero Emerges,https://yugipedia.com/wiki/A_Hero_Emerges,,2022-03-21 20:21:26,
A Hero Lives,08949584,Spell Card,Normal Spell Card,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Hero Lives,https://yugipedia.com/wiki/A_Hero_Lives,,2022-11-02 12:48:15,
A Legendary Ocean,00295517,Spell Card,Field Spell Card,"('Umi (series)',)",,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,A Legendary Ocean,https://yugipedia.com/wiki/A_Legendary_Ocean,,2022-11-04 14:25:19,
A Major Upset,32207100,Trap Card,Normal Trap Card,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Major Upset,https://yugipedia.com/wiki/A_Major_Upset,,2022-04-27 14:47:04,
Absorbing Jar,03900605,Monster Card,,"('Jar',)",EARTH,Effect Monster,"('Flip monster',)",Rock,"('Flip effect',)",500,600,3,Unlimited,Unlimited,Unlimited,Absorbing Jar,https://yugipedia.com/wiki/Absorbing_Jar,,2021-11-06 15:22:32,
Acid Trap Hole,41356845,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Acid Trap Hole,https://yugipedia.com/wiki/Acid_Trap_Hole,"('Alternate',)",2023-01-20 13:48:24,
Adhesion Trap Hole,62325062,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Adhesion Trap Hole,https://yugipedia.com/wiki/Adhesion_Trap_Hole,,2022-08-27 15:04:42,
Advanced Dark,12644061,Spell Card,Field Spell Card,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Advanced Dark,https://yugipedia.com/wiki/Advanced_Dark,,2022-12-01 14:56:47,
Advanced Ritual Art,46052429,Spell Card,Ritual Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Advanced Ritual Art,https://yugipedia.com/wiki/Advanced_Ritual_Art,,2022-08-14 09:26:14,
Airknight Parshath,18036057,Monster Card,,"('Parshath',)",LIGHT,Effect Monster,,Fairy,"('Continuous Effect', 'Trigger Effect')",1400,1900,5,Unlimited,Unlimited,Unlimited,Airknight Parshath,https://yugipedia.com/wiki/Airknight_Parshath,,2022-04-24 04:03:35,
Alinsection,70924884,Monster Card,,,EARTH,Normal Monster,,Insect,,700,950,3,Unlimited,Unlimited,Unlimited,Alinsection,https://yugipedia.com/wiki/Alinsection,,2021-11-06 15:28:08,
Alligator's Sword,64428736,Monster Card,,,EARTH,Normal Monster,,Beast,,1200,1500,4,Unlimited,Unlimited,Unlimited,Alligator's Sword,https://yugipedia.com/wiki/Alligator%27s_Sword,,2021-10-19 23:23:08,
Alligator's Sword Dragon,03366982,Monster Card,,,WIND,Fusion Monster,,Dragon,"('Continuous Effect',)",1500,1700,5,Unlimited,Unlimited,Unlimited,Alligator's Sword Dragon,https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon,,2020-11-15 04:53:12,
Allure of Darkness,01475311,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Allure of Darkness,https://yugipedia.com/wiki/Allure_of_Darkness,,2023-02-20 22:37:22,
Ally of Justice Clausolas,89386122,Monster Card,,"('Ally of Justice',)",DARK,Normal Monster,,Machine,,1200,2300,6,Unlimited,Unlimited,Unlimited,Ally of Justice Clausolas,https://yugipedia.com/wiki/Ally_of_Justice_Clausolas,,2022-03-11 20:26:09,
Ally of Justice Core Destroyer,36629203,Monster Card,,"('Ally of Justice',)",DARK,Effect Monster,,Machine,"('Trigger Effect',)",200,1200,3,Unlimited,Unlimited,Unlimited,Ally of Justice Core Destroyer,https://yugipedia.com/wiki/Ally_of_Justice_Core_Destroyer,,2022-08-27 15:02:06,
Alpha The Magnet Warrior,99785935,Monster Card,,"('Magnet Warrior', 'Warrior (archetype)')",EARTH,Normal Monster,,Rock,,1700,1400,4,Unlimited,Unlimited,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2021-03-06 20:51:42,
Amazoness Archers,67987611,Trap Card,Normal Trap Card,"('Amazoness',)",,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Archers,https://yugipedia.com/wiki/Amazoness_Archers,,2022-04-20 11:26:52,
Amazoness Chain Master,29654737,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Trigger Effect',)",1300,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Chain Master,https://yugipedia.com/wiki/Amazoness_Chain_Master,,2022-06-26 13:03:54,
