Name,DEF,Set,Card number,Ability,Rule,ATK,Level,Page name,Page URL,Modification date,Version
Blue-Eyes White Dragon,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,9,,9,3000,8,Blue-Eyes White Dragon (Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(Bandai),2018-08-18 20:07:28,Old
Blue-Eyes White Dragon,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,118,,,3000,8,Blue-Eyes White Dragon (English Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(English_Bandai),2019-02-04 17:06:08,Old
Blue-Eyes White Dragon,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,118,,,3000,8,Blue-Eyes White Dragon (English Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(English_Bandai),2019-02-04 17:06:57,New
Blue-Eyes White Dragon,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,9,,9,3000,8,Blue-Eyes White Dragon (Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(Bandai),2018-08-18 20:06:59,New
Blue-Eyes White Dragon's 3-Body Connection,3000,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,4500,8,Blue-Eyes White Dragon's 3-Body Connection,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection,2019-02-03 19:22:40,Old
Blue-Eyes White Dragon's 3-Body Connection,,Yu-Gi-Oh! Bandai OCG: 1st Generation,114,,,,8,Blue-Eyes White Dragon's 3-Body Connection (4-card version),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection_(4-card_version),2019-04-12 13:41:20,Old
Blue-Eyes White Dragon's 3-Body Connection,,Yu-Gi-Oh! Bandai OCG: 1st Generation,114,,,,8,Blue-Eyes White Dragon's 3-Body Connection (4-card version),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection_(4-card_version),2019-04-12 13:41:38,New
Blue-Eyes White Dragon's 3-Body Connection,3000,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,4500,8,Blue-Eyes White Dragon's 3-Body Connection,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection,2019-02-03 19:22:24,New
Yugi Muto,,Yu-Gi-Oh! Bandai OCG: 1st Generation,2,Shadow Game,2,,8,Yugi Muto (Yami Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Yami_Bandai),2023-03-13 04:20:16,Old
Yugi Muto,,Yu-Gi-Oh! Bandai OCG: 1st Generation,1,Look Ahead,1,,6,Yugi Muto (Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Bandai),2019-02-06 02:35:44,Old
Yugi Muto,,Yu-Gi-Oh! Bandai OCG: 1st Generation,1,Look Ahead,1,,6,Yugi Muto (Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Bandai),2019-02-06 02:35:41,New
Yugi Muto,,Yu-Gi-Oh! Bandai OCG: 1st Generation,2,Shadow Game,2,,8,Yugi Muto (Yami Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Yami_Bandai),2023-03-13 04:21:03,New
