Name,Password,Modification date,Errata,Version
Ancient Fairy Dragon,25862681,2023-01-25 10:40:26,,Old
Ancient Fairy Dragon,25862681,2023-01-25 10:40:26,"('Type',)",New
Diabolantis the Menacing Mantis,,2023-02-02 21:39:59,,Old
Diabolantis the Menacing Mantis,24634594,2023-02-04 10:18:38,,New
Kaminari Attack,09653271,2023-01-03 17:10:41,"('Type',)",Old
Kaminari Attack,09653271,2023-01-03 17:10:41,,New
Made to Order Mermaid Outfit Outfitter,,2023-02-02 21:39:51,,Old
Made to Order Mermaid Outfit Outfitter,96127902,2023-02-04 10:26:44,,New
Minairuka,,2023-02-02 21:39:53,,Old
Minairuka,61845881,2023-02-04 10:16:53,,New
Orphebull the Harmonious Bullfighter Bard,,2023-02-02 21:39:59,,Old
Orphebull the Harmonious Bullfighter Bard,97240499,2023-02-04 10:18:00,,New
Xyz Align,,2023-02-02 21:39:52,,Old
Xyz Align,60622305,2023-02-04 10:22:35,,New
