Name,Password,Effect type,TCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Monster type,ATK,DEF,Version
3-Hump Lacooda,86988864,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/3-Hump_Lacooda,2022-03-31 12:34:57,,Effect Monster,,Beast,500,1500,Old
3-Hump Lacooda,86988864,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/3-Hump_Lacooda,2022-03-31 12:34:57,,"('Effect Monster',)",,Beast,500,1500,New
"30,000-Year White Turtle",11714098,,,,"https://yugipedia.com/wiki/30,000-Year_White_Turtle",2022-04-27 07:30:34,,Normal Monster,,Aqua,1250,2100,Old
"30,000-Year White Turtle",11714098,,,,"https://yugipedia.com/wiki/30,000-Year_White_Turtle",2022-04-27 07:30:34,,"('Normal Monster',)",,Aqua,1250,2100,New
4-Starred Ladybug of Doom,83994646,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,2022-03-31 12:41:11,,Effect Monster,Flip monster,Insect,800,1200,Old
4-Starred Ladybug of Doom,83994646,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,2022-03-31 12:41:11,,"('Effect Monster',)",Flip monster,Insect,800,1200,New
7 Colored Fish,23771716,,Unlimited,,https://yugipedia.com/wiki/7_Colored_Fish,2022-03-31 12:27:39,,Normal Monster,,Fish,1800,800,Old
7 Colored Fish,23771716,,Unlimited,,https://yugipedia.com/wiki/7_Colored_Fish,2022-03-31 12:27:39,,"('Normal Monster',)",,Fish,1800,800,New
8-Claws Scorpion,14261867,"('Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/8-Claws_Scorpion,2022-03-31 12:45:07,,Effect Monster,,Insect,300,200,Old
8-Claws Scorpion,14261867,"('Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/8-Claws_Scorpion,2022-03-31 12:45:07,,"('Effect Monster',)",,Insect,300,200,New
