Name,Password,Effect type,Archseries,TCG status,Modification date,Errata,Secondary type,Monster type,ATK,DEF,Version
Amaze Attraction Majestic Merry-Go-Round,29867611,"('Condition', 'Continuous-like Effect', 'Effect')","('Attraction',)",Unlimited,2022-06-17 10:43:11,,,,,,Old
Amaze Attraction Majestic Merry-Go-Round,29867611,"('Continuous-like Effect', 'Effect')","('Attraction',)",Unlimited,2023-02-09 12:48:58,,,,,,New
Baegriller de Nouvellez,,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')","('Nouvellez',)",,2023-02-09 13:59:02,,,Warrior,2400,1850,New
Balameuniere de Nouvellez,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Nouvellez',)",,2023-02-09 09:17:45,,,Beast-Warrior,2000,1850,New
Buerillabaisse de Nouvellez,,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')","('Nouvellez',)",,2023-02-09 09:15:28,,,Beast-Warrior,400,1850,New
Confitras de Nouvellez,,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')","('Nouvellez',)",,2023-02-09 09:15:35,,,Warrior,800,1850,New
Contact with the Aquamirror,10925955,"('Activation condition', 'Effect')","('Aquamirror',)",Unlimited,2022-11-09 04:20:45,,,,,,Old
Contact with the Aquamirror,10925955,"('Effect',)","('Aquamirror',)",Unlimited,2023-02-09 12:49:09,,,,,,New
Delusion Trap Hole,75294187,"('Condition', 'Effect')","('Trap Hole (archetype)',)",,2022-12-03 02:55:21,,,,,,Old
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')","('Fire Formation',)",Unlimited,2022-02-14 02:29:39,,,,,,Old
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')","('Fire Formation',)",Semi-Limited,2022-02-14 02:29:39,,,,,,New
Foie Glasya de Nouvellez,,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')","('Nouvellez',)",,2023-02-09 09:15:55,,,Warrior,1600,1850,New
Gold Pride - Captain Carrie,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Gold Pride',)",Not yet released,2023-02-02 21:40:01,,,Fiend,900,1700,Old
Gold Pride - Captain Carrie,96305350,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Gold Pride',)",Not yet released,2023-02-08 22:59:32,,,Fiend,900,1700,New
Gold Pride - Leon,,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')","('Gold Pride',)",Unlimited,2023-02-03 12:39:30,,Tuner monster,Warrior,1500,1200,Old
