Name,TCG status,Modification date,Version
Adularia of the June Moon,,2023-02-10 02:35:34,New
Adularia of the Moonlit Water,,2022-06-21 09:02:16,Old
Cosmic Quasar Dragon,,2023-02-10 09:06:07,New
Kashtira Arise-Heart,Not yet released,2023-02-07 13:45:32,Old
Kashtira Arise-Heart,Unlimited,2023-02-10 01:58:28,New
Magikey Avatar - Astartu,,2022-06-05 09:33:47,Old
Magikey Deity - Ashtartu,,2023-02-10 01:50:18,New
Revolution Synchron,,2023-02-10 09:31:04,New
Scrap-Iron Idol,,2023-02-10 09:59:46,New
Synchro Over Top,,2023-02-10 09:53:49,New
Synchro World,,2023-02-10 09:58:04,New
The Crimson Dragon,,2023-02-10 09:34:33,New
Wheel Synchron,,2023-02-10 09:30:11,New
