Name,Archseries,TCG status,Artwork,Modification date,Errata,Version
Abyss Actor - Liberty Dramatist,"('Abyss Actor',)",Not yet released,,2023-02-07 01:55:26,,Old
Abyss Actor - Liberty Dramatist,"('Abyss Actor',)",Unlimited,,2023-02-10 16:24:18,,New
Abyss Actor - Super Producer,"('Abyss Actor',)",Not yet released,,2023-02-07 02:16:57,,Old
Abyss Actor - Super Producer,"('Abyss Actor',)",Unlimited,,2023-02-10 16:09:05,,New
Abyss Actors' Dress Rehearsal,"('Abyss Actor',)",Not yet released,,2023-02-07 02:23:40,,Old
Abyss Actors' Dress Rehearsal,"('Abyss Actor',)",Unlimited,,2023-02-10 16:26:25,,New
Abyss Script - Dramatic Story,"('Abyss Script',)",Not yet released,,2023-02-07 21:51:18,,Old
Abyss Script - Dramatic Story,"('Abyss Script',)",Unlimited,,2023-02-10 15:48:44,,New
Apophis the Swamp Deity,"('Trap Monster',)",Not yet released,,2023-02-07 02:35:27,,Old
Apophis the Swamp Deity,"('Trap Monster',)",Unlimited,,2023-02-10 15:40:29,,New
Arktos XII - Chronochasm Vaylantz,"('Vaylantz',)",Not yet released,,2023-02-07 02:09:09,,Old
Arktos XII - Chronochasm Vaylantz,"('Vaylantz',)",Unlimited,,2023-02-10 15:56:30,,New
"Basiltrice, Familiar of the Evil Eye","('Evil Eye',)",Not yet released,,2023-02-07 01:58:32,,Old
"Basiltrice, Familiar of the Evil Eye","('Evil Eye',)",Unlimited,,2023-02-10 15:47:52,,New
"Beargram, Shelled Emperor of the Forest Crown",,Not yet released,,2023-02-07 01:59:40,,Old
"Beargram, Shelled Emperor of the Forest Crown",,Unlimited,,2023-02-10 16:08:54,,New
Big Welcome Labrynth,"('Labrynth', 'Welcome Labrynth (archetype)')",Not yet released,,2023-02-07 02:29:19,,Old
Big Welcome Labrynth,"('Labrynth', 'Welcome Labrynth (archetype)')",Unlimited,,2023-02-10 15:51:12,,New
Bio-Insect Armor,,Not yet released,,2023-02-07 01:54:05,,Old
Bio-Insect Armor,,Unlimited,,2023-02-10 16:24:06,,New
Branded Befallen,"('Branded',)",Not yet released,,2023-02-07 02:27:46,,Old
Branded Befallen,"('Branded',)",Unlimited,,2023-02-10 16:03:20,,New
Bystial Baldrake,"('Bystial',)",Not yet released,,2023-02-06 22:26:07,,Old
Bystial Baldrake,"('Bystial',)",Unlimited,,2023-02-10 16:38:26,,New
Cassimolar,,Not yet released,,2023-02-07 02:33:22,,Old
Cassimolar,,Unlimited,,2023-02-10 16:27:13,,New
