Name,Password,TCG status,Page URL,Artwork,Modification date,Errata,Primary type,Secondary type,Version
3-Hump Lacooda,86988864,Unlimited,https://yugipedia.com/wiki/3-Hump_Lacooda,,2022-03-31 12:34:57,,,,Old
3-Hump Lacooda,86988864,Unlimited,https://yugipedia.com/wiki/3-Hump_Lacooda,,2022-03-31 12:34:57,,Effect Monster,,New
"30,000-Year White Turtle",11714098,,"https://yugipedia.com/wiki/30,000-Year_White_Turtle",,2022-04-27 07:30:34,,,,Old
"30,000-Year White Turtle",11714098,,"https://yugipedia.com/wiki/30,000-Year_White_Turtle",,2022-04-27 07:30:34,,Normal Monster,,New
4-Starred Ladybug of Doom,83994646,Unlimited,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,,2022-03-31 12:41:11,,"('Flip monster',)","('Flip monster',)",Old
4-Starred Ladybug of Doom,83994646,Unlimited,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,,2022-03-31 12:41:11,,Effect Monster,"('Flip monster',)",New
7 Colored Fish,23771716,Unlimited,https://yugipedia.com/wiki/7_Colored_Fish,,2022-03-31 12:27:39,,,,Old
7 Colored Fish,23771716,Unlimited,https://yugipedia.com/wiki/7_Colored_Fish,,2022-03-31 12:27:39,,Normal Monster,,New
8-Claws Scorpion,14261867,Unlimited,https://yugipedia.com/wiki/8-Claws_Scorpion,,2022-03-31 12:45:07,,,,Old
8-Claws Scorpion,14261867,Unlimited,https://yugipedia.com/wiki/8-Claws_Scorpion,,2022-03-31 12:45:07,,Effect Monster,,New
A Cat of Ill Omen,24140059,Unlimited,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2022-04-11 17:39:44,,"('Flip monster',)","('Flip monster',)",Old
A Cat of Ill Omen,24140059,Unlimited,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2022-04-11 17:39:44,,Effect Monster,"('Flip monster',)",New
A Man with Wdjat,51351302,Unlimited,https://yugipedia.com/wiki/A_Man_with_Wdjat,,2023-01-03 15:53:59,,,,Old
A Man with Wdjat,51351302,Unlimited,https://yugipedia.com/wiki/A_Man_with_Wdjat,,2023-01-03 15:53:59,,Effect Monster,,New
A-Assault Core,30012506,Unlimited,https://yugipedia.com/wiki/A-Assault_Core,,2022-07-24 09:50:49,,"('Union monster',)","('Union monster',)",Old
