Name,TCG status,Page URL,Artwork,Modification date,Errata,Page name,Version
Ancient Gear,Unlimited,https://yugipedia.com/wiki/Ancient_Gear_(card),,2022-03-21 20:07:16,"('Any',)",,Old
Ancient Gear,Unlimited,https://yugipedia.com/wiki/Ancient_Gear_(card),,2022-03-21 20:07:16,,Ancient Gear (card),New
Armityle the Chaos Phantasm,Unlimited,https://yugipedia.com/wiki/Armityle_the_Chaos_Phantasm,,2022-08-25 11:38:28,"('Any',)",,Old
Black Luster Soldier,,https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2022-04-17 01:30:44,,,Old
Black Luster Soldier,,https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2022-04-17 01:30:44,"('Name', 'Type')",Black Luster Soldier (Normal),New
Crawling Dragon #2,Unlimited,https://yugipedia.com/wiki/Crawling_Dragon_2,,2021-11-07 10:15:06,"('Type',)",,Old
Crawling Dragon #2,Unlimited,https://yugipedia.com/wiki/Crawling_Dragon_2,,2021-11-07 10:15:06,,Crawling Dragon 2,New
Dark Magician,Unlimited,https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-01-03 20:36:10,,,Old
Dark Magician,Unlimited,https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-01-03 20:36:10,"('Name', 'Type')",Dark Magician (Arkana),New
Depth Amulet,Unlimited,https://yugipedia.com/wiki/Depth_Amulet,,2020-11-17 05:50:17,"('Any',)",,Old
Depth Amulet,Unlimited,https://yugipedia.com/wiki/Depth_Amulet,,2020-11-17 05:50:17,,Depth Amulet,New
Duelist Alliance,Unlimited,https://yugipedia.com/wiki/Duelist_Alliance_(card),,2022-08-25 17:18:57,"('Any',)",,Old
Duelist Alliance,Unlimited,https://yugipedia.com/wiki/Duelist_Alliance_(card),,2022-08-25 17:18:57,,Duelist Alliance (card),New
Earthbound Immortal Revival,Unlimited,https://yugipedia.com/wiki/Earthbound_Immortal_Revival,,2022-07-22 00:03:59,"('Any',)",,Old
Fiend Reflection #2,Unlimited,https://yugipedia.com/wiki/Fiend_Reflection_2,,2023-01-03 17:44:17,"('Name',)",,Old
Fiend Reflection #2,Unlimited,https://yugipedia.com/wiki/Fiend_Reflection_2,,2023-01-03 17:44:17,,Fiend Reflection 2,New
Flying Kamakiri #1,Unlimited,https://yugipedia.com/wiki/Flying_Kamakiri_1,,2022-07-23 04:39:17,"('Any',)",,Old
Flying Kamakiri #1,Unlimited,https://yugipedia.com/wiki/Flying_Kamakiri_1,,2022-07-23 04:39:17,,Flying Kamakiri 1,New
Halfway to Forever,Unlimited,https://yugipedia.com/wiki/Halfway_to_Forever_(card),,2023-02-13 00:25:54,"('Any',)",,Old
Halfway to Forever,Unlimited,https://yugipedia.com/wiki/Halfway_to_Forever_(card),,2023-02-13 00:25:54,,Halfway to Forever (card),New
Jinzo #7,Unlimited,https://yugipedia.com/wiki/Jinzo_7,,2022-08-03 15:09:53,"('Any',)",,Old
Jinzo #7,Unlimited,https://yugipedia.com/wiki/Jinzo_7,,2022-08-03 15:09:53,,Jinzo 7,New
Labyrinth of Nightmare,Unlimited,https://yugipedia.com/wiki/Labyrinth_of_Nightmare_(card),,2022-10-06 17:16:59,"('Any',)",,Old
Labyrinth of Nightmare,Unlimited,https://yugipedia.com/wiki/Labyrinth_of_Nightmare_(card),,2022-10-06 17:16:59,,Labyrinth of Nightmare (card),New
Lillybot,Unlimited,https://yugipedia.com/wiki/Lillybot_(card),,2022-04-20 11:46:53,"('Any',)",,Old
Lillybot,Unlimited,https://yugipedia.com/wiki/Lillybot_(card),,2022-04-20 11:46:53,,Lillybot (card),New
Luster Dragon #2,Unlimited,https://yugipedia.com/wiki/Luster_Dragon_2,,2023-01-03 17:08:37,"('Name', 'Type')",,Old
Luster Dragon #2,Unlimited,https://yugipedia.com/wiki/Luster_Dragon_2,,2023-01-03 17:08:37,,Luster Dragon 2,New
M-Warrior #1,Unlimited,https://yugipedia.com/wiki/M-Warrior_1,,2023-01-03 19:36:53,"('Name',)",,Old
M-Warrior #1,Unlimited,https://yugipedia.com/wiki/M-Warrior_1,,2023-01-03 19:36:53,,M-Warrior 1,New
M-Warrior #2,Unlimited,https://yugipedia.com/wiki/M-Warrior_2,,2023-01-03 19:36:59,"('Name',)",,Old
M-Warrior #2,Unlimited,https://yugipedia.com/wiki/M-Warrior_2,,2023-01-03 19:36:59,,M-Warrior 2,New
Meteor Black Dragon,Unlimited,https://yugipedia.com/wiki/Meteor_Black_Dragon,,2022-05-24 16:00:41,"('Any',)",,Old
Morphing Jar #2,Unlimited,https://yugipedia.com/wiki/Morphing_Jar_2,,2023-01-03 17:49:18,"('Any',)",,Old
Morphing Jar #2,Unlimited,https://yugipedia.com/wiki/Morphing_Jar_2,,2023-01-03 17:49:18,,Morphing Jar 2,New
Mushroom Man #2,Unlimited,https://yugipedia.com/wiki/Mushroom_Man_2,,2023-01-03 17:54:42,"('Any',)",,Old
Mushroom Man #2,Unlimited,https://yugipedia.com/wiki/Mushroom_Man_2,,2023-01-03 17:54:42,,Mushroom Man 2,New
Mystical Sheep #1,Unlimited,https://yugipedia.com/wiki/Mystical_Sheep_1,,2023-01-03 18:04:03,"('Any',)",,Old
Mystical Sheep #1,Unlimited,https://yugipedia.com/wiki/Mystical_Sheep_1,,2023-01-03 18:04:03,,Mystical Sheep 1,New
Mystical Sheep #2,Unlimited,https://yugipedia.com/wiki/Mystical_Sheep_2,,2023-01-03 18:04:33,"('Name',)",,Old
Mystical Sheep #2,Unlimited,https://yugipedia.com/wiki/Mystical_Sheep_2,,2023-01-03 18:04:33,,Mystical Sheep 2,New
Nekogal #1,Unlimited,https://yugipedia.com/wiki/Nekogal_1,"('Edited',)",2022-12-19 15:29:03,"('Any',)",,Old
Nekogal #1,Unlimited,https://yugipedia.com/wiki/Nekogal_1,"('Edited',)",2022-12-19 15:29:03,,Nekogal 1,New
Polymerization,Unlimited,https://yugipedia.com/wiki/Polymerization_(alternate_password),"('Edited',)",2022-12-10 09:30:20,,,Old
Polymerization,Unlimited,https://yugipedia.com/wiki/Polymerization_(alternate_password),"('Edited',)",2022-12-10 09:30:20,"('Type',)",Polymerization (alternate password),New
Princess Cologne,Unlimited,https://yugipedia.com/wiki/Princess_Cologne_(card),,2023-01-03 18:48:31,"('Any',)",,Old
Princess Cologne,Unlimited,https://yugipedia.com/wiki/Princess_Cologne_(card),,2023-01-03 18:48:31,,Princess Cologne (card),New
