Name,Password,Effect type,TCG status,OCG status,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Page name,Version
"""Infernoble Arms - Durendal""",37478723,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,,2023-01-28 17:19:31,,,,,,Old
"""Infernoble Arms - Durendal""",37478723,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,,2023-01-28 17:19:31,"('Any',)",,,,"""Infernoble Arms - Durendal""",New
3-Hump Lacooda,86988864,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/3-Hump_Lacooda,,2022-03-31 12:34:57,,Effect Monster,1500,500,,Old
3-Hump Lacooda,86988864,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/3-Hump_Lacooda,,2022-03-31 12:34:57,"('Any',)",Effect Monster,1500,500,3-Hump Lacooda,New
4-Starred Ladybug of Doom,83994646,"('Flip effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,,2022-03-31 12:41:11,,Effect Monster,1200,800,,Old
4-Starred Ladybug of Doom,83994646,"('Flip effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,,2022-03-31 12:41:11,"('Any',)",Effect Monster,1200,800,4-Starred Ladybug of Doom,New
8-Claws Scorpion,14261867,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/8-Claws_Scorpion,,2022-03-31 12:45:07,,Effect Monster,200,300,,Old
8-Claws Scorpion,14261867,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/8-Claws_Scorpion,,2022-03-31 12:45:07,"('Any',)",Effect Monster,200,300,8-Claws Scorpion,New
A Cat of Ill Omen,24140059,"('Flip effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2022-04-11 17:39:44,,Effect Monster,300,500,,Old
A Cat of Ill Omen,24140059,"('Flip effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2022-04-11 17:39:44,"('Any',)",Effect Monster,300,500,A Cat of Ill Omen,New
A Feather of the Phoenix,49140998,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Feather_of_the_Phoenix,,2023-01-03 18:53:03,,,,,,Old
A Feather of the Phoenix,49140998,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Feather_of_the_Phoenix,,2023-01-03 18:53:03,"('Any',)",,,,A Feather of the Phoenix,New
