Name,Archseries,Modification date,Version
Double Attack! Wind and Thunder!!,"('Signature move',)",2023-02-27 23:50:41,New
Gate Guardian,"('Guardian',)",2022-10-06 17:28:55,Old
Gate Guardian,"('Gate Guardian (archetype)', 'Guardian')",2023-02-27 22:27:48,New
Gate Guardian of Thunder and Wind,"('Gate Guardian (archetype)', 'Guardian')",2023-02-27 17:11:05,New
Gate Guardian of Water and Thunder,"('Gate Guardian (archetype)', 'Guardian')",2023-02-27 17:15:38,New
Gate Guardian of Wind and Water,"('Gate Guardian (archetype)', 'Guardian')",2023-02-27 17:13:06,New
Gate Guardians Combined,"('Gate Guardian (archetype)', 'Guardian')",2023-02-27 17:08:54,New
Labyrinth Heavy Tank,,2023-02-27 17:03:01,New
Labyrinth Wall,,2022-10-06 17:27:59,Old
Labyrinth Wall,"('Labyrinth Wall (archetype)',)",2023-02-27 22:13:07,New
Labyrinth Wall Shadow,"('Labyrinth Wall (archetype)',)",2023-02-27 17:19:01,New
Prey of the Jirai Gumo,"('Trap Monster',)",2023-02-27 17:27:43,New
Riryoku Guardian,"('Guardian',)",2023-02-27 18:41:14,New
Shadow Ghoul of the Labyrinth,,2023-02-27 17:02:10,New
Swordsoul Dragon of the Abyss,"('Swordsoul',)",2023-01-11 17:51:47,Old
