Name,Password,OCG status,Modification date,Version
Anotherverse Dragon,47484352,Not yet released,2022-12-19 12:54:09,Old
Anotherverse Dragon,47484352,Unlimited,2023-03-01 13:18:32,New
Double Attack! Wind and Thunder!!,,,2023-02-27 23:50:41,Old
Double Attack! Wind and Thunder!!,60176682,,2023-03-01 17:01:37,New
Gate Guardian of Thunder and Wind,,,2023-02-27 17:11:05,Old
Gate Guardian of Thunder and Wind,14904525,,2023-03-01 16:58:35,New
Gate Guardian of Water and Thunder,,,2023-02-27 17:15:38,Old
Gate Guardian of Water and Thunder,97783338,,2023-03-01 17:00:13,New
Gate Guardian of Wind and Water,,,2023-02-27 17:13:06,Old
Gate Guardian of Wind and Water,61398234,,2023-03-01 16:59:19,New
Gate Guardians Combined,,,2023-02-27 17:08:54,Old
Gate Guardians Combined,08505920,,2023-03-01 16:57:41,New
Labyrinth Heavy Tank,,,2023-02-27 17:03:01,Old
Labyrinth Heavy Tank,35026117,,2023-03-01 16:57:32,New
Labyrinth Wall Shadow,,,2023-02-27 17:19:01,Old
Labyrinth Wall Shadow,34771947,,2023-03-01 17:01:04,New
Prey of the Jirai Gumo,,,2023-02-27 17:27:43,Old
Prey of the Jirai Gumo,13055499,,2023-03-01 17:04:35,New
Riryoku Guardian,,,2023-02-27 18:41:14,Old
Riryoku Guardian,96661780,,2023-03-01 17:02:16,New
Shadow Ghoul of the Labyrinth,,,2023-02-27 17:02:10,Old
Shadow Ghoul of the Labyrinth,62411811,,2023-03-01 16:56:51,New
Transcendent Flight,,Not yet released,2023-03-01 13:35:58,New
