Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,DEF,ATK,Level/Rank,Version
"""Infernoble Arms - Almace""",98319530,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,"""Infernoble Arms - Almace""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Almace%22,,2023-04-22 12:21:12,,,,,,,New
"""Infernoble Arms - Durendal""",37478723,"('Noble Arms',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Durendal""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,,2023-01-28 17:19:31,"('Any',)",,,,,,Old
"""Infernoble Arms - Durendal""",37478723,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Durendal""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Durendal%22,,2023-04-11 21:41:25,"('Any',)",,,,,,New
"""Infernoble Arms - Hauteclere""",64867422,"('Noble Arms',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Hauteclere""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Hauteclere%22,,2021-11-27 20:49:23,,,,,,,Old
"""Infernoble Arms - Hauteclere""",64867422,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Hauteclere""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Hauteclere%22,,2023-04-11 21:41:34,,,,,,,New
"""Infernoble Arms - Joyeuse""",90861137,"('Noble Arms',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Joyeuse""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Joyeuse%22,,2021-11-27 20:49:05,,,,,,,Old
"""Infernoble Arms - Joyeuse""",90861137,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,"""Infernoble Arms - Joyeuse""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Joyeuse%22,,2023-04-11 21:41:39,,,,,,,New
"A Shattered, Colorless Realm",44553392,,"('Effect',)",Not yet released,Unlimited,"A Shattered, Colorless Realm","https://yugipedia.com/wiki/A_Shattered,_Colorless_Realm",,2023-04-22 14:10:08,,,,,,,New
Absolute King - Megaplunder,,,,,Unlimited,Absolute King - Megaplunder,https://yugipedia.com/wiki/Absolute_King_-_Megaplunder,,2023-04-03 09:26:27,,EARTH,Normal Monster,1500,2000,6,New
Accel Synchro Stardust Dragon,30983281,"('Stardust (archetype)',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,Accel Synchro Stardust Dragon,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,,2023-03-03 21:53:16,,WIND,Synchro Monster,2000,2500,8,Old
Accel Synchro Stardust Dragon,30983281,"('Stardust (archetype)', 'Synchro (archetype)')","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Accel Synchro Stardust Dragon,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,,2023-04-19 12:48:35,,WIND,Synchro Monster,2000,2500,8,New
Accel Synchron,37675907,"('Synchron',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Accel Synchron,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,"('Any',)",DARK,Synchro Monster,2100,500,5,Old
Accel Synchron,37675907,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Accel Synchron,https://yugipedia.com/wiki/Accel_Synchron,,2023-04-19 12:48:55,"('Any',)",DARK,Synchro Monster,2100,500,5,New
Adularia of the June Moon,15464375,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",,Unlimited,Adularia of the June Moon,https://yugipedia.com/wiki/Adularia_of_the_June_Moon,,2023-02-10 02:35:34,,WATER,Effect Monster,1000,1000,5,Old
Adularia of the June Moon,15464375,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Not yet released,Unlimited,Adularia of the June Moon,https://yugipedia.com/wiki/Adularia_of_the_June_Moon,,2023-04-21 16:56:56,,WATER,Effect Monster,1000,1000,5,New
Agnimal Candle,13014905,,"('Condition', 'Trigger Effect')",,Unlimited,Agnimal Candle,https://yugipedia.com/wiki/Agnimal_Candle,,2023-04-27 02:07:24,,FIRE,Effect Monster,0,1700,4,New
Albaz the Shrouded,,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2022-04-16 11:51:55,,,Monster Token,,,,Old
Albaz the Shrouded,,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2022-04-16 11:51:55,,,,,,,Old
Albaz the Shrouded,,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,,Monster Token,,,,New
Albaz the Shrouded,,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,,,,,,New
Albion the Incandescent Dragon,38811586,"('Albaz Dragon',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",,Unlimited,Albion the Incandescent Dragon,https://yugipedia.com/wiki/Albion_the_Incandescent_Dragon,,2023-01-14 01:45:37,,LIGHT,Fusion Monster,2500,3000,8,Old
Albion the Sanctifire Dragon,38811586,"('Albaz Dragon',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Not yet released,Unlimited,Albion the Sanctifire Dragon,https://yugipedia.com/wiki/Albion_the_Sanctifire_Dragon,,2023-04-21 20:06:11,,LIGHT,Fusion Monster,2500,3000,8,New
Ally Mind,40155554,,,Unlimited,Unlimited,Ally Mind,https://yugipedia.com/wiki/Ally_Mind,,2022-03-11 20:25:45,"('Type',)",DARK,Normal Monster,1400,1800,5,Old
Ally Mind,40155554,,,Unlimited,Unlimited,Ally Mind,https://yugipedia.com/wiki/Ally_Mind,,2023-03-18 00:21:55,"('Any',)",DARK,Normal Monster,1400,1800,5,New
Alpha The Magnet Warrior,99785935,"('Magnet Warrior', 'Warrior (archetype)')",,Unlimited,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2021-03-06 20:51:42,"('Name', 'Type')",EARTH,Normal Monster,1700,1400,4,Old
Alpha The Magnet Warrior,99785935,"('Magnet Warrior', 'Warrior (archetype)')",,Unlimited,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2023-03-18 00:32:56,"('Name',)",EARTH,Normal Monster,1700,1400,4,New
Altergeist Adminia,61470213,"('Altergeist',)","('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,Altergeist Adminia,https://yugipedia.com/wiki/Altergeist_Adminia,,2023-04-22 01:39:29,,DARK,Link Monster,,3000,,New
Altergeist Malwisp,27132400,"('Altergeist',)","('Condition', 'Trigger Effect')",,Unlimited,Altergeist Malwisp,https://yugipedia.com/wiki/Altergeist_Malwisp,,2023-04-22 00:27:09,,LIGHT,Effect Monster,0,1500,3,New
Altergeist Perinetrator,54126514,"('Altergeist',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,Altergeist Perinetrator,https://yugipedia.com/wiki/Altergeist_Perinetrator,,2023-04-22 00:28:00,,FIRE,Effect Monster,300,500,1,New
Altergeist Revitalization,22024279,"('Altergeist',)","('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,Altergeist Revitalization,https://yugipedia.com/wiki/Altergeist_Revitalization,,2023-04-22 12:56:23,,,,,,,New
Aluber the Dogmatic,,,,Legal,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2022-07-04 09:51:18,,,Monster Token,,,,Old
Aluber the Dogmatic,,,,Legal,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2022-07-04 09:51:18,,,,,,,Old
Aluber the Dogmatic,,,,Legal,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-03-23 09:40:16,,,,,,,New
Aluber the Dogmatic,,,,Legal,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-03-23 09:40:16,,,Monster Token,,,,New
