Name,Password,Effect type,TCG status,Modification date,Errata,Monster type,DEF,ATK,Version
"A Shattered, Colorless Realm",44553392,"('Effect',)",Not yet released,2023-04-22 14:10:08,,,,,Old
"A Shattered, Colorless Realm",44553392,"('Effect',)",Unlimited,2023-05-04 16:00:41,,,,,New
Adularia of the June Moon,15464375,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Not yet released,2023-04-21 16:56:56,,Spellcaster,1000,1000,Old
Adularia of the June Moon,15464375,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,2023-05-04 15:26:38,,Spellcaster,1000,1000,New
Albion the Sanctifire Dragon,38811586,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-04-21 20:06:11,,Dragon,2500,3000,Old
Albion the Sanctifire Dragon,38811586,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:45,,Dragon,2500,3000,New
Amazement Abomination Arlekino,31600845,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-04-22 17:05:50,,Psychic,2200,2600,Old
Amazement Abomination Arlekino,31600845,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,2023-05-04 17:08:01,,Psychic,2200,2600,New
Aqua Chorus,95132338,"('Continuous-like Effect',)",Unlimited,2023-04-06 19:41:28,,,,,Old
Aqua Chorus,95132338,"('Continuous-like Effect',)",Unlimited,2023-04-06 19:41:28,"('Any',)",,,,New
Beetrooper Cruel Saturnas,91300233,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-22 17:27:50,,Insect,2000,2400,Old
Beetrooper Cruel Saturnas,91300233,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:44,,Insect,2000,2400,New
Black Luster Soldier - Legendary Swordsman,70551291,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-28 10:20:16,,Warrior,2500,3000,Old
Black Luster Soldier - Legendary Swordsman,70551291,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-05-05 21:01:44,,Warrior,2500,3000,New
"Brightest, Blazing, Branded King",19271881,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,2023-04-21 19:56:05,,,,,Old
"Brightest, Blazing, Branded King",19271881,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,2023-05-04 16:00:43,,,,,New
Bunny Ear Enthusiast,39643167,"('Quick Effect',)",Not yet released,2023-04-22 17:23:07,,Beast-Warrior,100,200,Old
Bunny Ear Enthusiast,39643167,"('Quick Effect',)",Unlimited,2023-05-04 17:07:56,,Beast-Warrior,100,200,New
Bystial Dis Pater,27572350,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-04-21 15:32:18,,Dragon,3500,3500,Old
Bystial Dis Pater,27572350,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:39,,Dragon,3500,3500,New
Chaos Angel,22850702,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-21 15:38:19,,Fiend,2800,3500,Old
