Name,Modification date,Version
Brave Beauty of Ruby Regard - Bradamante,2023-03-18 06:23:09,Old
Courageous Crimson Chevalier Bradamante,2023-05-08 07:30:20,New
Diabolica the Draconique General,2023-05-08 07:26:20,New
"Diabolica, Dragon Fiend Commander",2023-03-18 13:06:08,Old
Fissioning Mother Spider,2023-03-18 18:11:00,Old
Love Magus - Ciela,2023-03-19 13:24:44,Old
Mother Spider Splitter,2023-05-08 07:31:20,New
Sage of Benevolence - Ciela,2023-05-08 07:34:32,New
Sage of Strength - Akash,2023-05-08 07:31:55,New
Sage of Wisdom - Himmel,2023-05-08 06:07:15,New
War Magus - Aakas,2023-03-20 19:09:16,Old
Wisdom Magus - Himmel,2023-03-20 19:56:09,Old
