Name,Archseries,Effect type,Modification date,Errata,Version
Arcana Force XV - The Fiend,"('Arcana Force', 'Field Searcher')","('Ignition Effect', 'Trigger Effect')",2023-05-11 14:02:10,,New
Armored Xyz,"('Xyz (archetype)',)","('Continuous-like Effect', 'Effect', 'Trigger Effect')",2023-05-11 14:21:47,,New
Call of the Earthbound,,"('Activation condition', 'Effect')",2023-03-18 07:20:00,"('Any',)",Old
Call of the Earthbound,"('Earthbound',)","('Activation condition', 'Effect')",2023-05-10 10:19:06,"('Any',)",New
Earthbound Geoglyph,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",2023-03-18 15:24:33,"('Any',)",Old
Earthbound Geoglyph,"('Earthbound',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",2023-05-10 15:17:58,"('Any',)",New
Earthbound Greater Linewalker,,"('Condition', 'Ignition Effect', 'Trigger Effect')",2023-03-18 15:24:47,,Old
Earthbound Greater Linewalker,"('Earthbound',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-05-10 15:17:44,,New
Earthbound Immortal Aslla piscu,"('Earthbound Immortal',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-03-18 15:25:18,"('Any',)",Old
Earthbound Immortal Aslla piscu,"('Earthbound', 'Earthbound Immortal')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-05-10 15:17:32,"('Any',)",New
Earthbound Immortal Ccapac Apu,"('Earthbound Immortal',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-03-18 15:25:32,"('Any',)",Old
Earthbound Immortal Ccapac Apu,"('Earthbound', 'Earthbound Immortal')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-05-10 10:15:14,"('Any',)",New
Earthbound Immortal Ccarayhua,"('Earthbound Immortal',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-03-18 15:25:46,"('Any',)",Old
Earthbound Immortal Ccarayhua,"('Earthbound', 'Earthbound Immortal')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-05-10 10:15:21,"('Any',)",New
Earthbound Immortal Chacu Challhua,"('Earthbound Immortal',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",2023-03-18 15:26:00,"('Any',)",Old
Earthbound Immortal Chacu Challhua,"('Earthbound', 'Earthbound Immortal')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",2023-05-10 10:15:29,"('Any',)",New
Earthbound Immortal Cusillu,"('Earthbound Immortal',)","('Continuous Effect', 'Unclassified effect')",2023-03-18 15:26:15,"('Any',)",Old
Earthbound Immortal Cusillu,"('Earthbound', 'Earthbound Immortal')","('Continuous Effect', 'Unclassified effect')",2023-05-10 10:15:35,"('Any',)",New
Earthbound Immortal Revival,"('Earthbound Immortal',)","('Cost', 'Effect')",2023-03-18 15:26:33,"('Name',)",Old
Earthbound Immortal Revival,"('Earthbound', 'Earthbound Immortal')","('Cost', 'Effect')",2023-05-10 10:16:17,"('Name',)",New
Earthbound Immortal Uru,"('Earthbound Immortal',)","('Continuous Effect', 'Ignition Effect', 'Unclassified effect')",2023-03-18 15:26:49,"('Any',)",Old
Earthbound Immortal Uru,"('Earthbound', 'Earthbound Immortal')","('Continuous Effect', 'Ignition Effect', 'Unclassified effect')",2023-05-10 10:15:41,"('Any',)",New
Earthbound Immortal Wiraqocha Rasca,"('Earthbound Immortal', 'Inca')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-03-18 15:27:05,"('Any',)",Old
Earthbound Immortal Wiraqocha Rasca,"('Earthbound', 'Earthbound Immortal', 'Inca')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",2023-05-10 10:15:53,"('Any',)",New
Earthbound Linewalker,,"('Continuous Effect',)",2023-03-18 15:27:19,,Old
Earthbound Linewalker,"('Earthbound',)","('Continuous Effect',)",2023-05-10 15:17:38,,New
Earthbound Prison,"('Earthbound',)","('Continuous-like Effect', 'Effect', 'Trigger Effect')",2023-05-10 15:01:22,,New
Earthbound Prisoner Ground Keeper,"('Earthbound',)","('Condition', 'Continuous Effect', 'Trigger Effect')",2023-05-10 12:20:23,,New
Earthbound Prisoner Line Walker,"('Earthbound',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-05-10 12:39:59,,New
Earthbound Prisoner Stone Sweeper,"('Earthbound',)","('Condition', 'Ignition Effect', 'Unclassified effect')",2023-05-10 14:21:35,,New
Earthbound Servant Geo Grasha,,,2023-04-15 12:11:54,,Old
Earthbound Servant Geo Grasha,"('Earthbound',)","('Condition', 'Summoning condition', 'Trigger Effect')",2023-05-10 14:41:46,,New
Earthbound Servant Geo Gremlin,"('Earthbound',)","('Condition', 'Quick Effect')",2023-05-10 14:51:55,,New
Earthbound Servant Geo Gryphon,"('Earthbound',)","('Condition', 'Quick Effect', 'Trigger Effect')",2023-05-10 14:56:57,,New
Earthbound Servant Geo Kraken,"('Earthbound',)","('Condition', 'Trigger Effect')",2023-05-10 14:34:34,,New
Earthbound Whirlwind,,"('Activation condition', 'Effect')",2023-03-18 15:28:00,"('Any',)",Old
Earthbound Whirlwind,"('Earthbound',)","('Activation condition', 'Effect')",2023-05-10 10:18:19,"('Any',)",New
Evil Dragon Ananta,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 16:28:50,,Old
Evil Dragon Ananta,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 16:28:50,"('Any',)",New
Eye of Illusion,,"('Effect',)",2023-05-11 13:54:03,,New
Harmonic Synchro Fusion,"('Fusion (archetype)', 'Synchro (archetype)')","('Condition', 'Effect')",2023-05-10 15:09:20,,New
Luster Dragon,"('Gem Dragon',)",,2023-03-31 19:13:31,"('Any',)",Old
Luster Dragon,"('Gem Dragon',)",,2023-03-31 19:13:31,"('Type',)",New
Phoenix Gearblade,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",2023-05-11 16:15:43,,New
Roar of the Earthbound Immortal,"('Earthbound Immortal',)","('Condition', 'Trigger Effect')",2023-03-20 06:03:09,"('Name',)",Old
Roar of the Earthbound Immortal,"('Earthbound', 'Earthbound Immortal')","('Condition', 'Trigger Effect')",2023-05-10 10:16:26,"('Name',)",New
Salamangreat Burst Gryphon,"('Salamangreat',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-05-11 16:36:43,,New
Salamangreat Charge,"('Salamangreat',)","('Condition', 'Effect')",2023-05-10 02:24:30,,New
Salamangreat Raging Phoenix,"('Salamangreat',)","('Condition', 'Trigger Effect')",2023-05-11 16:53:09,,New
Salamangreat Revive,"('Salamangreat',)","('Condition', 'Effect', 'Quick-like Effect')",2023-05-10 02:26:25,,New
Salamangreat Teeger,"('Salamangreat',)","('Condition', 'Ignition Effect', 'Unclassified effect')",2023-05-10 01:48:21,,New
Salamangreat Wheesel,"('Salamangreat',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-05-10 01:36:21,,New
Seventh Force,"('Seventh',)","('Effect',)",2023-05-10 15:24:56,,New
Totem Dragon,,"('Condition', 'Trigger Effect', 'Unclassified effect')",2023-04-10 17:45:13,,Old
Totem Dragon,,"('Condition', 'Trigger Effect', 'Unclassified effect')",2023-04-10 17:45:13,"('Any',)",New
Ultimate Earthbound Immortal,"('Earthbound Immortal',)","('Condition', 'Quick-like Effect')",2023-03-20 17:25:22,,Old
Ultimate Earthbound Immortal,"('Earthbound', 'Earthbound Immortal')","('Condition', 'Quick-like Effect')",2023-05-10 10:16:37,,New
