Name,Effect type,TCG status,Modification date,Errata,Version
4-Starred Ladybug of Doom,"('Flip effect',)",Unlimited,2023-03-17 23:23:05,"('Any',)",Old
4-Starred Ladybug of Doom,"('Trigger Effect',)",Unlimited,2023-05-15 18:48:22,"('Any',)",New
Armed Ninja,"('Flip effect',)",Unlimited,2023-03-18 02:35:15,"('Name',)",Old
Armed Ninja,"('Trigger Effect',)",Unlimited,2023-05-14 13:06:40,"('Name',)",New
Attack Guidance Armor,"('Condition', 'Effect')",,2023-03-18 03:17:40,,Old
Attack Guidance Armor,"('Condition', 'Effect')",Not yet released,2023-05-17 17:22:31,,New
Big Eye,"('Flip effect',)",Unlimited,2023-03-18 04:50:56,"('Name',)",Old
Big Eye,"('Trigger Effect',)",Unlimited,2023-05-14 21:10:19,"('Name',)",New
Bite Shoes,"('Flip effect',)",Unlimited,2023-03-18 04:58:32,"('Any',)",Old
Bite Shoes,"('Trigger Effect',)",Unlimited,2023-05-15 18:52:04,"('Any',)",New
Bombardment Beetle,"('Flip effect',)",Unlimited,2023-03-18 05:59:02,"('Any',)",Old
Bombardment Beetle,"('Trigger Effect',)",Unlimited,2023-05-15 18:48:48,"('Any',)",New
Bubonic Vermin,"('Flip effect',)",Unlimited,2023-03-18 06:56:02,"('Any',)",Old
Bubonic Vermin,"('Trigger Effect',)",Unlimited,2023-05-15 19:01:31,"('Any',)",New
Castle of Dark Illusions,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,2023-03-18 07:30:59,"('Any',)",Old
Castle of Dark Illusions,"('Condition', 'Trigger Effect')",Unlimited,2023-05-14 20:54:01,"('Any',)",New
Cyber Jar,"('Flip effect',)",Limited,2023-03-18 10:10:58,"('Any',)",Old
Cyber Jar,"('Trigger Effect',)",Limited,2023-05-17 11:50:28,"('Any',)",New
Dragon Piper,"('Flip effect',)",Unlimited,2023-03-18 14:35:56,"('Any',)",Old
Dragon Piper,"('Trigger Effect',)",Unlimited,2023-05-14 20:56:50,"('Any',)",New
Grappler,,,2023-03-18 22:10:58,,Old
Grappler,,Not yet released,2023-05-14 22:15:17,,New
Hane-Hane,"('Flip effect',)",Unlimited,2023-03-18 23:08:15,"('Any',)",Old
Hane-Hane,"('Trigger Effect',)",Unlimited,2023-05-14 13:05:00,"('Any',)",New
Heavy Knight of the Flame,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:23,,Old
Heavy Knight of the Flame,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:23,"('Any',)",New
Hiro's Shadow Scout,"('Flip effect',)",Unlimited,2023-03-19 07:38:57,"('Any',)",Old
Hiro's Shadow Scout,"('Trigger Effect',)",Unlimited,2023-05-17 12:11:50,"('Any',)",New
Invader of the Throne,"('Flip effect',)",Unlimited,2023-03-19 09:27:05,"('Any',)",Old
Invader of the Throne,"('Trigger Effect',)",Unlimited,2023-05-17 12:11:24,"('Any',)",New
Jigen Bakudan,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-19 10:18:09,"('Any',)",Old
Jigen Bakudan,"('Trigger Effect',)",Unlimited,2023-05-17 11:53:01,"('Any',)",New
Junk Mail,"('Condition', 'Ignition Effect', 'Unclassified effect')",,2023-05-17 16:52:22,,New
Life Shaver,"('Quick-like Effect', 'Trigger Effect', 'Unclassified effect')",,2023-03-19 12:46:52,,Old
Life Shaver,"('Quick-like Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-05-17 17:22:25,,New
Magical Trick Mirror,"('Effect', 'Quick-like Effect')",,2023-03-19 14:33:15,,Old
Magical Trick Mirror,"('Effect', 'Quick-like Effect')",Not yet released,2023-05-17 17:22:24,,New
Magician of Faith,"('Flip effect',)",Unlimited,2023-04-01 01:48:17,"('Name', 'Type')",Old
Magician of Faith,"('Trigger Effect',)",Unlimited,2023-05-14 21:04:50,"('Name', 'Type')",New
Major Riot,"('Activation condition', 'Effect')",Unlimited,2023-03-19 15:02:34,"('Any',)",Old
Major Riot,"('Effect',)",Unlimited,2023-05-15 19:16:24,"('Any',)",New
Man-Eater Bug,"('Flip effect',)",Unlimited,2023-03-19 15:16:28,"('Name', 'Type')",Old
