Name,Effect type,TCG status,Modification date,Version
Armed Ninja,"('Flip effect',)",Unlimited,2023-03-18 02:35:15,Old
Armed Ninja,"('Trigger Effect',)",Unlimited,2023-05-14 13:06:40,New
Attack Guidance Armor,"('Condition', 'Effect')",,2023-03-18 03:17:40,Old
Attack Guidance Armor,"('Condition', 'Effect')",Not yet released,2023-05-14 22:05:32,New
Big Eye,"('Flip effect',)",Unlimited,2023-03-18 04:50:56,Old
Big Eye,"('Trigger Effect',)",Unlimited,2023-05-14 21:10:19,New
Castle of Dark Illusions,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,2023-03-18 07:30:59,Old
Castle of Dark Illusions,"('Condition', 'Trigger Effect')",Unlimited,2023-05-14 20:54:01,New
Dragon Piper,"('Flip effect',)",Unlimited,2023-03-18 14:35:56,Old
Dragon Piper,"('Trigger Effect',)",Unlimited,2023-05-14 20:56:50,New
Grappler,,,2023-03-18 22:10:58,Old
Grappler,,Not yet released,2023-05-14 22:15:17,New
Hane-Hane,"('Flip effect',)",Unlimited,2023-03-18 23:08:15,Old
Hane-Hane,"('Trigger Effect',)",Unlimited,2023-05-14 13:05:00,New
Life Shaver,"('Quick-like Effect', 'Trigger Effect', 'Unclassified effect')",,2023-03-19 12:46:52,Old
Life Shaver,"('Quick-like Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-05-14 22:06:18,New
Magical Trick Mirror,"('Effect', 'Quick-like Effect')",,2023-03-19 14:33:15,Old
Magical Trick Mirror,"('Effect', 'Quick-like Effect')",Not yet released,2023-05-14 22:06:43,New
Magician of Faith,"('Flip effect',)",Unlimited,2023-04-01 01:48:17,Old
Magician of Faith,"('Trigger Effect',)",Unlimited,2023-05-14 21:04:50,New
Man-Eater Bug,"('Flip effect',)",Unlimited,2023-03-19 15:16:28,Old
Man-Eater Bug,"('Trigger Effect',)",Unlimited,2023-05-14 13:06:01,New
Mask of Darkness,"('Flip effect',)",Unlimited,2023-03-19 15:36:05,Old
Mask of Darkness,"('Trigger Effect',)",Unlimited,2023-05-14 21:29:58,New
Princess of Tsurugi,"('Flip effect',)",Unlimited,2023-03-19 23:36:52,Old
Princess of Tsurugi,"('Trigger Effect',)",Unlimited,2023-05-14 20:49:13,New
Reaper of the Cards,"('Flip effect',)",Unlimited,2023-03-20 00:40:45,Old
Reaper of the Cards,"('Trigger Effect',)",Unlimited,2023-05-14 13:19:31,New
Steam Knight - Hamburk,,,2023-05-14 23:07:52,New
The Immortal of Thunder,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-20 13:57:00,Old
The Immortal of Thunder,"('Trigger Effect',)",Unlimited,2023-05-14 20:45:15,New
