Name,Password,Effect type,OCG status,Modification date,Errata,Version
4-Starred Ladybug of Doom,83994646,"('Flip effect',)",Unlimited,2023-03-17 23:23:05,"('Any',)",Old
4-Starred Ladybug of Doom,83994646,"('Trigger Effect',)",Unlimited,2023-05-15 18:48:22,"('Any',)",New
Amazoness Fighting Spirit,36100154,"('Continuous-like Effect',)",Unlimited,2023-04-10 17:19:10,,Old
Amazoness Fighting Spirit,36100154,"('Continuous-like Effect',)",Unlimited,2023-04-10 17:19:10,"('Any',)",New
Amazoness Willpower,22082163,"('Continuous-like Effect', 'Effect')",Unlimited,2023-04-10 17:19:08,,Old
Amazoness Willpower,22082163,"('Continuous-like Effect', 'Effect')",Unlimited,2023-04-10 17:19:08,"('Any',)",New
Archfiend Soldier,49881766,,Unlimited,2023-04-09 07:58:51,"('Any',)",Old
Archfiend Soldier,49881766,,Unlimited,2023-05-19 20:59:21,"('Type',)",New
Arsenal Summoner,85489096,"('Flip effect',)",Unlimited,2023-03-18 02:50:53,"('Any',)",Old
Arsenal Summoner,85489096,"('Flip effect',)",Unlimited,2023-05-19 22:08:00,"('Type',)",New
Bite Shoes,50122883,"('Flip effect',)",Unlimited,2023-03-18 04:58:32,"('Any',)",Old
Bite Shoes,50122883,"('Trigger Effect',)",Unlimited,2023-05-15 18:52:04,"('Any',)",New
Bombardment Beetle,57409948,"('Flip effect',)",Unlimited,2023-03-18 05:59:02,"('Any',)",Old
Bombardment Beetle,57409948,"('Trigger Effect',)",Unlimited,2023-05-15 18:48:48,"('Any',)",New
Boogie Trap,96704974,"('Condition', 'Cost', 'Effect')",Unlimited,2023-03-18 06:02:35,,Old
Boogie Trap,96704974,"('Condition', 'Effect', 'Lingering effect')",Unlimited,2023-05-19 16:17:46,,New
Bubonic Vermin,06104968,"('Flip effect',)",Unlimited,2023-03-18 06:56:02,"('Any',)",Old
Bubonic Vermin,06104968,"('Trigger Effect',)",Unlimited,2023-05-15 19:01:31,"('Any',)",New
Crimson Ninja,14618326,"('Flip effect',)",Unlimited,2023-03-18 09:19:41,"('Any',)",Old
Crimson Ninja,14618326,"('Trigger Effect',)",Unlimited,2023-05-18 20:35:50,"('Any',)",New
Cyber Jar,34124316,"('Flip effect',)",Forbidden,2023-03-18 10:10:58,"('Any',)",Old
Cyber Jar,34124316,"('Trigger Effect',)",Forbidden,2023-05-17 11:50:28,"('Any',)",New
Dandy White Lion,,"('Condition', 'Trigger Effect')",Not yet released,2023-05-10 01:25:58,,Old
Dandy White Lion,36629635,"('Condition', 'Trigger Effect')",Unlimited,2023-05-19 07:26:14,,New
Des Feral Imp,81985784,"('Flip effect',)",Unlimited,2023-05-14 22:20:44,"('Type',)",Old
Des Feral Imp,81985784,"('Trigger Effect',)",Unlimited,2023-05-19 21:11:20,"('Type',)",New
Gale Lizard,77491079,"('Flip effect',)",Unlimited,2023-03-18 19:49:37,"('Type',)",Old
Gale Lizard,77491079,"('Trigger Effect',)",Unlimited,2023-05-18 20:35:19,"('Type',)",New
Heavy Knight of the Flame,34761062,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:23,,Old
Heavy Knight of the Flame,34761062,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:23,"('Any',)",New
Hiro's Shadow Scout,81863068,"('Flip effect',)",Unlimited,2023-03-19 07:38:57,"('Any',)",Old
Hiro's Shadow Scout,81863068,"('Trigger Effect',)",Unlimited,2023-05-17 12:11:50,"('Any',)",New
Invader of the Throne,03056267,"('Flip effect',)",Unlimited,2023-03-19 09:27:05,"('Any',)",Old
Invader of the Throne,03056267,"('Trigger Effect',)",Unlimited,2023-05-17 12:11:24,"('Any',)",New
Iron Blacksmith Kotetsu,73431236,"('Flip effect',)",Unlimited,2023-03-19 09:43:32,"('Type',)",Old
Iron Blacksmith Kotetsu,73431236,"('Trigger Effect',)",Unlimited,2023-05-19 20:57:09,"('Type',)",New
Jigen Bakudan,90020065,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-19 10:18:09,"('Any',)",Old
Jigen Bakudan,90020065,"('Trigger Effect',)",Unlimited,2023-05-17 11:53:01,"('Any',)",New
Junk Mail,,"('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,2023-05-17 16:52:22,,New
Major Riot,09074847,"('Activation condition', 'Effect')",Unlimited,2023-03-19 15:02:34,"('Any',)",Old
Major Riot,09074847,"('Effect',)",Unlimited,2023-05-15 19:16:24,"('Any',)",New
Miracle of the Supreme King,,"('Condition', 'Effect')",Not yet released,2023-05-15 15:19:20,,New
Morphing Jar #2,79106360,"('Flip effect',)",Unlimited,2023-03-19 17:34:17,,Old
Morphing Jar #2,79106360,"('Trigger Effect',)",Unlimited,2023-05-15 19:08:37,,New
Over Future Fusion,,,Not yet released,2023-05-16 21:35:46,,New
Parasite Paracide,27911549,"('Continuous Effect', 'Flip effect', 'Trigger Effect')",Unlimited,2023-03-19 21:33:40,"('Type',)",Old
Parasite Paracide,27911549,"('Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-15 19:27:43,"('Type',)",New
Pendulum Evolution,,"('Condition', 'Ignition-like Effect')",Not yet released,2023-05-15 15:02:15,,New
Queen's Pawn,58477767,"('Effect',)",Unlimited,2023-04-10 17:19:05,,Old
Queen's Pawn,58477767,"('Effect',)",Unlimited,2023-04-10 17:19:05,"('Any',)",New
Sky Striker Ace - Camellia,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-05-17 00:56:15,,New
Soul of the Supreme Celestial King,,"('Condition', 'Effect')",Not yet released,2023-05-16 02:24:52,,New
Spear Cretin,58551308,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-20 09:13:52,"('Any',)",Old
Spear Cretin,58551308,"('Trigger Effect',)",Unlimited,2023-05-17 11:46:14,"('Any',)",New
Supreme Celestial King Odd-Eyes Arc-Ray Dragon,,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-05-20 10:04:17,,New
Supreme King Dragon Lightwurm,,"('Condition', 'Trigger Effect')",Not yet released,2023-05-15 14:22:34,,New
Supreme King Gate Magician,,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-05-15 18:35:32,,New
The Light-Winged Dragon,,"('Condition', 'Effect')",Not yet released,2023-05-15 15:11:06,,New
Vampire's Desire,69700783,"('Condition', 'Effect')",Unlimited,2023-04-10 17:19:21,,Old
Vampire's Desire,69700783,"('Condition', 'Effect')",Unlimited,2023-04-10 17:19:21,"('Any',)",New
Volcanic Emission,,"('Condition', 'Effect')",Not yet released,2023-05-17 01:00:01,,New
Weather Report,72053645,"('Flip effect',)",Unlimited,2023-03-20 19:26:43,"('Any',)",Old
Weather Report,72053645,"('Trigger Effect',)",Unlimited,2023-05-17 12:13:41,"('Any',)",New
Witch Doctor of Chaos,75946257,"('Flip effect',)",Unlimited,2023-03-20 19:57:07,,Old
Witch Doctor of Chaos,75946257,"('Trigger Effect',)",Unlimited,2023-05-18 20:31:51,,New
