Name,Password,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Attribute,Primary type,DEF,ATK,Level/Rank,Version
Albaz the Shrouded,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,Monster Token,,,,Old
Albaz the Shrouded,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,,,,,Old
Albaz the Shrouded,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:40:16,,Monster Token,,,,New
Albaz the Shrouded,,,Legal,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:40:16,,,,,,New
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Baelgrill de Nouvelles,https://yugipedia.com/wiki/Baelgrill_de_Nouvelles,,2023-05-03 10:58:28,DARK,Ritual Monster,1850,2400,6,Old
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Baelgrill de Nouvelles,https://yugipedia.com/wiki/Baelgrill_de_Nouvelles,,2023-05-22 15:53:36,DARK,Ritual Monster,1850,2400,6,New
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Balameuniere de Nouvelles,https://yugipedia.com/wiki/Balameuniere_de_Nouvelles,,2023-05-03 11:03:37,DARK,Ritual Monster,1850,2000,5,Old
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Balameuniere de Nouvelles,https://yugipedia.com/wiki/Balameuniere_de_Nouvelles,,2023-05-22 15:55:44,DARK,Ritual Monster,1850,2000,5,New
Black Luster Soldier,,,,Unlimited,Black Luster Soldier (Normal),https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2023-03-18 05:05:32,EARTH,Normal Monster,2500,3000,8,Old
Black Luster Soldier,05405694,,Unlimited,Unlimited,Black Luster Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier,,2023-03-18 05:05:19,EARTH,Ritual Monster,2500,3000,8,Old
Black Luster Soldier,,,,Unlimited,Black Luster Soldier (Normal),https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2023-03-18 05:05:04,EARTH,Normal Monster,2500,3000,8,New
Black Luster Soldier,05405694,,Unlimited,Unlimited,Black Luster Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier,,2023-03-18 05:05:04,EARTH,Ritual Monster,2500,3000,8,New
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Buerillabaisse de Nouvelles,https://yugipedia.com/wiki/Buerillabaisse_de_Nouvelles,,2023-05-03 11:03:59,DARK,Ritual Monster,1850,400,1,Old
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Buerillabaisse de Nouvelles,https://yugipedia.com/wiki/Buerillabaisse_de_Nouvelles,,2023-05-22 16:02:08,DARK,Ritual Monster,1850,400,1,New
Chef's Special Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Unlimited,Chef's Special Recipe,https://yugipedia.com/wiki/Chef%27s_Special_Recipe,,2023-05-22 15:38:40,,,,,,New
Confiras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Confiras de Nouvelles,https://yugipedia.com/wiki/Confiras_de_Nouvelles,,2023-05-22 16:00:00,DARK,Ritual Monster,1850,800,2,New
Confitras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Confitras de Nouvelles,https://yugipedia.com/wiki/Confitras_de_Nouvelles,,2023-05-03 11:04:19,DARK,Ritual Monster,1850,800,2,Old
Dark Magician,36996508,,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-03-18 11:57:40,DARK,Normal Monster,2100,2500,7,Old
Dark Magician,46986414,,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-05-14 23:06:07,DARK,Normal Monster,2100,2500,7,Old
Dark Magician,46986414,,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-05-14 23:06:40,DARK,Normal Monster,2100,2500,7,New
Dark Magician,36996508,,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-03-18 11:56:48,DARK,Normal Monster,2100,2500,7,New
Ecclesia the Exiled,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,,,,,Old
Ecclesia the Exiled,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,Monster Token,,,,Old
Ecclesia the Exiled,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:48,,Monster Token,,,,New
Ecclesia the Exiled,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:48,,,,,,New
Emperor's Key,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:39:53,,,,,,Old
Emperor's Key,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:39:53,,Monster Token,,,,Old
Emperor's Key,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:38:56,,,,,,New
