Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Absolute Powerforce,,"('Effect',)",,Not yet released,2023-05-28 12:26:40,,New
Appointer of the Red Lotus,43262273,"('Cost', 'Effect')",Semi-Limited,Unlimited,2023-03-15 01:25:20,"('Any',)",Old
Appointer of the Red Lotus,43262273,"('Cost', 'Effect')",Limited,Unlimited,2023-03-15 01:25:20,"('Any',)",New
Archfiend General,48675364,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,2023-04-08 22:43:12,,Old
Archfiend General,48675364,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,2023-04-08 22:43:12,"('Any',)",New
Battlin' Boxer Chief Second,,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2023-04-13 15:51:28,,Old
Battlin' Boxer Chief Second,47921178,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:09:52,,New
Battlin' Boxer King Dempsey,,"('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-04-13 16:10:40,,Old
Battlin' Boxer King Dempsey,46804536,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:14:08,,New
Battlin' Boxer Promoter,,"('Condition', 'Ignition Effect')",,Not yet released,2023-04-13 15:53:36,,Old
Battlin' Boxer Promoter,83315222,"('Condition', 'Ignition Effect')",,Unlimited,2023-05-27 11:09:52,,New
Battlin' Boxer Uppercutter,,"('Condition', 'Trigger Effect')",,Not yet released,2023-04-13 15:38:40,,Old
Battlin' Boxer Uppercutter,11522479,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 11:07:44,,New
Battlin' Boxing Cross Counter,,"('Condition', 'Effect')",,Not yet released,2023-04-13 16:42:40,,Old
Battlin' Boxing Cross Counter,19688343,"('Condition', 'Effect')",,Unlimited,2023-05-27 11:18:24,,New
Battlin' Boxing Spirits,36916401,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,2023-04-06 12:22:24,,Old
Battlin' Boxing Spirits,36916401,"('Condition', 'Effect')",Unlimited,Unlimited,2023-05-27 15:51:28,,New
Curse of Aging,41398771,"('Effect',)",Unlimited,Unlimited,2023-04-08 22:41:04,,Old
Curse of Aging,41398771,"('Effect',)",Unlimited,Unlimited,2023-04-08 22:41:04,"('Any',)",New
D-Boyz,79279397,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
D-Boyz,79279397,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Type',)",New
D.D. Destroyer,44792253,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-08 22:41:04,,Old
D.D. Destroyer,44792253,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-08 22:41:04,"('Any',)",New
Fire Ejection,,"('Condition', 'Effect')",,Not yet released,2023-04-14 17:42:24,,Old
