Name,Password,Archseries,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Version
A Deal with Dark Ruler,06850209,,"('Activation condition', 'Condition', 'Effect')",Unlimited,A Deal with Dark Ruler,https://yugipedia.com/wiki/A_Deal_with_Dark_Ruler,"('Edited',)",2023-05-19 21:04:47,"('Name', 'Type')",Old
A Deal with Dark Ruler,06850209,"('Archfiend',)","('Activation condition', 'Condition', 'Effect')",Unlimited,A Deal with Dark Ruler,https://yugipedia.com/wiki/A_Deal_with_Dark_Ruler,"('Edited',)",2023-05-19 21:04:47,"('Name', 'Type')",New
Adamancipator Resonance,45730592,,"('Effect',)",Unlimited,Adamancipator Resonance,https://yugipedia.com/wiki/Adamancipator_Resonance,,2023-03-17 23:52:02,,Old
Adamancipator Resonance,45730592,"('Adamancipator',)","('Effect',)",Unlimited,Adamancipator Resonance,https://yugipedia.com/wiki/Adamancipator_Resonance,,2023-03-17 23:52:02,,New
Additional Mirror Level 7,23812568,,"('Effect',)",,Additional Mirror Level 7,https://yugipedia.com/wiki/Additional_Mirror_Level_7,,2023-05-09 20:18:02,,Old
Additional Mirror Level 7,23812568,,"('Effect',)",Not yet released,Additional Mirror Level 7,https://yugipedia.com/wiki/Additional_Mirror_Level_7,,2023-06-18 01:27:21,,New
Aitsu,48202661,,,Unlimited,Aitsu,https://yugipedia.com/wiki/Aitsu,,2023-03-18 00:04:00,,Old
Aitsu,48202661,"('Itsu',)",,Unlimited,Aitsu,https://yugipedia.com/wiki/Aitsu,,2023-03-18 00:04:00,,New
Alien Kid,64160836,,"('Continuous Effect',)",Unlimited,Alien Kid,https://yugipedia.com/wiki/Alien_Kid,,2023-03-18 00:12:26,,Old
Alien Kid,64160836,"('Alien',)","('Continuous Effect',)",Unlimited,Alien Kid,https://yugipedia.com/wiki/Alien_Kid,,2023-03-18 00:12:26,,New
Alien Mars,99532708,,"('Continuous Effect',)",Unlimited,Alien Mars,https://yugipedia.com/wiki/Alien_Mars,,2023-03-18 00:12:46,,Old
Alien Mars,99532708,"('Alien',)","('Continuous Effect',)",Unlimited,Alien Mars,https://yugipedia.com/wiki/Alien_Mars,,2023-03-18 00:12:46,,New
Alien Shocktrooper,97127906,,,Unlimited,Alien Shocktrooper,https://yugipedia.com/wiki/Alien_Shocktrooper,,2023-03-18 00:13:47,,Old
Alien Shocktrooper,97127906,"('Alien',)",,Unlimited,Alien Shocktrooper,https://yugipedia.com/wiki/Alien_Shocktrooper,,2023-03-18 00:13:47,,New
Ally of Justice Cosmic Gateway,08822710,,"('Unclassified effect',)",Unlimited,Ally of Justice Cosmic Gateway,https://yugipedia.com/wiki/Ally_of_Justice_Cosmic_Gateway,,2023-03-18 00:25:14,"('Any',)",Old
Ally of Justice Cosmic Gateway,08822710,"('Ally of Justice',)","('Unclassified effect',)",Unlimited,Ally of Justice Cosmic Gateway,https://yugipedia.com/wiki/Ally_of_Justice_Cosmic_Gateway,,2023-03-18 00:25:14,"('Any',)",New
Ally of Justice Light Gazer,19204398,,"('Continuous Effect',)",Unlimited,Ally of Justice Light Gazer,https://yugipedia.com/wiki/Ally_of_Justice_Light_Gazer,,2023-03-18 00:27:59,"('Any',)",Old
Ally of Justice Light Gazer,19204398,"('Ally of Justice',)","('Continuous Effect',)",Unlimited,Ally of Justice Light Gazer,https://yugipedia.com/wiki/Ally_of_Justice_Light_Gazer,,2023-03-18 00:27:59,"('Any',)",New
Ally of Justice Quarantine,72845813,,"('Continuous Effect',)",Unlimited,Ally of Justice Quarantine,https://yugipedia.com/wiki/Ally_of_Justice_Quarantine,,2023-03-18 00:28:47,,Old
Ally of Justice Quarantine,72845813,"('Ally of Justice', 'D.D.')","('Continuous Effect',)",Unlimited,Ally of Justice Quarantine,https://yugipedia.com/wiki/Ally_of_Justice_Quarantine,,2023-03-18 00:28:47,,New
Ally of Justice Thousand Arms,85876417,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Ally of Justice Thousand Arms,https://yugipedia.com/wiki/Ally_of_Justice_Thousand_Arms,,2023-03-18 00:30:14,,Old
Ally of Justice Thousand Arms,85876417,"('Ally of Justice',)","('Continuous Effect', 'Trigger Effect')",Unlimited,Ally of Justice Thousand Arms,https://yugipedia.com/wiki/Ally_of_Justice_Thousand_Arms,,2023-03-18 00:30:14,,New
Alpha The Magnet Warrior,99785935,,,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2023-03-18 00:32:56,"('Name',)",Old
Alpha The Magnet Warrior,99785935,"('Magnet Warrior', 'Warrior (archetype)')",,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2023-03-18 00:32:56,"('Name',)",New
Amazoness Fighter,55821894,,"('Continuous Effect',)",Unlimited,Amazoness Fighter,https://yugipedia.com/wiki/Amazoness_Fighter,,2023-04-10 17:19:17,"('Any',)",Old
Amazoness Fighter,55821894,"('Amazoness',)","('Continuous Effect',)",Unlimited,Amazoness Fighter,https://yugipedia.com/wiki/Amazoness_Fighter,,2023-04-10 17:19:17,"('Any',)",New
Amazoness Fighting Spirit,36100154,,"('Continuous-like Effect',)",Unlimited,Amazoness Fighting Spirit,https://yugipedia.com/wiki/Amazoness_Fighting_Spirit,,2023-04-10 17:19:10,"('Any',)",Old
Amazoness Fighting Spirit,36100154,"('Amazoness',)","('Continuous-like Effect',)",Unlimited,Amazoness Fighting Spirit,https://yugipedia.com/wiki/Amazoness_Fighting_Spirit,,2023-04-10 17:19:10,"('Any',)",New
Amazoness Heirloom,79965360,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Amazoness Heirloom,https://yugipedia.com/wiki/Amazoness_Heirloom,,2023-04-10 17:19:11,"('Any',)",Old
Amazoness Heirloom,79965360,"('Amazoness',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Amazoness Heirloom,https://yugipedia.com/wiki/Amazoness_Heirloom,,2023-04-10 17:19:11,"('Any',)",New
Amazoness Pet Liger,68507541,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Amazoness Pet Liger,https://yugipedia.com/wiki/Amazoness_Pet_Liger,,2023-03-18 00:52:50,,Old
Amazoness Pet Liger,68507541,"('Amazoness',)","('Continuous Effect', 'Trigger Effect')",Unlimited,Amazoness Pet Liger,https://yugipedia.com/wiki/Amazoness_Pet_Liger,,2023-03-18 00:52:50,,New
Amazoness Queen,15951532,,"('Continuous Effect',)",Unlimited,Amazoness Queen,https://yugipedia.com/wiki/Amazoness_Queen,"('Edited',)",2023-03-31 18:57:56,,Old
Amazoness Queen,15951532,"('Amazoness',)","('Continuous Effect',)",Unlimited,Amazoness Queen,https://yugipedia.com/wiki/Amazoness_Queen,"('Edited',)",2023-03-31 18:57:56,,New
Amazoness Sage,53162898,,"('Trigger Effect',)",Unlimited,Amazoness Sage,https://yugipedia.com/wiki/Amazoness_Sage,,2023-04-10 17:19:16,"('Any',)",Old
Amazoness Sage,53162898,"('Amazoness',)","('Trigger Effect',)",Unlimited,Amazoness Sage,https://yugipedia.com/wiki/Amazoness_Sage,,2023-04-10 17:19:16,"('Any',)",New
Amazoness Shamanism,06459419,,"('Effect',)",Unlimited,Amazoness Shamanism,https://yugipedia.com/wiki/Amazoness_Shamanism,,2023-03-18 00:54:40,"('Any',)",Old
Amazoness Shamanism,06459419,"('Amazoness',)","('Effect',)",Unlimited,Amazoness Shamanism,https://yugipedia.com/wiki/Amazoness_Shamanism,,2023-03-18 00:54:40,"('Any',)",New
Amorphage Lechery,70917315,,"('Continuous Effect', 'Continuous-like Effect', 'Maintenance cost')",Unlimited,Amorphage Lechery,https://yugipedia.com/wiki/Amorphage_Lechery,,2023-03-18 01:02:10,,Old
Amorphage Lechery,70917315,"('Amorphage',)","('Continuous Effect', 'Continuous-like Effect', 'Maintenance cost')",Unlimited,Amorphage Lechery,https://yugipedia.com/wiki/Amorphage_Lechery,,2023-03-18 01:02:10,,New
Amphibious Bugroth,40173854,,,Unlimited,Amphibious Bugroth,https://yugipedia.com/wiki/Amphibious_Bugroth,,2023-03-18 01:03:46,"('Any',)",Old
Amphibious Bugroth,40173854,"('Bugroth',)",,Unlimited,Amphibious Bugroth,https://yugipedia.com/wiki/Amphibious_Bugroth,,2023-03-18 01:03:46,"('Any',)",New
Amphibious Bugroth MK-11,04754691,,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Amphibious Bugroth MK-11,https://yugipedia.com/wiki/Amphibious_Bugroth_MK-11,,2023-03-18 01:04:02,,Old
Amphibious Bugroth MK-11,04754691,"('Bugroth',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Amphibious Bugroth MK-11,https://yugipedia.com/wiki/Amphibious_Bugroth_MK-11,,2023-03-18 01:04:02,,New
Amphibious Bugroth MK-3,64342551,,"('Continuous Effect',)",Unlimited,Amphibious Bugroth MK-3,https://yugipedia.com/wiki/Amphibious_Bugroth_MK-3,,2023-05-18 19:58:43,"('Any',)",Old
Amphibious Bugroth MK-3,64342551,"('Bugroth',)","('Continuous Effect',)",Unlimited,Amphibious Bugroth MK-3,https://yugipedia.com/wiki/Amphibious_Bugroth_MK-3,,2023-05-18 19:58:43,"('Any',)",New
Ancient Gear,31557782,,"('Unclassified effect',)",Unlimited,Ancient Gear (card),https://yugipedia.com/wiki/Ancient_Gear_(card),,2023-03-18 01:12:15,,Old
Ancient Gear,31557782,"('Ancient Gear',)","('Unclassified effect',)",Unlimited,Ancient Gear (card),https://yugipedia.com/wiki/Ancient_Gear_(card),,2023-03-18 01:12:15,,New
Ancient Gear Beast,10509340,,"('Continuous Effect', 'Summoning condition')",Unlimited,Ancient Gear Beast,https://yugipedia.com/wiki/Ancient_Gear_Beast,,2023-05-07 19:39:38,"('Name', 'Type')",Old
Ancient Gear Beast,10509340,"('Ancient Gear',)","('Continuous Effect', 'Summoning condition')",Unlimited,Ancient Gear Beast,https://yugipedia.com/wiki/Ancient_Gear_Beast,,2023-05-07 19:39:38,"('Name', 'Type')",New
Ancient Gear Explosive,04446672,,"('Effect',)",Unlimited,Ancient Gear Explosive,https://yugipedia.com/wiki/Ancient_Gear_Explosive,,2023-03-18 01:14:59,"('Any',)",Old
