Name,Effect type,OCG status,Artwork,Modification date,Errata,Version
Ancient Fairy Dragon,"('Condition', 'Ignition Effect')",Semi-Limited,,2023-05-07 15:10:22,"('Type',)",Old
Ancient Fairy Dragon,"('Condition', 'Ignition Effect')",Unlimited,,2023-05-07 15:10:22,"('Type',)",New
Angel Ring,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Unclassified effect')",Not yet released,,2023-07-02 23:57:31,,New
Armageddon Knight,"('Trigger Effect',)",Limited,,2023-03-18 02:28:15,"('Any',)",Old
Armageddon Knight,"('Trigger Effect',)",Semi-Limited,,2023-03-18 02:28:15,"('Any',)",New
Armed Ninja,"('Trigger Effect',)",Unlimited,,2023-05-14 13:06:40,"('Name',)",Old
Armed Ninja,"('Trigger Effect',)",Unlimited,,2023-05-14 13:06:40,"('Name', 'Type')",New
Armored Starfish,,Unlimited,,2023-05-14 13:01:18,,Old
Armored Starfish,,Unlimited,,2023-05-14 13:01:18,"('Type',)",New
Blackwing - Steam the Cloak,"('Condition', 'Ignition Effect', 'Trigger Effect')",Semi-Limited,,2023-03-16 01:29:46,"('Type',)",Old
Blackwing - Steam the Cloak,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-03-16 01:29:46,"('Type',)",New
"Blazing Cartesia, the Virtuous","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,2023-03-16 10:50:47,,Old
"Blazing Cartesia, the Virtuous","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Edited',)",2023-07-03 00:37:48,,New
Block Dragon,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,2023-03-18 05:44:48,"('Any',)",Old
Block Dragon,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Semi-Limited,,2023-03-18 05:44:48,"('Any',)",New
Bomb Token,,Legal,,2023-06-26 08:37:48,,New
Boton the Music Princess,,Unlimited,,2023-06-24 12:31:42,,Old
Cyber-Stein,"('Condition', 'Ignition Effect')",Limited,,2023-03-18 10:19:02,"('Type',)",Old
Cyber-Stein,"('Condition', 'Ignition Effect')",Forbidden,,2023-03-18 10:19:02,"('Type',)",New
Darkworld Thorns,,Unlimited,,2023-05-14 13:02:13,,Old
Darkworld Thorns,,Unlimited,,2023-05-14 13:02:13,"('Type',)",New
Demolition Soldier High Kanko,,Unlimited,,2023-06-24 12:54:18,,Old
Drooling Lizard,,Unlimited,,2023-05-14 13:01:51,"('Name',)",Old
Drooling Lizard,,Unlimited,,2023-05-14 13:01:51,"('Name', 'Type')",New
Fire Formation - Tenki,"('Condition', 'Continuous-like Effect', 'Effect')",Semi-Limited,,2023-05-30 22:27:19,"('Any',)",Old
Fire Formation - Tenki,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,,2023-06-27 06:08:02,"('Any',)",New
"Gaia Prominence, the Kindling Seraph","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-06-28 12:50:12,,New
Goblin's Secret Remedy,"('Effect',)",Unlimited,,2023-05-20 21:51:33,"('Name', 'Type')",Old
Goblin's Secret Remedy,"('Effect',)",Unlimited,,2023-05-20 21:51:33,"('Type',)",New
Hane-Hane,"('Trigger Effect',)",Unlimited,,2023-05-14 13:05:00,"('Any',)",Old
Hane-Hane,"('Trigger Effect',)",Unlimited,,2023-05-14 13:05:00,"('Type',)",New
Kashtira Fenrir,"('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Limited,,2023-05-20 11:29:32,,Old
Kashtira Fenrir,"('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Forbidden,,2023-05-20 11:29:32,,New
Kelbek the Ancient Vanguard,"('Condition', 'Trigger Effect')",Unlimited,,2023-06-19 15:25:57,,Old
Kelbek the Ancient Vanguard,"('Condition', 'Trigger Effect')",Limited,,2023-06-19 15:25:57,,New
King's Consonance,"('Activation condition', 'Effect')",Unlimited,,2023-03-19 11:23:46,,Old
King's Consonance,"('Effect',)",Unlimited,,2023-06-28 09:01:23,,New
Lesser Dragon,,Unlimited,,2023-05-14 13:02:32,,Old
Lesser Dragon,,Unlimited,,2023-05-14 13:02:32,"('Type',)",New
M-X-Saber Invoker,"('Ignition Effect',)",Forbidden,,2023-03-19 13:42:10,"('Type',)",Old
M-X-Saber Invoker,"('Ignition Effect',)",Limited,,2023-03-19 13:42:10,"('Type',)",New
Mathmech Circular,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-04-15 12:32:25,,Old
Mathmech Circular,"('Condition', 'Ignition Effect', 'Trigger Effect')",Limited,,2023-04-15 12:32:25,,New
Misairuzame,,Unlimited,,2023-05-14 13:04:08,,Old
Misairuzame,,Unlimited,,2023-05-14 13:04:08,"('Type',)",New
Mudora the Sword Oracle,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,2023-06-19 15:26:28,,Old
Mudora the Sword Oracle,"('Condition', 'Ignition Effect', 'Quick Effect')",Limited,,2023-06-19 15:26:28,,New
Nadir Servant,"('Condition', 'Effect')",Semi-Limited,,2023-04-27 19:49:29,,Old
Nadir Servant,"('Condition', 'Effect')",Unlimited,,2023-06-28 13:24:52,,New
Nemleria Repette,"('Condition', 'Quick-like Effect')",Not yet released,,2023-07-02 12:44:10,,New
Performapal Monkeyboard,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",Forbidden,,2023-03-19 22:08:05,"('Any',)",Old
Performapal Monkeyboard,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",Limited,,2023-03-19 22:08:05,"('Any',)",New
Pot of Prosperity,"('Condition', 'Effect')",Semi-Limited,,2023-06-22 01:19:30,,Old
Pot of Prosperity,"('Condition', 'Effect')",Limited,,2023-06-22 01:19:30,,New
Prank-Kids Meow-Meow-Mu,"('Condition', 'Unclassified effect')",Limited,,2023-03-19 23:18:40,,Old
