Name,Password,Archseries,Effect type,TCG status,Artwork,Modification date,Errata,Version
"""Infernoble Arms - Almace""",98319530,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",,,2023-04-22 12:21:12,,Old
"""Infernoble Arms - Almace""",98319530,"('Infernoble Arms', 'Noble Arms')","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,,2023-07-10 16:28:29,,New
"""The Sinful Spoils Hunter Fiend""",,"('Sinful Spoils',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-14 13:34:13,,New
"""The Tainted Treasure Hunter Fiend""",,"('Tainted Treasure',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-06 11:30:15,,Old
Absolute King - Megaplunder,,,,,,2023-04-03 09:26:27,,Old
Absolute King - Megaplunder,27553701,,,,,2023-07-13 04:52:31,,New
Agnimal Candle,13014905,,"('Condition', 'Trigger Effect')",,,2023-04-27 02:07:24,,Old
Agnimal Candle,13014905,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 19:23:09,,New
Altergeist Adminia,61470213,"('Altergeist',)","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-04-22 01:39:29,,Old
Altergeist Adminia,61470213,"('Altergeist',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-10 16:26:36,,New
Altergeist Malwisp,27132400,"('Altergeist',)","('Condition', 'Trigger Effect')",,,2023-04-22 00:27:09,,Old
Altergeist Malwisp,27132400,"('Altergeist',)","('Condition', 'Trigger Effect')",Not yet released,,2023-07-16 04:20:11,,New
Altergeist Perinetrator,54126514,"('Altergeist',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,,2023-04-22 00:28:00,,Old
Altergeist Peritrator,54126514,"('Altergeist',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:12:52,,New
Altergeist Revitalization,22024279,"('Altergeist',)","('Condition', 'Effect', 'Quick-like Effect')",,,2023-04-22 12:56:23,,Old
Altergeist Revitalization,22024279,"('Altergeist',)","('Condition', 'Effect', 'Quick-like Effect')",Not yet released,,2023-07-10 16:24:51,,New
"Angelica, Princess of Noble Arms",36320744,"('Noble Arms',)","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-06-25 16:03:45,,Old
"Angelica, Princess of Noble Arms",36320744,"('Noble Arms',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-13 15:14:59,,New
Aqua Chorus Round,59131526,,"('Effect',)",Not yet released,,2023-07-14 19:39:48,,New
