Name,Password,Archseries,Effect type,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Version
"""The Sinful Spoils Hunter Fiend""",,"('Sinful Spoils',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,"""The Sinful Spoils Hunter Fiend""",https://yugipedia.com/wiki/%22The_Sinful_Spoils_Hunter_Fiend%22,,2023-07-14 13:34:13,,Old
"""The Sinful Spoils Hunter Fiend""",80845034,"('Sinful Spoils',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,"""The Sinful Spoils Hunter Fiend""",https://yugipedia.com/wiki/%22The_Sinful_Spoils_Hunter_Fiend%22,,2023-07-22 15:34:25,,New
Angel Ring,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Unclassified effect')",Not yet released,Angel Ring,https://yugipedia.com/wiki/Angel_Ring,,2023-07-02 23:57:31,,Old
Angel Ring,40678060,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Unclassified effect')",Unlimited,Angel Ring,https://yugipedia.com/wiki/Angel_Ring,,2023-07-22 15:52:57,,New
Arias the Labrynth Butler,73602965,"('Labrynth',)","('Condition', 'Quick Effect')",Unlimited,Arias the Labrynth Butler,https://yugipedia.com/wiki/Arias_the_Labrynth_Butler,,2023-07-22 00:56:45,,New
Berfomet the Phantom Beast Dark Ruler,,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,Berfomet the Phantom Beast Dark Ruler,https://yugipedia.com/wiki/Berfomet_the_Phantom_Beast_Dark_Ruler,,2023-07-10 17:22:54,,Old
Berfomet the Phantom Beast Dark Ruler,69601012,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Berfomet the Phantom Beast Dark Ruler,https://yugipedia.com/wiki/Berfomet_the_Phantom_Beast_Dark_Ruler,,2023-07-22 01:26:15,,New
Breath of the Tistina,,"('Tistina',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Breath of the Tistina,https://yugipedia.com/wiki/Breath_of_the_Tistina,,2023-07-16 00:26:04,,Old
Breath of the Tistina,58882608,"('Tistina',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Breath of the Tistina,https://yugipedia.com/wiki/Breath_of_the_Tistina,,2023-07-19 23:51:33,,New
"Brionac, the Dragon of Icy Malevolence",,,"('Condition', 'Trigger Effect')",Not yet released,"Brionac, the Dragon of Icy Malevolence","https://yugipedia.com/wiki/Brionac,_the_Dragon_of_Icy_Malevolence",,2023-07-07 11:54:57,,Old
