Name,Password,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,Version
"""Infernoble Arms - Almace""",98319530,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,"""Infernoble Arms - Almace""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Almace%22,,2023-07-20 00:23:39,,,Old
"""Infernoble Arms - Almace""",98319530,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,"""Infernoble Arms - Almace""",https://yugipedia.com/wiki/%22Infernoble_Arms_-_Almace%22,,2023-07-28 05:54:45,,,New
Agnimal Candle,13014905,"('Condition', 'Trigger Effect')",Not yet released,Agnimal Candle,https://yugipedia.com/wiki/Agnimal_Candle,,2023-07-20 01:19:28,,Effect Monster,Old
Agnimal Candle,13014905,"('Condition', 'Trigger Effect')",Unlimited,Agnimal Candle,https://yugipedia.com/wiki/Agnimal_Candle,,2023-07-28 05:53:24,,Effect Monster,New
Albaz the Shrouded,,,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,Monster Token,Old
Albaz the Shrouded,,,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-03-23 09:39:57,,,Old
Albaz the Shrouded,,,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-07-27 06:14:51,,,New
Albaz the Shrouded,,,Legal,Albaz the Shrouded,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2023-07-27 06:14:51,,Monster Token,New
Altergeist Adminia,61470213,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Altergeist Adminia,https://yugipedia.com/wiki/Altergeist_Adminia,,2023-07-20 00:41:38,,Link Monster,Old
Altergeist Adminia,61470213,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Altergeist Adminia,https://yugipedia.com/wiki/Altergeist_Adminia,,2023-07-28 05:54:20,,Link Monster,New
Altergeist Malwisp,27132400,"('Condition', 'Trigger Effect')",Not yet released,Altergeist Malwisp,https://yugipedia.com/wiki/Altergeist_Malwisp,,2023-07-20 01:19:41,,Effect Monster,Old
Altergeist Malwisp,27132400,"('Condition', 'Trigger Effect')",Unlimited,Altergeist Malwisp,https://yugipedia.com/wiki/Altergeist_Malwisp,,2023-07-28 05:52:37,,Effect Monster,New
Altergeist Peritrator,54126514,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Altergeist Peritrator,https://yugipedia.com/wiki/Altergeist_Peritrator,,2023-07-20 01:19:40,,Effect Monster,Old
Altergeist Peritrator,54126514,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Altergeist Peritrator,https://yugipedia.com/wiki/Altergeist_Peritrator,,2023-07-28 05:52:39,,Effect Monster,New
Altergeist Revitalization,22024279,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Altergeist Revitalization,https://yugipedia.com/wiki/Altergeist_Revitalization,,2023-07-20 00:23:25,,,Old
Altergeist Revitalization,22024279,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Altergeist Revitalization,https://yugipedia.com/wiki/Altergeist_Revitalization,,2023-07-28 05:55:22,,,New
Aluber the Dogmatic,,,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-03-23 09:40:16,,,Old
Aluber the Dogmatic,,,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-03-23 09:40:16,,Monster Token,Old
Aluber the Dogmatic,,,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-07-27 06:15:01,,,New
Aluber the Dogmatic,,,Legal,Aluber the Dogmatic,https://yugipedia.com/wiki/Aluber_the_Dogmatic,,2023-07-27 06:15:01,,Monster Token,New
Ancient Elf,93221206,,Unlimited,Ancient Elf,https://yugipedia.com/wiki/Ancient_Elf,,2023-05-14 21:04:34,,Normal Monster,Old
Ancient Elf,93221206,,Unlimited,Ancient Elf,https://yugipedia.com/wiki/Ancient_Elf,,2023-07-27 07:16:58,"('Type',)",Normal Monster,New
Ancient Lizard Warrior,43230671,,Unlimited,Ancient Lizard Warrior,https://yugipedia.com/wiki/Ancient_Lizard_Warrior,,2023-05-14 21:01:47,,Normal Monster,Old
