Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Monster type,DEF,ATK,Version
1st Movement Solo,44256816,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,1st Movement Solo,https://yugipedia.com/wiki/1st_Movement_Solo,,2023-03-17 23:22:28,,,,,Old
1st Movement Solo,44256816,,"('Condition', 'Effect')",Unlimited,Unlimited,1st Movement Solo,https://yugipedia.com/wiki/1st_Movement_Solo,,2023-07-31 13:17:08,,,,,New
"Angelic-Demonic Selector - ""Valmonica""",,"('Valmonica',)","('Condition', 'Effect', 'Trigger Effect')",,Not yet released,"Angelic-Demonic Selector - ""Valmonica""",https://yugipedia.com/wiki/Angelic-Demonic_Selector_-_%22Valmonica%22,,2023-08-04 12:27:25,,,,,New
Angelo Valmonica,,"('Valmonica',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",,Not yet released,Angelo Valmonica,https://yugipedia.com/wiki/Angelo_Valmonica,,2023-08-04 12:20:06,,Fairy,2100,1200,New
Battlin' Boxer Big Bandage,86325573,"(""Battlin' Boxer"",)","('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Battlin' Boxer Big Bandage,https://yugipedia.com/wiki/Battlin%27_Boxer_Big_Bandage,,2023-03-18 04:14:39,,Warrior,1400,1100,Old
Battlin' Boxer Big Bandage,86325573,"(""Battlin' Boxer"",)","('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Battlin' Boxer Big Bandage,https://yugipedia.com/wiki/Battlin%27_Boxer_Big_Bandage,,2023-08-01 02:30:50,"('Any',)",Warrior,1400,1100,New
Battlin' Boxer Cheat Commissioner,76589815,"(""Battlin' Boxer"",)","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Battlin' Boxer Cheat Commissioner,https://yugipedia.com/wiki/Battlin%27_Boxer_Cheat_Commissioner,,2023-03-18 04:15:07,,Warrior,1300,0,Old
Battlin' Boxer Cheat Commissioner,76589815,"(""Battlin' Boxer"",)","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Battlin' Boxer Cheat Commissioner,https://yugipedia.com/wiki/Battlin%27_Boxer_Cheat_Commissioner,,2023-08-01 02:34:17,"('Any',)",Warrior,1300,0,New
Battlin' Boxer Chief Second,47921178,"(""Battlin' Boxer"",)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,Battlin' Boxer Chief Second,https://yugipedia.com/wiki/Battlin%27_Boxer_Chief_Second,,2023-05-27 11:09:13,,Warrior,2000,500,Old
Battlin' Boxer Chief Second,47921178,"(""Battlin' Boxer"",)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,Battlin' Boxer Chief Second,https://yugipedia.com/wiki/Battlin%27_Boxer_Chief_Second,,2023-07-31 15:48:17,,Warrior,2000,500,New
