Name,Effect type,TCG status,OCG status,Artwork,Modification date,Errata,Version
A-to-Z-Dragon Buster Cannon,"('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,"('Edited',)",2023-07-21 03:40:55,,Old
Abyss Script - Fire Dragon's Lair,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-07-24 19:28:35,,Old
Abyss Script - Rise of the Abyss King,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-17 23:42:20,"('Any',)",Old
Amazing Pendulum,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,,2023-03-18 00:46:59,,Old
Ancient Gear Reactor Dragon,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,,2023-03-18 01:20:22,,Old
Ancient Gear Token,,Legal,Legal,,2023-03-23 09:40:39,,Old
Banishment of the Darklords,"('Condition', 'Effect')",Unlimited,Unlimited,,2019-11-27 00:52:27,,Old
Battle Steer,,Unlimited,Unlimited,,2023-05-14 20:57:36,,Old
Battle Steer,,Unlimited,Unlimited,,2023-05-14 20:57:36,"('Type',)",New
Battlin' Boxer Chief Second,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:48:17,,Old
Battlin' Boxer Chief Second,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:33:44,,New
Battlin' Boxer King Dempsey,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 16:24:43,,Old
Battlin' Boxer King Dempsey,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:33:40,,New
Battlin' Boxer Promoter,"('Condition', 'Ignition Effect')",Not yet released,Unlimited,,2023-07-31 16:18:17,,Old
Battlin' Boxer Promoter,"('Condition', 'Ignition Effect')",Unlimited,Unlimited,,2023-08-13 22:33:41,,New
Battlin' Boxer Uppercutter,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:46:07,,Old
Battlin' Boxer Uppercutter,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:33:44,,New
Battlin' Boxing Cross Counter,"('Condition', 'Effect')",Not yet released,Unlimited,,2023-07-31 15:51:55,,Old
Battlin' Boxing Cross Counter,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 22:33:38,,New
Blackland Fire Dragon,,Unlimited,Unlimited,,2023-05-14 20:57:50,,Old
Blackland Fire Dragon,,Unlimited,Unlimited,,2023-05-14 20:57:50,"('Type',)",New
Castle of Dark Illusions,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-07-27 08:29:33,"('Any',)",Old
Castle of Dark Illusions,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-07-27 08:29:33,"('Type',)",New
Centurion Emet VI,"('Condition', 'Quick Effect', 'Quick-like Effect')",,Not yet released,,2023-08-11 12:18:39,,New
Centurion Legatia,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 12:26:10,,New
Centurion Phalanx,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,,2023-08-11 12:48:11,,New
Centurion Primera,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 12:03:44,,New
Centurion Trudea,"('Condition', 'Ignition Effect', 'Quick-like Effect')",,Not yet released,,2023-08-11 12:12:12,,New
Cipher Mirror Knight,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-07-24 19:28:48,"('Any',)",Old
Dark Magic Inheritance,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,,2023-06-25 20:51:20,"('Any',)",Old
Dark Requiem Xyz Dragon,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,,2023-06-28 14:45:13,"('Any',)",Old
Dark Sanctuary,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-06-19 21:45:13,"('Any',)",Old
Darklord Contact,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-03-18 12:13:20,"('Any',)",Old
Darklord Nasten,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,,2023-03-18 12:14:52,"('Any',)",Old
