Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Version
A-to-Z-Dragon Buster Cannon,65172015,"('A-to-Z',)","('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,A-to-Z-Dragon Buster Cannon,https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,"('Edited',)",2023-07-21 03:40:55,,Fusion Monster,4000,4000,New
Abyss Script - Fire Dragon's Lair,50179591,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Fire Dragon's Lair,https://yugipedia.com/wiki/Abyss_Script_-_Fire_Dragon%27s_Lair,,2023-07-24 19:28:35,,,,,New
Abyss Script - Rise of the Abyss King,13662809,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Rise of the Abyss King,https://yugipedia.com/wiki/Abyss_Script_-_Rise_of_the_Abyss_King,,2023-03-17 23:42:20,"('Any',)",,,,New
Alchemist of Black Spells,78121572,,"('Ignition Effect',)",Unlimited,Unlimited,Alchemist of Black Spells,https://yugipedia.com/wiki/Alchemist_of_Black_Spells,,2023-03-18 00:07:10,,Effect Monster,1800,1200,Old
Alchemist of Black Spells,78121572,,"('Ignition Effect',)",Unlimited,Unlimited,Alchemist of Black Spells,https://yugipedia.com/wiki/Alchemist_of_Black_Spells,,2023-08-14 20:41:41,"('Any',)",Effect Monster,1800,1200,New
Amaterasu,20073910,,"('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Amaterasu,https://yugipedia.com/wiki/Amaterasu,,2023-03-18 00:43:14,,Effect Monster,3000,3000,Old
Amazing Pendulum,37803970,"('Pendulum (archetype)',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Amazing Pendulum,https://yugipedia.com/wiki/Amazing_Pendulum,,2023-03-18 00:46:59,,,,,New
Ancient Gear Reactor Dragon,44874522,"('Ancient Gear', 'Reactor')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Ancient Gear Reactor Dragon,https://yugipedia.com/wiki/Ancient_Gear_Reactor_Dragon,,2023-03-18 01:20:22,,Effect Monster,3000,3000,New
Ancient Gear Token,,"('Ancient Gear',)",,Legal,Legal,Ancient Gear Token,https://yugipedia.com/wiki/Ancient_Gear_Token,,2023-03-23 09:40:39,,Monster Token,0,0,New
Armored Xyz,73046708,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Trigger Effect')",,Not yet released,Armored Xyz,https://yugipedia.com/wiki/Armored_Xyz,,2023-07-13 12:14:40,,,,,Old
Armored Xyz,73046708,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Trigger Effect')",,Unlimited,Armored Xyz,https://yugipedia.com/wiki/Armored_Xyz,,2023-08-20 16:15:53,,,,,New
Assault Blackwing - Onimaru the Divine Thunder,80773359,"('Assault Blackwing', 'Blackwing')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,Assault Blackwing - Onimaru the Divine Thunder,https://yugipedia.com/wiki/Assault_Blackwing_-_Onimaru_the_Divine_Thunder,,2023-07-24 19:26:51,,Synchro Monster,2000,3000,Old
Banishment of the Darklords,87112784,"('Darklord',)","('Condition', 'Effect')",Unlimited,Unlimited,Banishment of the Darklords,https://yugipedia.com/wiki/Banishment_of_the_Darklords,,2019-11-27 00:52:27,,,,,New
