Name,Effect type,TCG status,Modification date,Version
A World Shrouded in Darkness,"('Condition', 'Trigger Effect')",,2023-01-11 16:46:44,Old
Abyss Actors' Dress Rehearsal,"('Effect',)",,2023-01-11 16:46:48,Old
Abyss Actors' Dress Rehearsal,"('Effect',)",Not yet released,2023-01-29 12:49:33,New
Aquamirror Focalization,"('Condition', 'Effect', 'Trigger Effect')",,2023-01-11 16:46:41,Old
Focused Aquamirror,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,2023-01-29 13:12:36,New
Jio the Stacked Ninja,"('Condition', 'Lingering effect', 'Trigger Effect')",,2023-01-11 17:51:29,Old
Jioh the Gravity Ninja,"('Condition', 'Trigger Effect')",Not yet released,2023-01-29 14:18:37,New
Mental Tuner,"('Condition', 'Ignition Effect')",Not yet released,2023-01-29 14:29:27,New
Minairuka,,Not yet released,2023-01-27 14:31:53,Old
Minairuka,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-01-29 14:47:58,New
Mind Tuner,"('Condition', 'Ignition Effect')",,2023-01-11 17:51:37,Old
Tenchi Kaimei,"('Condition', 'Trigger Effect')",Not yet released,2023-01-29 13:35:16,New
The Abyss Dragon Swordsoul,"('Condition', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-01-29 15:36:18,New
Triple Tactic Tasking,"('Condition', 'Effect')",,2023-01-11 16:46:34,Old
Triple Tactics Thrust,"('Condition', 'Effect')",Not yet released,2023-01-29 17:18:13,New
Yaguramaru the Armor Ninja,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-01-29 14:21:54,New
Yaguramaru the Armored Ninja,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,2023-01-11 17:13:54,Old
