Name,Card type,Property,Effect type,Legend,Maximum mode,Page name,Page URL,Modification date,Version
1-Up,Trap Card,Normal Trap Card,"('Effect',)",True,True,1-Up,https://yugipedia.com/wiki/1-Up,2022-09-18 19:47:54,Old
1-Up,Trap Card,Normal Trap Card,"('Effect',)",False,False,1-Up,https://yugipedia.com/wiki/1-Up,2022-09-18 19:47:54,New
1/Infinity,Spell Card,Normal Spell Card,,True,True,1/Infinity,https://yugipedia.com/wiki/1/Infinity,2021-12-19 01:15:37,Old
1/Infinity,Spell Card,Normal Spell Card,,False,False,1/Infinity,https://yugipedia.com/wiki/1/Infinity,2021-12-19 01:15:37,New
1seg Wurm,Monster Card,,,True,True,1seg Wurm,https://yugipedia.com/wiki/1seg_Wurm,2023-01-22 00:40:17,Old
1seg Wurm,Monster Card,,,False,False,1seg Wurm,https://yugipedia.com/wiki/1seg_Wurm,2023-01-22 00:40:17,New
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Effect',)",True,True,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,2022-11-17 12:07:53,Old
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Effect',)",False,False,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,2022-11-17 12:07:53,New
7 Chance,Trap Card,Normal Trap Card,"('Effect',)",True,True,7 Chance,https://yugipedia.com/wiki/7_Chance,2022-12-10 20:50:09,Old
7 Chance,Trap Card,Normal Trap Card,"('Effect',)",False,False,7 Chance,https://yugipedia.com/wiki/7_Chance,2022-12-10 20:50:09,New
7 Shift,Spell Card,Normal Spell Card,,True,True,7 Shift,https://yugipedia.com/wiki/7_Shift,2022-08-14 05:50:38,Old
7 Shift,Spell Card,Normal Spell Card,,False,False,7 Shift,https://yugipedia.com/wiki/7_Shift,2022-08-14 05:50:38,New
Abare Ushioni,Monster Card,,"('Effect',)",True,True,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),2022-11-17 12:09:14,Old
Abare Ushioni,Monster Card,,"('Effect',)",False,False,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),2022-11-17 12:09:14,New
Absurd Burst,Trap Card,Normal Trap Card,,True,True,Absurd Burst,https://yugipedia.com/wiki/Absurd_Burst,2023-02-14 17:15:50,Old
Absurd Burst,Trap Card,Normal Trap Card,,False,False,Absurd Burst,https://yugipedia.com/wiki/Absurd_Burst,2023-02-14 17:15:50,New
Absurd Void Hole,Trap Card,Normal Trap Card,,True,True,Absurd Void Hole,https://yugipedia.com/wiki/Absurd_Void_Hole,2023-02-14 18:23:31,Old
Absurd Void Hole,Trap Card,Normal Trap Card,,False,False,Absurd Void Hole,https://yugipedia.com/wiki/Absurd_Void_Hole,2023-02-14 18:23:31,New
Abyss Soldier,Monster Card,,"('Effect',)",True,True,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),2022-11-17 12:14:35,Old
Abyss Soldier,Monster Card,,"('Effect',)",True,False,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),2022-11-17 12:14:35,New
Acacia the Shadow Flower Priestess,Monster Card,,"('Effect',)",True,True,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,2022-09-21 05:28:13,Old
Acacia the Shadow Flower Priestess,Monster Card,,"('Effect',)",False,False,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,2022-09-21 05:28:13,New
Accel Wonder Flare,Monster Card,,"('Effect',)",True,True,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,2022-08-11 22:59:06,Old
Accel Wonder Flare,Monster Card,,"('Effect',)",False,False,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,2022-08-11 22:59:06,New
Accel Wonder Pebble,Monster Card,,"('Effect',)",True,True,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,2023-01-03 23:07:41,Old
Accel Wonder Pebble,Monster Card,,"('Effect',)",False,False,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,2023-01-03 23:07:41,New
Accel Wonder Supra,Monster Card,,"('Effect',)",True,True,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,2022-04-19 20:53:19,Old
Accel Wonder Supra,Monster Card,,"('Effect',)",False,False,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,2022-04-19 20:53:19,New
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Effect',)",True,True,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,2022-10-13 15:49:19,Old
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Effect',)",False,False,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,2022-10-13 15:49:19,New
Achacha Catcher,Monster Card,,,True,True,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,2022-12-10 20:56:47,Old
Achacha Catcher,Monster Card,,,False,False,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,2022-12-10 20:56:47,New
Adorable Newbie Swirls,Monster Card,,,True,True,Adorable Newbie Swirls,https://yugipedia.com/wiki/Adorable_Newbie_Swirls,2023-01-20 20:52:30,Old
Adorable Newbie Swirls,Monster Card,,,False,False,Adorable Newbie Swirls,https://yugipedia.com/wiki/Adorable_Newbie_Swirls,2023-01-20 20:52:30,New
Aero Sorcerer,Monster Card,,,True,True,Aero Sorcerer,https://yugipedia.com/wiki/Aero_Sorcerer,2022-08-14 18:31:59,Old
Aero Sorcerer,Monster Card,,,False,False,Aero Sorcerer,https://yugipedia.com/wiki/Aero_Sorcerer,2022-08-14 18:31:59,New
Against Buster,Spell Card,Normal Spell Card,"('Effect',)",True,True,Against Buster,https://yugipedia.com/wiki/Against_Buster,2022-12-10 20:47:36,Old
Against Buster,Spell Card,Normal Spell Card,"('Effect',)",False,False,Against Buster,https://yugipedia.com/wiki/Against_Buster,2022-12-10 20:47:36,New
"Agaribel, the Finest Sushi Fairy",Monster Card,,"('Effect',)",True,True,"Agaribel, the Finest Sushi Fairy","https://yugipedia.com/wiki/Agaribel,_the_Finest_Sushi_Fairy",2022-10-30 07:47:10,Old
"Agaribel, the Finest Sushi Fairy",Monster Card,,"('Effect',)",False,False,"Agaribel, the Finest Sushi Fairy","https://yugipedia.com/wiki/Agaribel,_the_Finest_Sushi_Fairy",2022-10-30 07:47:10,New
Air Formula Eagle,Monster Card,,"('Effect',)",True,True,Air Formula Eagle,https://yugipedia.com/wiki/Air_Formula_Eagle,2022-12-10 20:44:58,Old
Air Formula Eagle,Monster Card,,"('Effect',)",False,False,Air Formula Eagle,https://yugipedia.com/wiki/Air_Formula_Eagle,2022-12-10 20:44:58,New
Aitsu,Monster Card,,,True,True,Aitsu (Rush Duel),https://yugipedia.com/wiki/Aitsu_(Rush_Duel),2023-01-29 19:42:51,Old
Aitsu,Monster Card,,,False,False,Aitsu (Rush Duel),https://yugipedia.com/wiki/Aitsu_(Rush_Duel),2023-01-29 19:42:51,New
Alchemicalize Salamandra,Monster Card,,"('Effect',)",True,True,Alchemicalize Salamandra,https://yugipedia.com/wiki/Alchemicalize_Salamandra,2023-01-21 14:20:40,Old
Alchemicalize Salamandra,Monster Card,,"('Effect',)",False,False,Alchemicalize Salamandra,https://yugipedia.com/wiki/Alchemicalize_Salamandra,2023-01-21 14:20:40,New
Alco the Flame Emperor of the Lamp,Monster Card,,"('Effect',)",True,True,Alco the Flame Emperor of the Lamp,https://yugipedia.com/wiki/Alco_the_Flame_Emperor_of_the_Lamp,2023-02-04 14:25:55,Old
Alco the Flame Emperor of the Lamp,Monster Card,,"('Effect',)",False,False,Alco the Flame Emperor of the Lamp,https://yugipedia.com/wiki/Alco_the_Flame_Emperor_of_the_Lamp,2023-02-04 14:25:55,New
Alien 33,Monster Card,,,True,True,Alien 33,https://yugipedia.com/wiki/Alien_33,2022-12-10 16:05:39,Old
Alien 33,Monster Card,,,False,False,Alien 33,https://yugipedia.com/wiki/Alien_33,2022-12-10 16:05:39,New
"Alien Count of the White Dwarf, St. Germain",Monster Card,,,True,True,"Alien Count of the White Dwarf, St. Germain","https://yugipedia.com/wiki/Alien_Count_of_the_White_Dwarf,_St._Germain",2022-11-17 12:13:02,Old
"Alien Count of the White Dwarf, St. Germain",Monster Card,,,False,False,"Alien Count of the White Dwarf, St. Germain","https://yugipedia.com/wiki/Alien_Count_of_the_White_Dwarf,_St._Germain",2022-11-17 12:13:02,New
Alien Shocktrooper,Monster Card,,,True,True,Alien Shocktrooper (Rush Duel),https://yugipedia.com/wiki/Alien_Shocktrooper_(Rush_Duel),2022-10-10 09:06:48,Old
Alien Shocktrooper,Monster Card,,,True,False,Alien Shocktrooper (Rush Duel),https://yugipedia.com/wiki/Alien_Shocktrooper_(Rush_Duel),2022-10-10 09:06:48,New
All For Naught - Bubble Burst,Trap Card,Normal Trap Card,"('Effect',)",True,True,All For Naught - Bubble Burst,https://yugipedia.com/wiki/All_For_Naught_-_Bubble_Burst,2022-09-21 05:40:19,Old
All For Naught - Bubble Burst,Trap Card,Normal Trap Card,"('Effect',)",False,False,All For Naught - Bubble Burst,https://yugipedia.com/wiki/All_For_Naught_-_Bubble_Burst,2022-09-21 05:40:19,New
Alligator's Sword,Monster Card,,,True,True,Alligator's Sword (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_(Rush_Duel),2023-02-15 13:28:42,Old
Alligator's Sword,Monster Card,,,False,False,Alligator's Sword (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_(Rush_Duel),2023-02-15 13:28:42,New
Alligator's Sword Dragon,Monster Card,,"('Effect',)",True,True,Alligator's Sword Dragon (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon_(Rush_Duel),2023-02-04 17:37:39,Old
Alligator's Sword Dragon,Monster Card,,"('Effect',)",False,False,Alligator's Sword Dragon (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon_(Rush_Duel),2023-02-04 17:37:39,New
Almastra XI - Aquarius,Monster Card,,"('Effect',)",True,True,Almastra XI - Aquarius,https://yugipedia.com/wiki/Almastra_XI_-_Aquarius,2022-11-28 18:16:57,Old
Almastra XI - Aquarius,Monster Card,,"('Effect',)",False,False,Almastra XI - Aquarius,https://yugipedia.com/wiki/Almastra_XI_-_Aquarius,2022-11-28 18:16:57,New
Alpha Burn Drake,Monster Card,,,True,True,Alpha Burn Drake,https://yugipedia.com/wiki/Alpha_Burn_Drake,2022-12-21 09:39:42,Old
Alpha Burn Drake,Monster Card,,,False,False,Alpha Burn Drake,https://yugipedia.com/wiki/Alpha_Burn_Drake,2022-12-21 09:39:42,New
