Name,Legend,Maximum mode,Version
1-Up,True,True,Old
1-Up,False,False,New
300 Light-Year Red Cloak,True,True,Old
300 Light-Year Red Cloak,False,False,New
7 Chance,False,False,New
7 Chance,True,True,Old
Abare Ushioni,False,False,New
Abare Ushioni,True,True,Old
Abyss Soldier,True,False,New
Abyss Soldier,True,True,Old
Acacia the Shadow Flower Priestess,True,True,Old
Acacia the Shadow Flower Priestess,False,False,New
Accel Wonder Flare,True,True,Old
Accel Wonder Flare,False,False,New
Accel Wonder Pebble,True,True,Old
Accel Wonder Pebble,False,False,New
Accel Wonder Supra,True,True,Old
Accel Wonder Supra,False,False,New
Acetic Acid Trap Hole,True,True,Old
Acetic Acid Trap Hole,False,False,New
Achacha Catcher,False,False,New
Achacha Catcher,True,True,Old
Against Buster,True,True,Old
Against Buster,False,False,New
"Agaribel, the Finest Sushi Fairy",False,False,New
"Agaribel, the Finest Sushi Fairy",True,True,Old
Air Formula Eagle,False,False,New
Air Formula Eagle,True,True,Old
Aitsu,False,False,New
Aitsu,True,True,Old
Alchemicalize Salamandra,True,True,Old
Alchemicalize Salamandra,False,False,New
Alco the Flame Emperor of the Lamp,False,False,New
Alco the Flame Emperor of the Lamp,True,True,Old
Alien 33,True,True,Old
Alien 33,False,False,New
"Alien Count of the White Dwarf, St. Germain",False,False,New
"Alien Count of the White Dwarf, St. Germain",True,True,Old
Alien Shocktrooper,True,False,New
Alien Shocktrooper,True,True,Old
All For Naught - Bubble Burst,False,False,New
All For Naught - Bubble Burst,True,True,Old
Alligator's Sword,False,False,New
Alligator's Sword,True,True,Old
Alligator's Sword Dragon,True,True,Old
Alligator's Sword Dragon,False,False,New
Almastra XI - Aquarius,False,False,New
Almastra XI - Aquarius,True,True,Old
Alpha Burn Drake,True,True,Old
Alpha Burn Drake,False,False,New
Alpiris the Sower,False,False,New
Alpiris the Sower,True,True,Old
Altierra the Skysavior Transience,False,False,New
Altierra the Skysavior Transience,True,True,Old
Ama Lilith,True,True,Old
Ama Lilith,False,False,New
Amabie,False,False,New
Amabie,True,True,Old
Amazing Dealer,True,True,Old
Amazing Dealer,False,False,New
Ampler Glee,False,False,New
Ampler Glee,True,True,Old
Amusi Howling Performer,False,False,New
Amusi Howling Performer,True,True,Old
Amusi Performer,False,False,New
Amusi Performer,True,True,Old
Analyze Phlogiston,False,False,New
Analyze Phlogiston,True,True,Old
Anchor Moray,False,False,New
Anchor Moray,True,True,Old
Anciant Barrier,True,True,Old
Anciant Barrier,False,False,New
Ancient Arise Dragon,True,True,Old
Ancient Arise Dragon,False,False,New
Ancient Arrive Dragon,True,True,Old
Ancient Arrive Dragon,False,False,New
Ancient Barrier,False,False,New
Ancient Barrier,True,True,Old
Ancient Lizard Warrior,False,False,New
Ancient Lizard Warrior,True,True,Old
Ancient Rules,True,True,Old
Ancient Rules,False,False,New
Ancient Telescope,True,True,Old
Ancient Telescope,False,False,New
Ancient Turtle Protector,False,False,New
Ancient Turtle Protector,True,True,Old
Angel Judge,False,False,New
Angel Judge,True,True,Old
Anglered Digra,False,False,New
Anglered Digra,True,True,Old
Anmagmabear,False,False,New
Anmagmabear,True,True,Old
Ansler the Magical Swordsman,False,False,New
Ansler the Magical Swordsman,True,True,Old
Antiberty Flag,False,False,New
Antiberty Flag,True,True,Old
Antrebellion of the Rebellion,False,False,New
Antrebellion of the Rebellion,True,True,Old
Ants Running About,True,True,Old
Ants Running About,False,False,New
Apocalypse - Beast Gear World,True,True,Old
Apocalypse - Beast Gear World,False,False,New
Apocalypse - Legend of the Warrior,False,False,New
Apocalypse - Legend of the Warrior,True,True,Old
Apocalypse - The Unstoppable Beast-Warrior,True,True,Old
Apocalypse - The Unstoppable Beast-Warrior,False,False,New
Applizard,True,True,Old
Applizard,False,False,New
Aqua Boost,False,False,New
Aqua Boost,True,True,Old
Aqua Sorcerer,False,False,New
Aqua Sorcerer,True,True,Old
Archfiend Marmot of Deliciousness,False,False,New
Archfiend Marmot of Deliciousness,True,True,Old
Archfiend Marmot of Nefaribousness,False,False,New
Archfiend Marmot of Nefaribousness,True,True,Old
Archfiend Marmot of Nefariousness,False,False,New
Archfiend Marmot of Nefariousness,True,True,Old
Archfiend Soldier,True,False,New
Archfiend Soldier,True,True,Old
Archfiend Warrior,False,False,New
Archfiend Warrior,True,True,Old
Archfiend's Revival,True,True,Old
Archfiend's Revival,False,False,New
Archfiend's Summoning Flute,True,True,Old
Archfiend's Summoning Flute,False,False,New
Area 33,False,False,New
Area 33,True,True,Old
Arma Knight,True,True,Old
Arma Knight,False,False,New
Armaments of Ascension,False,False,New
Armaments of Ascension,True,True,Old
Armored Lizard,False,False,New
Armored Lizard,True,True,Old
Aromagmabear,False,False,New
Aromagmabear,True,True,Old
Arts Angel CD Fender,True,True,Old
Arts Angel CD Fender,False,False,New
Arts Angel Dia Needle,True,True,Old
Arts Angel Dia Needle,False,False,New
Arts Angel Glyco Razer,True,True,Old
Arts Angel Glyco Razer,False,False,New
Arts Angel Guard Dolby,True,True,Old
Arts Angel Guard Dolby,False,False,New
Arts Angel Metal Position,False,False,New
