Name,Legend,Maximum mode,Modification date,Version
1-Up,True,True,2022-09-18 19:47:54,Old
1-Up,False,False,2022-09-18 19:47:54,New
300 Light-Year Red Cloak,True,True,2022-11-17 12:07:53,Old
300 Light-Year Red Cloak,False,False,2022-11-17 12:07:53,New
7 Chance,True,True,2022-12-10 20:50:09,Old
7 Chance,False,False,2022-12-10 20:50:09,New
Abare Ushioni,True,True,2022-11-17 12:09:14,Old
Abare Ushioni,False,False,2022-11-17 12:09:14,New
Abyss Soldier,True,True,2022-11-17 12:14:35,Old
Abyss Soldier,True,False,2022-11-17 12:14:35,New
Acacia the Shadow Flower Priestess,True,True,2022-09-21 05:28:13,Old
Acacia the Shadow Flower Priestess,False,False,2022-09-21 05:28:13,New
Accel Wonder Flare,True,True,2022-08-11 22:59:06,Old
Accel Wonder Flare,False,False,2022-08-11 22:59:06,New
Accel Wonder Pebble,True,True,2023-01-03 23:07:41,Old
Accel Wonder Pebble,False,False,2023-01-03 23:07:41,New
Accel Wonder Supra,True,True,2022-04-19 20:53:19,Old
Accel Wonder Supra,False,False,2022-04-19 20:53:19,New
Acetic Acid Trap Hole,True,True,2022-10-13 15:49:19,Old
Acetic Acid Trap Hole,False,False,2022-10-13 15:49:19,New
Achacha Catcher,True,True,2022-12-10 20:56:47,Old
Achacha Catcher,False,False,2022-12-10 20:56:47,New
Against Buster,True,True,2022-12-10 20:47:36,Old
Against Buster,False,False,2022-12-10 20:47:36,New
"Agaribel, the Finest Sushi Fairy",True,True,2022-10-30 07:47:10,Old
"Agaribel, the Finest Sushi Fairy",False,False,2022-10-30 07:47:10,New
Air Formula Eagle,True,True,2022-12-10 20:44:58,Old
Air Formula Eagle,False,False,2022-12-10 20:44:58,New
Aitsu,True,True,2023-01-29 19:42:51,Old
Aitsu,False,False,2023-01-29 19:42:51,New
Alchemicalize Salamandra,True,True,2023-01-21 14:20:40,Old
Alchemicalize Salamandra,False,False,2023-01-21 14:20:40,New
Alco the Flame Emperor of the Lamp,True,True,2023-02-04 14:25:55,Old
Alco the Flame Emperor of the Lamp,False,False,2023-02-04 14:25:55,New
Alien 33,True,True,2022-12-10 16:05:39,Old
Alien 33,False,False,2022-12-10 16:05:39,New
"Alien Count of the White Dwarf, St. Germain",True,True,2022-11-17 12:13:02,Old
"Alien Count of the White Dwarf, St. Germain",False,False,2022-11-17 12:13:02,New
Alien Shocktrooper,True,True,2022-10-10 09:06:48,Old
Alien Shocktrooper,True,False,2022-10-10 09:06:48,New
All For Naught - Bubble Burst,True,True,2022-09-21 05:40:19,Old
All For Naught - Bubble Burst,False,False,2022-09-21 05:40:19,New
Alligator's Sword,True,True,2023-02-15 13:28:42,Old
Alligator's Sword,False,False,2023-02-15 13:28:42,New
Alligator's Sword Dragon,True,True,2023-02-04 17:37:39,Old
Alligator's Sword Dragon,False,False,2023-02-04 17:37:39,New
Almastra XI - Aquarius,True,True,2022-11-28 18:16:57,Old
Almastra XI - Aquarius,False,False,2022-11-28 18:16:57,New
Alpha Burn Drake,True,True,2022-12-21 09:39:42,Old
Alpha Burn Drake,False,False,2022-12-21 09:39:42,New
Alpiris the Sower,True,True,2023-02-04 14:24:59,Old
Alpiris the Sower,False,False,2023-02-04 14:24:59,New
Altierra the Skysavior Transience,True,True,2023-01-21 14:29:44,Old
Altierra the Skysavior Transience,False,False,2023-01-21 14:29:44,New
Ama Lilith,True,True,2023-01-20 21:02:24,Old
Ama Lilith,False,False,2023-01-20 21:02:24,New
