Name,Maximum mode,Modification date,Version
Abyssal Dragon Lord Abyss Poseidra,False,2023-02-28 15:31:54,Old
Abyssal Dragon Lord Abyss Poseidra,True,2023-03-01 13:21:39,New
Abyssal Dragon Lord Abyss Poseidra [L],False,2023-02-28 15:31:40,Old
Abyssal Dragon Lord Abyss Poseidra [L],True,2023-03-01 13:23:22,New
Abyssal Dragon Lord Abyss Poseidra [R],False,2023-02-28 15:31:22,Old
Abyssal Dragon Lord Abyss Poseidra [R],True,2023-03-01 13:25:12,New
Abyssal Sea Dragon Abyss Kraken,False,2023-02-28 15:32:17,Old
Abyssal Sea Dragon Abyss Kraken,True,2023-03-01 13:27:55,New
Abyssal Sea Dragon Abyss Kraken [L],False,2023-02-28 15:31:31,Old
Abyssal Sea Dragon Abyss Kraken [L],True,2023-03-01 13:28:55,New
Abyssal Sea Dragon Abyss Kraken [R],False,2023-02-28 15:31:42,Old
Abyssal Sea Dragon Abyss Kraken [R],True,2023-03-01 13:29:40,New
