Name,Archseries,Effect type,Artwork,Modification date,Errata,Version
Abyss Gash,,"('Effect',)",,2023-04-12 14:25:43,,New
Abysskite Prevent Wall,,"('Effect',)",,2023-04-12 15:22:13,,New
Abysskite Protection,,"('Effect',)",,2023-04-12 15:23:06,,New
Abysskite Ultimail,,"('Effect',)",,2023-04-12 15:21:25,,New
Abysslayer Apsaras,,"('Effect',)",,2023-04-12 15:55:30,,New
Abysslayer Cetus,,"('Effect',)",,2023-04-12 15:59:53,,New
Abysslayer Makara,,"('Effect',)",,2023-04-12 14:27:20,,New
Abysslayer Vodyanoy,,"('Effect',)",,2023-04-11 23:28:21,,New
Aero Sorcerer,,,,2023-04-04 10:42:08,,New
Archfiend Marmot of Nefariousness,,,,2022-04-10 15:58:12,"('Any',)",Old
Archfiend Marmot of Nefariousness,,,,2023-03-18 02:13:46,,New
B.B.B. - Beast Brave Brandish,,"('Effect',)",,2023-04-12 14:13:27,,New
Blue Tooth Enhanced Burst Dragon,"('High Tech Dragon',)","('Effect',)",,2023-04-27 16:10:06,,New
Booster Wyvern,"('High Tech Dragon',)","('Effect',)",,2023-04-27 16:19:26,,New
Braid Blade Reader,,"('Effect',)",,2023-04-29 17:03:43,,New
Buster Blader,,"('Continuous Effect',)",,2023-02-17 12:05:34,"('Type',)",Old
Buster Blader,,"('Continuous Effect',)","('Edited',)",2023-04-01 13:06:09,"('Type',)",New
Celeb Rose Fabulous Magician,"('Celeb Rose',)","('Effect',)",,2023-04-19 02:19:31,,New
Celeb Rose Luxury Magicians,"('Celeb Rose',)","('Effect',)",,2023-04-19 03:00:21,,New
Celeb Rose Mage,"('Celeb Rose',)","('Effect',)",,2023-04-27 21:34:47,,New
Celeb Rose Magician,"('Celeb Rose',)","('Effect',)",,2023-04-19 02:17:54,,New
Celeb Rose Sorcerer,"('Celeb Rose',)","('Effect',)",,2023-04-27 21:35:55,,New
Celeb Rose Witch,"('Celeb Rose',)","('Effect',)",,2023-04-19 02:16:54,,New
Charis Magic - Elegant Change,,"('Effect',)",,2023-04-27 21:37:24,,New
Charis Magic Scepter - Death Wand,,"('Effect',)",,2023-04-26 07:26:30,,New
Chemical Cure Blue,,"('Effect',)",,2022-10-20 07:04:54,"('Any',)",Old
Chemical Cure Blue,,"('Effect',)",,2023-03-18 07:59:13,,New
Crack Neutron,,,,2023-04-12 15:09:07,,New
Curse of Dragon,,,,2022-09-26 12:56:03,"('Name', 'Type')",Old
Curse of Dragon,,,,2023-03-18 09:53:13,"('Name',)",New
Cyber Processor,,"('Effect',)",,2023-04-28 22:22:03,,New
Cyber Tactical Dragon,"('Cyber Dragon (Rush Duel series)',)","('Effect',)",,2023-04-28 22:20:26,,New
Cyber-Tech Alligator,,,,2022-09-21 05:31:31,"('Name',)",Old
Cyber-Tech Alligator,,,,2023-03-18 10:19:34,,New
DBF Rebuildra,"('High Tech Dragon',)","('Effect',)",,2023-04-27 16:22:00,,New
Darkglow Angler,,"('Effect',)",,2023-04-12 16:01:12,,New
Deepsea Hunter,,,,2023-03-02 13:31:26,,Old
Deepsea Hunter,,"('Effect',)",,2023-04-12 14:23:21,,New
Devil Foolish,,"('Effect',)",,2023-04-20 16:32:31,,New
Dragon Bird,,,,2023-04-12 15:09:40,,New
Dragon's Boost Fusion,"('Fusion (archetype)', 'High Tech Dragon')","('Effect',)",,2023-04-27 16:21:13,,New
Dragon's Burst Fusion,"('Fusion (archetype)', 'High Tech Dragon')","('Effect',)",,2023-04-27 16:06:33,,New
Earth Sorcerer,,,,2023-04-04 10:36:06,,New
Elegant Aurum Avian,,"('Effect',)",,2023-04-27 21:38:39,,New
Emperor Realm,,"('Effect',)",,2023-04-20 16:03:37,,New
Estrome the Mega Monarch,"('Monarch',)","('Effect',)",,2023-04-20 16:01:45,,New
Estrome the Star Monarch,"('Monarch',)","('Effect',)",,2023-04-20 15:52:50,,New
Eternal Galactica Oblivion,"('Galactica',)","('Effect',)",,2023-04-12 15:31:25,,New
Galactica Deja Vu,"('Galactica',)","('Effect',)",,2023-05-01 20:28:37,,New
Gatling the Shadow Flower Shinobi,"('Shadow Flower',)","('Effect',)",,2022-12-26 06:08:21,"('Any',)",Old
Gatling the Shadow Flower Shinobi,"('Shadow Flower',)","('Effect',)",,2023-03-18 20:00:29,,New
Gazelle the King of Mythical Beasts,,,,2022-10-20 07:38:46,"('Type',)",Old
Gazelle the King of Mythical Beasts,,,,2023-03-18 20:01:29,"('Any',)",New
Groundmaster Bathynomus,,,,2023-04-08 01:02:24,,New
Hallowed Light Sorcerer,,,,2023-05-01 12:24:11,,New
Heavenly Invitation,"('Heavenly',)","('Effect',)",,2023-04-12 15:26:04,,New
Hebe the Star Vassal,,"('Effect',)",,2023-04-20 15:49:41,,New
Legacyrex Legarex,,"('Effect',)",,2023-04-12 16:00:31,,New
Legendary Sword,,"('Effect',)",,2023-04-12 14:38:35,"('Type',)",New
