Name,Modification date,Errata,Version
Advance Impact,2023-05-11 22:32:36,,New
Blue Tooth Burst Dragon,2023-05-11 00:14:58,,New
Cocosh the Spellcaster of Happiness,2023-05-09 04:32:31,,New
Dead or Arainac,2023-05-11 10:35:17,,New
Galactiara Fuse Eve,2023-05-11 17:48:19,,New
Luster Dragon,2023-03-19 13:35:24,"('Any',)",Old
Luster Dragon,2023-03-19 13:35:24,"('Type',)",New
Recombination Galactica,2023-05-11 17:50:00,,New
Red Boot Boost Dragon,2023-05-11 00:34:11,,New
Red-Boot Boost Dragon,2023-04-27 16:19:21,,Old
Transamu Rainac Overwrite,2023-05-10 12:09:39,,New
Voidvelgr Gullinbursti,2023-05-11 17:52:34,,New
Voidvelgr Shroud,2023-05-11 17:53:21,,New
Voidvelgr Theogonia,2023-05-11 17:51:37,,New
