Name,Effect type,Artwork,Modification date,Version
Blue-Tooth Burst Dragon,"('Effect',)","('Alternate',)",2023-04-27 16:10:29,Old
Hallowed Light Sorcerer,,,2023-05-01 12:24:11,Old
Hallowed Light Sorcerer,"('Effect',)",,2023-05-13 23:03:34,New
Mad Rare Aquila,"('Effect',)",,2023-05-10 01:20:10,Old
Mad Rare Aquila,"('Effect',)","('Alternate',)",2023-05-13 09:39:10,New
Protection of Arthenée,"('Effect',)",,2023-05-10 01:21:55,Old
Protection of Arthenée,"('Effect',)","('Alternate',)",2023-05-13 10:12:43,New
Rice Terrace Crisis,"('Effect',)",,2023-05-04 06:50:29,Old
Rice Terrace Crisis,"('Effect',)","('Alternate',)",2023-05-13 10:21:04,New
Star Replacer,"('Effect',)",,2023-05-08 11:09:26,Old
Star Replacer,"('Effect',)","('Alternate',)",2023-05-13 10:34:30,New
