Name,Archseries,Effect type,Artwork,Modification date,Version
Blue-Tooth Burst Dragon,"('High Tech Dragon',)","('Effect',)","('Alternate',)",2023-04-27 16:10:29,Old
Contacton the Music Princess,"('Music Princess',)",,,2023-05-17 06:31:25,New
Demolition Charge Dragon Dangerous Blasthamut,"('Demolition',)","('Effect',)",,2023-05-17 00:44:42,New
Demolition Charge Expert Warning Heavy Shock,"('Demolition',)","('Effect',)",,2023-05-17 00:46:50,New
Demolition Dragon Blasthamut,"('Demolition',)","('Effect',)",,2023-05-17 00:48:02,New
Demolition Shutter,"('Demolition',)","('Effect',)",,2023-05-17 00:49:51,New
Demolition Soldier Hell Met,"('Demolition',)","('Effect',)",,2023-05-17 00:45:47,New
Demolition Soldier Kasetsu Baiten,"('Demolition',)","('Effect',)",,2023-05-17 00:48:50,New
Demolition Soldier Toby Shock,"('Demolition',)",,,2023-05-17 00:45:18,New
Demolition Survey,"('Demolition',)","('Effect',)",,2023-05-17 00:50:31,New
Full Orchestra the Music Fiend,"('Music Princess',)","('Effect',)",,2023-05-17 12:42:12,New
Hallowed Light Sorcerer,,,,2023-05-01 12:24:11,Old
Hallowed Light Sorcerer,,"('Effect',)",,2023-05-14 13:56:52,New
Harpie Carla,"('Harpie (Rush Duel series)',)","('Effect',)",,2023-05-15 13:54:51,New
Harpie Ladies,"('Harpie (Rush Duel series)',)","('Effect',)",,2023-05-15 13:51:28,New
Harpie Ladies [L],"('Harpie (Rush Duel series)',)","('Continuous Effect',)",,2023-05-15 13:52:16,New
Harpie Ladies [R],"('Harpie (Rush Duel series)',)","('Continuous Effect',)",,2023-05-15 13:52:55,New
Harpie Lady,,,,2023-03-18 23:11:56,Old
Harpie Lady,"('Harpie (Rush Duel series)',)",,,2023-05-15 13:53:29,New
Harpie Regina,"('Harpie (Rush Duel series)',)","('Effect',)",,2023-05-15 13:54:26,New
Harpie's Full Dress,"('Harpie (Rush Duel series)',)","('Effect',)",,2023-05-15 13:55:33,New
Mad Rare Aquila,,"('Effect',)",,2023-05-10 01:20:10,Old
Mad Rare Aquila,,"('Effect',)","('Alternate',)",2023-05-13 09:39:10,New
Music Princess's Requiem Sonata,"('Music Princess',)","('Effect',)",,2023-05-17 12:44:55,New
Ophiclaymore the Music Princess,"('Music Princess',)",,,2023-05-17 06:25:41,New
Protection of Arthenée,,"('Effect',)",,2023-05-10 01:21:55,Old
Protection of Arthenée,,"('Effect',)","('Alternate',)",2023-05-13 10:12:43,New
Rice Terrace Crisis,,"('Effect',)",,2023-05-04 06:50:29,Old
Rice Terrace Crisis,,"('Effect',)","('Alternate',)",2023-05-14 14:40:31,New
Star Replacer,,"('Effect',)",,2023-05-08 11:09:26,Old
Star Replacer,,"('Effect',)","('Alternate',)",2023-05-13 10:34:30,New
Thestalos the Firestorm Monarch,,"('Effect',)",,2023-05-18 10:36:38,New
Trancegodbreath the Music Fiend Deity,"('Music Princess',)","('Effect',)",,2023-05-17 12:41:00,New
Tubardiche the Music Princess,"('Music Princess',)","('Effect',)",,2023-05-17 12:43:36,New
