Name,Archseries,Modification date,Errata,Version
Archfiend Soldier,,2023-03-18 02:15:12,"('Any',)",Old
Archfiend Soldier,,2023-03-18 02:15:12,"('Type',)",New
Contacton the Music Princess,"('Music Princess',)",2023-05-17 06:31:25,,New
Demolition Charge Dragon Dangerous Blasthamut,"('Demolition',)",2023-05-20 23:34:03,,New
Demolition Charge Expert Warning Heavy Shock,"('Demolition',)",2023-05-17 00:46:50,,New
Demolition Dragon Blasthamut,"('Demolition',)",2023-05-20 23:33:51,,New
Demolition Shutter,"('Demolition',)",2023-05-17 00:49:51,,New
Demolition Soldier Hell Met,"('Demolition',)",2023-05-17 00:45:47,,New
Demolition Soldier Kasetsu Baiten,"('Demolition',)",2023-05-17 00:48:50,,New
Demolition Soldier Toby Shock,"('Demolition',)",2023-05-17 00:45:18,,New
Demolition Survey,"('Demolition',)",2023-05-17 00:50:31,,New
Full Orchestra the Music Fiend,"('Music Princess',)",2023-05-17 12:42:12,,New
Harpie Carla,"('Harpie (Rush Duel series)',)",2023-05-15 13:54:51,,New
Harpie Ladies,"('Harpie (Rush Duel series)',)",2023-05-21 11:49:40,,New
Harpie Ladies [L],"('Harpie (Rush Duel series)',)",2023-05-20 23:34:56,,New
Harpie Ladies [R],"('Harpie (Rush Duel series)',)",2023-05-20 23:34:31,,New
Harpie Lady,,2023-03-18 23:11:56,"('Any',)",Old
Harpie Lady,"('Harpie (Rush Duel series)',)",2023-05-15 13:53:29,"('Any',)",New
Harpie Regina,"('Harpie (Rush Duel series)',)",2023-05-15 13:54:26,,New
Harpie's Full Dress,"('Harpie (Rush Duel series)',)",2023-05-15 13:55:33,,New
Music Princess's Requiem Sonata,"('Music Princess',)",2023-05-17 12:44:55,,New
Ophiclaymore the Music Princess,"('Music Princess',)",2023-05-17 06:25:41,,New
Thestalos the Firestorm Monarch,"('Monarch (Rush Duel series)',)",2023-05-19 08:15:19,"('Type',)",New
Trancegodbreath the Music Fiend Deity,"('Music Princess',)",2023-05-20 23:34:14,,New
Triangle Ecstasy Spark,"('Harpie (Rush Duel series)', 'Signature move')",2023-05-21 11:48:49,"('Name',)",New
Tubardiche the Music Princess,"('Music Princess',)",2023-05-17 12:43:36,,New
