Name,Archseries,Artwork,Modification date,Version
Anglercoilfish,,,2023-05-23 18:19:25,New
Axetion Melody the Music Princess,"('Music Princess',)",,2023-06-02 20:00:54,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix,"('Chemistry',)",,2023-06-03 11:04:58,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [L],"('Chemistry',)",,2023-06-03 11:08:16,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [R],"('Chemistry',)",,2023-06-03 11:10:40,New
Boton the Music Princess,"('Music Princess',)",,2023-06-02 20:01:08,New
Card Reprint,,,2023-03-18 07:25:43,Old
Card Reprinting,,,2023-05-24 20:35:04,New
Chemispet Nyanko,"('Chemistry',)",,2023-06-03 10:33:36,New
Chemispet Wanko,"('Chemistry',)",,2023-06-03 10:36:20,New
Contacton the Music Princess,"('Music Princess',)",,2023-05-17 06:31:25,Old
Curse of Dragon,,,2023-05-11 06:22:05,Old
Curse of Dragon,"('Gaia (series)',)",,2023-06-03 11:20:38,New
Defrostrooper,,,2023-06-01 23:38:19,New
Elegant Egotist,"('Harpie (Rush Duel series)',)",,2023-06-01 16:11:28,New
Enraged Scale Liberation,"('Chameleon',)",,2023-03-18 16:20:40,Old
Fancy Ladybug Pastel,,,2023-03-18 17:40:46,Old
Fantasy Ladybug Pastel,,,2023-05-24 09:04:55,New
Fiery Infernleon,"('Chameleon',)",,2023-05-25 23:03:49,New
Gaia The Fierce Knight,,,2023-03-18 19:38:11,Old
Gaia The Fierce Knight,"('Gaia (series)',)",,2023-06-03 11:20:24,New
Gaia the Battle Ruler,"('Gaia (series)',)",,2023-06-03 10:48:33,New
Gaia the Dragon Champion,,,2023-05-11 06:22:52,Old
Gaia the Dragon Champion,"('Gaia (series)',)",,2023-06-03 11:20:46,New
Harpie Girl,,,2023-03-18 23:11:23,Old
Harpie Girl,"('Harpie (Rush Duel series)',)",,2023-05-27 02:18:53,New
Harpie Lady 1,"('Harpie (Rush Duel series)',)",,2023-06-01 16:10:09,New
Harpie's Pet Dragon,"('Harpie (Rush Duel series)',)",,2023-06-01 16:10:45,New
Hot Flameleon,"('Chameleon',)",,2023-03-19 07:46:31,Old
Hyper Assistant Achi,"('Chemistry',)",,2023-06-03 10:31:35,New
Infinidream Constructor Wyrm Buildrim,"('Constructor',)",,2023-03-19 08:58:58,Old
Infinite Constructor Wyrm Buildream,"('Constructor',)",,2023-05-24 15:36:08,New
Kamaleon,"('Chameleon',)",,2023-05-25 23:04:27,New
Lanterncoilfish,,,2023-03-19 12:08:51,Old
Mr. Alche,,,2023-03-19 17:46:14,Old
Mr. Alchemy,,,2023-05-24 21:37:35,New
Music Princess's Requiem,"('Music Princess',)",,2023-05-24 21:10:43,New
Music Princess's Requiem Sonata,"('Music Princess',)",,2023-05-17 12:44:55,Old
Poet Fairy,,,2023-05-25 06:22:12,New
Prima Guitarna the Shining Superstar,"('Psychic Musician',)",,2023-03-19 23:32:40,Old
Prima Guitarna the Shining Superstar,"('Psychic Musician',)","('Alternate', 'Edited')",2023-05-24 22:15:44,New
Release Wrath,"('Chameleon',)",,2023-05-25 06:00:25,New
Rising Light Angel Esser,,,2023-06-03 10:55:28,New
Sansetsukontra the Music Fiend,"('Music Princess',)",,2023-06-04 19:19:21,New
Sevens Paladin,,,2023-05-23 10:44:17,New
Sevens Paladin the Magical Knight,,,2023-03-20 07:47:45,Old
Sickleon,"('Chameleon',)",,2023-03-20 08:14:41,Old
Steel Soldier Gale Vinary,,,2023-06-03 10:51:29,New
Supreme Beast Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:26:28,Old
Supreme Beast Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:26:07,Old
Supreme Beast Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:27:09,Old
Supreme Beast Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:35:23,New
Supreme Fullsteam Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-12 14:12:27,Old
Supreme Fullsteam Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:37:18,New
Supreme Fullsteam Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-12 14:07:53,Old
Supreme Fullsteam Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:37:23,New
Supreme Fullsteam Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-12 14:08:24,Old
Supreme Fullsteam Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:37:28,New
Supreme HQ Magnum Overbase,,,2023-04-08 00:56:45,Old
Supreme Machine Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:30:31,Old
Supreme Machine Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:35:34,New
Supreme Machine Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:29:59,Old
Supreme Machine Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:32:11,New
Supreme Machine Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:30:42,Old
Supreme Machine Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:35:47,New
Supreme Marine Fortress Magnum Overbase,,,2023-06-02 06:35:29,New
Supreme Skystream Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:28:07,Old
Supreme Skystream Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:36:01,New
Supreme Skystream Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:27:35,Old
Supreme Skystream Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:36:05,New
Supreme Skystream Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:28:29,Old
Supreme Skystream Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:36:10,New
Supreme Wildgleam Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:46:01,New
Supreme Wildgleam Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:44:26,New
Supreme Wildgleam Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:46:43,New
Tamabot,,,2023-04-01 13:22:48,Old
Tamabot,,"('Alternate',)",2023-05-29 10:43:39,New
Trumpetiger the Music Fiend,"('Music Princess',)",,2023-05-28 12:25:36,New
Universal Destruction,,,2023-05-24 11:36:43,New
Veteran Curse of Dragon,"('Gaia (series)',)",,2023-06-03 10:41:10,New
Veteran Gaia the Fierce Knight,"('Gaia (series)',)",,2023-06-03 10:44:11,New
Wording Fairy,,,2023-03-20 20:08:23,Old
