Name,Archseries,Legend,Maximum mode,Effect type,Modification date,Errata,Version
Achacha Catcher,,False,False,,2023-03-17 23:47:41,,Old
Achacha Catcher,"('Baseball',)",False,False,,2023-03-17 23:47:41,,New
"Alien Count of the White Dwarf, St. Germain",,False,False,,2023-03-18 00:10:51,,Old
"Alien Count of the White Dwarf, St. Germain","('Cosmic Urban Legend',)",False,False,,2023-03-18 00:10:51,,New
Antrebellion of the Rebellion,,False,False,"('Effect',)",2023-03-18 01:40:12,,Old
Antrebellion of the Rebellion,"('Gi-ant Revolution (series)',)",False,False,"('Effect',)",2023-03-18 01:40:12,,New
Apocalypse - Beast Gear World,,False,False,"('Effect',)",2023-03-18 01:41:09,,Old
Apocalypse - Beast Gear World,"('Beast Gear',)",False,False,"('Effect',)",2023-03-18 01:41:09,,New
Arts Angel Glyco Razer,,False,False,,2023-03-18 02:59:10,,Old
Arts Angel Glyco Razer,"('Arts Angel',)",False,False,,2023-03-18 02:59:10,,New
Arts Angel Guard Dolby,,False,False,,2023-03-18 02:59:18,,Old
Arts Angel Guard Dolby,"('Arts Angel',)",False,False,,2023-03-18 02:59:18,,New
Barbeque Ox,,False,False,,2023-03-18 03:50:32,,Old
Barbeque Ox,"('Yakiniku',)",False,False,,2023-03-18 03:50:32,,New
Bean Soljersey,,False,False,,2023-03-18 04:23:42,,Old
Bean Soljersey,"('Jersey',)",False,False,,2023-03-18 04:23:42,,New
Beast Gear Buggy Dog,,False,False,,2023-03-18 04:25:19,,Old
Beast Gear Buggy Dog,"('Beast Gear',)",False,False,,2023-03-18 04:25:19,,New
Beast Gear Gyro Jackal,,False,False,,2023-03-18 04:25:46,,Old
Beast Gear Gyro Jackal,"('Beast Gear',)",False,False,,2023-03-18 04:25:46,,New
Begonia the Pressed Shadow Flower,,False,False,,2023-03-18 04:39:46,,Old
Begonia the Pressed Shadow Flower,"('Shadow Flower',)",False,False,,2023-03-18 04:39:46,,New
Black Luster Soljersey,,False,False,,2023-03-18 05:07:13,,Old
Black Luster Soljersey,"('Jersey',)",False,False,,2023-03-18 05:07:13,,New
