Name,Archseries,Modification date,Version
Digrace the Skysavior Radiance,"('Celestial Warrior', 'Skysavior')",2023-05-25 11:24:34,Old
Digrace the Skysavior Radiance,"('Skysavior',)",2023-07-21 04:35:27,New
Jointech Arc Scorpio,"('Jointech',)",2023-07-23 20:16:20,New
Jointech Cobra,"('Jointech',)",2023-07-23 19:44:10,New
Jointech Dig Up,"('Jointech',)",2023-07-24 02:52:08,New
Jointech Killer Stinger,"('Jointech',)",2023-07-23 20:30:08,New
Jointech Spike Centipede,"('Jointech',)",2023-07-23 20:24:16,New
Mega Jointech Fortrex,"('Jointech',)",2023-07-23 20:05:04,New
Mega Jointech Fortrex [L],"('Jointech',)",2023-07-23 19:59:50,New
Mega Jointech Fortrex [R],"('Jointech',)",2023-07-23 23:33:58,New
Negatwor Dragon,,2023-07-20 18:36:23,New
Psymprinting,,2023-07-19 18:48:15,New
The Strange Specter of Celestial Starts,,2023-07-21 18:22:29,New
