Name,Card type,Property,Archseries,Artwork,Modification date,Errata,Version
Abysskite Ange,Monster Card,,"('Abysskite',)",,2023-07-30 00:35:14,,New
Abysskite Karen,Monster Card,,"('Abysskite',)",,2023-07-30 00:49:02,,New
Abysskite Liem,Monster Card,,"('Abysskite',)",,2023-07-30 00:43:06,,New
Abysskite Prevent Wall,Trap Card,Normal Trap Card,,,2023-05-31 06:53:27,,Old
Abysskite Prevent Wall,Trap Card,Normal Trap Card,"('Abysskite',)",,2023-07-30 00:00:05,,New
Abysskite Protection,Trap Card,Normal Trap Card,,,2023-05-31 06:52:54,,Old
Abysskite Protection,Trap Card,Normal Trap Card,"('Abysskite',)",,2023-07-30 00:00:16,,New
Abysskite Ultimail,Trap Card,Normal Trap Card,,,2023-05-31 06:54:01,,Old
Abysskite Ultimail,Trap Card,Normal Trap Card,"('Abysskite',)",,2023-07-30 00:00:28,,New
Ancient Lizard Warrior,Monster Card,,,,2023-03-18 01:23:23,,Old
Ancient Lizard Warrior,Monster Card,,,,2023-03-18 01:23:23,"('Type',)",New
Dino Skeleton Pushcera,Monster Card,,,,2023-07-26 16:45:05,,New
Excutie Riding!,???,???,"('Excutie',)",,2023-06-08 12:08:19,,Old
Excutie Riding!,Trap Card,Normal Trap Card,"('Excutie',)",,2023-07-28 19:05:02,,New
Hyosube,Monster Card,,,,2023-03-19 07:57:37,,Old
Hyosube,Monster Card,,,,2023-03-19 07:57:37,"('Type',)",New
Landporter MAX,Monster Card,,,,2023-07-30 13:39:48,,New
Polygon Butterfly,Monster Card,,,,2023-07-27 14:45:10,,New
Pot of Avarice,Spell Card,Normal Spell Card,,,2023-03-19 23:08:02,"('Any',)",Old
Pot of Avarice,Spell Card,Normal Spell Card,"('Greed (series)',)",,2023-07-27 19:58:35,"('Any',)",New
Pot of Greed,Spell Card,Normal Spell Card,,,2023-03-19 23:09:19,"('Type',)",Old
Pot of Greed,Spell Card,Normal Spell Card,"('Greed (series)',)",,2023-07-27 20:01:21,"('Type',)",New
Shinesteel Ultra Dragon Devastar Okeabyss,Monster Card,,,,2023-06-27 19:33:22,,Old
Shinesteel Ultra Dragon Devastar Okeabyss,Monster Card,,"('Abysskite',)",,2023-07-30 02:05:52,,New
Shinesteel Ultra Dragon Devastar Okeabyss [L],Monster Card,,,,2023-06-27 19:33:18,,Old
Shinesteel Ultra Dragon Devastar Okeabyss [L],Monster Card,,"('Abysskite',)",,2023-07-30 00:01:08,,New
Shinesteel Ultra Dragon Devastar Okeabyss [R],Monster Card,,,,2023-04-12 15:18:31,,Old
Shinesteel Ultra Dragon Devastar Okeabyss [R],Monster Card,,"('Abysskite',)",,2023-07-30 00:01:00,,New
The Strange Specter of Celestial Severance,Monster Card,,,,2023-07-24 02:43:26,,Old
The Strange Specter of Celestial Severance,Monster Card,,,"('Alternate',)",2023-07-24 10:49:48,,New
