Name,Card type,Property,Archseries,Effect type,Modification date,Version
All-Seeing Harvey,Monster Card,,,"('Effect',)",2023-08-01 21:12:15,New
Cat-trois Choice,???,???,,,2023-06-06 02:40:15,Old
Cat-trois Choice,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-02 18:22:35,New
Dragonic Escape,Trap Card,Normal Trap Card,"('Gaia (series)',)","('Effect',)",2023-08-03 16:55:14,New
Featuring Omega,Trap Card,Normal Trap Card,,"('Effect',)",2023-05-31 06:55:25,Old
Featuring Omega,Trap Card,Normal Trap Card,"('Psychic Musician',)","('Effect',)",2023-08-02 23:21:00,New
Gameboard Ablaze and Alight,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-05 18:53:30,New
Jointech Burst Dragon,Monster Card,,"('High Tech Dragon', 'Jointech')","('Effect',)",2023-08-06 19:12:20,New
Magician's Sense,???,???,,,2023-08-07 02:59:13,New
Psychic Omega Blast,Spell Card,Normal Spell Card,,"('Effect',)",2023-03-19 23:47:09,Old
Psychic Omega Blast,Spell Card,Normal Spell Card,"('Psychic Musician',)","('Effect',)",2023-08-02 23:23:23,New
Resolve,???,???,,,2023-08-07 02:33:47,New
Shining Superstar Riff,???,???,,,2023-08-07 02:59:53,New
The Trinity Dragiastar,Monster Card,,"('The',)","('Effect',)",2023-08-03 10:38:54,New
