Name,Archseries,Artwork,Modification date,Errata,Version
Amusi Annoyance,"('Psychic Musician',)",,2023-07-04 18:24:37,,Old
Amusi Annoyance,"('Psychic Musician',)","('Alternate',)",2023-08-11 04:48:58,,New
Ancient Barrier,,,2023-04-08 01:31:52,,Old
Ancient Barrier,,,2023-08-09 09:52:35,"('Any',)",New
Aura Buster,,,2023-08-11 02:16:13,,New
Blue-Eyes White Dragon,,"('Alternate',)",2023-03-18 05:57:53,"('Name', 'Type')",Old
Blue-Eyes White Dragon,"('Blue-Eyes (Rush Duel)',)","('Alternate',)",2023-08-14 03:14:37,"('Name', 'Type')",New
Dark Hole Device,,,2023-08-11 02:14:57,,New
Dragonic Force,,,2023-08-07 06:12:07,,New
Heavenly Rest,"('Heavenly',)",,2023-04-08 01:35:10,,Old
Heavenly Rest,"('Heavenly',)",,2023-08-09 09:47:14,"('Any',)",New
High Magic - Double Acceleration,,,2023-08-07 06:11:16,,New
Machvio of the Ultimate Aria,"('Shaman Bandit',)",,2023-05-25 11:28:12,,Old
Machvio of the Ultimate Aria,"('Shaman Bandit',)","('Alternate',)",2023-08-13 16:26:06,,New
Rising Light Angel Esser,,,2023-07-07 23:13:42,,Old
Rising Light Angel Esser,,"('Alternate',)",2023-08-11 04:48:30,,New
Steel Soldier Gale Vinary,,,2023-07-01 20:50:12,,Old
Steel Soldier Gale Vinary,,"('Alternate',)",2023-08-11 04:48:06,,New
The Strange Specter of Celestial Starts,,,2023-07-21 18:22:29,,Old
The Strange Specter of Celestial Starts,,"('Alternate',)",2023-08-11 16:28:05,,New
